"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Jay Arnette","SG","26","CIN","1","0","2","0","1",".000","0","0","0","0","1",".000",".000","0","0","0","0","0","0","1","0","0","0","1","0",1965,"-9.7",".000","0",".000","0","0","0","58.3","0","0","0","0","0.0","0.0","0.0","-0.553","0","0","0","0"
"2","Dick Barnett","SG","28","LAL","10","0","287","72","150",".480","0","0","0","72","150",".480",".480","31","39",".795","0","0","30","33","0","0","0","25","175",1965,"17.4",".523","0",".260","0","0","0","18.4","0","0","0","0","0.7","0.0","0.6",".109","0","0","0","0"
"3","John Barnhill","SG","26","STL","4","0","36","2","11",".182","0","0","0","2","11",".182",".182","2","4",".500","0","0","7","2","0","0","0","3","6",1965,"1.6",".235","0",".364","0","0","0","6.9","0","0","0","0","-0.2","0.0","-0.1","-0.140","0","0","0","0"
"4","Elgin Baylor*","SF","30","LAL","1","0","5","0","2",".000","0","0","0","0","2",".000",".000","0","0","0","0","0","0","1","0","0","0","0","0",1965,"-6.2",".000","0",".000","0","0","0","22.9","0","0","0","0","0.0","0.0","0.0","-0.451","0","0","0","0"
"5","Zelmo Beaty*","C","25","STL","4","0","154","29","59",".492","0","0","0","29","59",".492",".492","19","25",".760","0","0","55","1","0","0","0","19","77",1965,"17.6",".550","0",".424","0","0","0","1.0","0","0","0","0","0.4","0.2","0.6",".194","0","0","0","0"
"6","Walt Bellamy*","C","25","BAL","10","0","427","74","158",".468","0","0","0","74","158",".468",".468","61","92",".663","0","0","151","34","0","0","0","38","209",1965,"18.8",".527","0",".582","0","0","0","11.0","0","0","0","0","0.9","0.4","1.3",".143","0","0","0","0"
"7","Al Bianchi","PG","32","PHI","11","0","308","45","118",".381","0","0","0","45","118",".381",".381","14","21",".667","0","0","16","30","0","0","0","45","104",1965,"6.4",".409","0",".178","0","0","0","13.6","0","0","0","0","-0.3","0.2","-0.1","-0.015","0","0","0","0"
"8","Ron Bonham","SF","22","BOS","4","0","13","5","12",".417","0","0","0","5","12",".417",".417","4","5",".800","0","0","1","0","0","0","0","1","14",1965,"23.3",".493","0",".417","0","0","0","0.0","0","0","0","0","0.0","0.0","0.0",".165","0","0","0","0"
"9","Gary Bradds","SF","22","BAL","1","0","5","2","3",".667","0","0","0","2","3",".667",".667","2","2","1.000","0","0","2","0","0","0","0","0","6",1965,"47.4",".773","0",".667","0","0","0","0.0","0","0","0","0","0.1","0.0","0.1",".692","0","0","0","0"
"10","Bill Bridges","PF","25","STL","4","0","145","21","59",".356","0","0","0","21","59",".356",".356","10","15",".667","0","0","67","9","0","0","0","19","52",1965,"13.4",".396","0",".254","0","0","0","8.7","0","0","0","0","-0.2","0.3","0.1",".040","0","0","0","0"
"11","Wilt Chamberlain*","C","28","PHI","11","0","536","123","232",".530","0","0","0","123","232",".530",".530","76","136",".559","0","0","299","48","0","0","0","29","322",1965,"27.1",".552","0",".586","0","0","0","14.2","0","0","0","0","1.7","0.8","2.5",".222","0","0","0","0"
"12","Larry Costello","PG","33","PHI","10","0","207","22","53",".415","0","0","0","22","53",".415",".415","11","16",".688","0","0","12","20","0","0","0","43","55",1965,"5.3",".458","0",".302","0","0","0","12.8","0","0","0","0","0.0","0.1","0.2",".038","0","0","0","0"
"13","Mel Counts","C","23","BOS","4","0","30","4","15",".267","0","0","0","4","15",".267",".267","1","1","1.000","0","0","11","1","0","0","0","10","9",1965,"1.8",".291","0",".067","0","0","0","4.1","0","0","0","0","-0.1","0.1","-0.1","-0.087","0","0","0","0"
"14","Leroy Ellis","C","24","LAL","11","0","405","57","145",".393","0","0","0","57","145",".393",".393","44","65",".677","0","0","133","7","0","0","0","37","158",1965,"11.9",".455","0",".448","0","0","0","2.4","0","0","0","0","0.0","0.0","0.0",".000","0","0","0","0"
