"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Alaa Abdelnaby","PF","23","POR","71","1","934","178","361",".493","0","0","0","178","361",".493",".493","76","101",".752","81","179","260","30","25","16","66","132","432",1992,"13.5",".533",".000",".280","9.5","20.9","15.2","4.7","1.3","1.1","14.0","20.6","0.6","1.5","2.1",".110","-2.3","-0.4","-2.6","-0.1"
"2","Mahmoud Abdul-Rauf","PG","22","DEN","81","11","1538","356","845",".421","31","94",".330","325","751",".433",".440","94","108",".870","22","92","114","192","44","4","117","130","837",1992,"12.6",".469",".111",".128","1.5","6.8","4.0","21.0","1.4","0.2","11.6","26.7","-0.2","0.8","0.6",".018","-1.2","-1.9","-3.1","-0.4"
"3","Mark Acres","C","29","ORL","68","6","926","78","151",".517","1","3",".333","77","148",".520",".520","51","67",".761","97","155","252","22","25","15","33","140","208",1992,"10.1",".576",".020",".444","11.4","19.2","15.2","3.2","1.3","1.0","15.5","9.6","1.1","0.8","1.9",".097","-2.7","-0.2","-2.9","-0.2"
"4","Michael Adams","PG","29","WSB","78","78","2795","485","1233",".393","125","386",".324","360","847",".425",".444","313","360",".869","58","252","310","594","145","9","212","162","1408",1992,"17.1",".506",".313",".292","2.2","10.1","6.1","31.5","2.5","0.2","13.2","24.2","2.6","2.6","5.3",".090","2.1","-0.3","1.8","2.6"
"5","Rafael Addison","SF","27","NJN","76","8","1175","187","432",".433","14","49",".286","173","383",".452",".449","56","76",".737","65","100","165","68","28","28","46","109","444",1992,"10.9",".477",".113",".176","5.7","9.3","7.4","8.1","1.2","1.4","9.0","17.5","0.8","0.7","1.5",".063","-1.8","-0.9","-2.7","-0.2"
"6","Mark Aguirre","SF","32","DET","75","12","1582","339","787",".431","15","71",".211","324","716",".453",".440","158","230",".687","67","169","236","126","51","11","105","171","851",1992,"13.7",".479",".090",".292","4.8","12.0","8.4","13.4","1.7","0.4","10.6","27.6","0.1","2.0","2.2",".066","-1.7","0.1","-1.6","0.1"
"7","Danny Ainge","SG","32","POR","81","6","1595","299","676",".442","78","230",".339","221","446",".496",".500","108","131",".824","40","108","148","202","73","13","70","148","784",1992,"15.4",".534",".340",".194","2.7","7.4","5.1","18.4","2.2","0.5","8.7","20.5","3.1","2.0","5.2",".155","1.1","0.8","1.9","1.6"
"8","Victor Alexander","C","22","GSW","80","28","1350","243","459",".529","0","1",".000","243","458",".531",".529","103","149",".691","106","230","336","32","45","62","91","176","589",1992,"13.9",".561",".002",".325","8.7","18.3","13.6","3.1","1.5","2.7","14.8","18.3","1.1","1.4","2.5",".090","-1.6","-0.4","-2.0","0.0"
"9","Greg Anderson","PF","27","DEN","82","82","2793","389","854",".456","0","4",".000","389","850",".458",".456","167","268",".623","337","604","941","78","88","65","201","263","945",1992,"12.6",".486",".005",".314","12.3","24.7","18.2","4.1","1.5","1.4","17.1","17.1","-0.6","3.6","3.0",".052","-2.4","-1.1","-3.4","-1.0"
"10","Kenny Anderson","PG","21","NJN","64","13","1086","187","480",".390","3","13",".231","184","467",".394",".393","73","98",".745","38","89","127","203","67","9","97","68","450",1992,"12.8",".430",".027",".204","3.6","9.0","6.2","26.5","3.0","0.5","15.6","22.9","-0.6","1.1","0.5",".022","-1.7","-0.1","-1.8","0.1"
