"","Player","Contrib","Yr","Tm","W","sumContrib","playoffSc","playoffShare","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","PER","WS","OWS","DWS","orig.PTS","orig.TRB","orig.AST","orig.BLK","orig.STL","orig.adj.PER","orig.WS.G","orig.OWS.G","orig.DWS.G","orig.x3PAVG","orig.x2PAVG","orig.xFTAVG"
"1","Jon Barry",0,1997,"ATL",0.266666666666667,17.8519054408125,0,0,-0.612167100001446,0,0,0,0,0,0,0,-0.0268275051394566,-0.763154246736124,-0.958915884736263,0,0,0,0,0,0,-0.67628349178911,-0.05,-0.05,0,-1.04187725631769,0,0
"2","Mookie Blaylock",4.04918209650019,1997,"ATL",0.266666666666667,17.8519054408125,0.0513956906999501,0.0604855260958018,-0.91357348972669,0.0938726496990081,-0.382214646021984,1.4865929061234,1.51831732393542,2.54721362367083,2.42542422889711,0.284430306322713,1.52411333545898,1.06841594543057,0.383566353894505,1.72361454754684,16.4,7,6.5,0.2,2.1,38.4207433016422,0.07,0.02,0.05,-1.55485559566787,0.396792176039119,-1.42477467869838
"3","Tyrone Corbin",2.43678412103866,1997,"ATL",0.266666666666667,17.8519054408125,0.0309297532199654,0.036399985486035,0.0806020015001901,0.712406114186163,0.640178599657466,0.960846634445615,0.932680641846042,0.783758038052563,0.461985567408973,0.284430306322713,0.841286368898192,0.915785096083349,0.76713270778901,0.689445819018735,10.6,4.3,2,0.2,0.4,21.2076404494382,0.06,0.04,0.02,0.137180505415162,3.01128361858191,2.38638228055783
"4","Darrin Hancock",0.0184410957864719,1997,"ATL",0.266666666666667,17.8519054408125,0.000234070198035516,0.00027546782383334,-0.204055700000482,0.0262608344198892,-0.591396799637732,0.0604306059399758,0.180752062373264,0.0653131698377136,0.192493986420405,0.237025255268928,0.0263738999800938,0,-0.319638628245421,0,0.666666666666667,0.833333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.664848746758859,0,-0.0166666666666667,0,-0.347292418772563,0.111002444987775,-2.20453923981406
"5","Alan Henderson",1.54811734670359,1997,"ATL",0.266666666666667,17.8519054408125,0.0196500326293491,0.0231253349298214,0,0.697794331404647,0.23821593174208,0.525746271677789,0.715778166998125,0,0.115496391852243,0.42664545948407,0.478834246321637,0.763154246736124,0.76713270778901,0.344722909509368,5.8,3.3,0,0.3,0.1,12.0707346585998,0.05,0.04,0.01,0,2.94952078239609,0.887993254944856
"6","Henry James",0,1997,"ATL",0.266666666666667,17.8519054408125,0,0,-0.0503860613078113,-0.545254167806139,0,0.0906459089099636,0.0271128093559896,0.0979697547565703,0.144370489815304,0,-0.066096751792864,-0.381577123368062,-0.479457942368131,0,1,0.125,0.25,0,0.125,-1.66620570440795,-0.025,-0.025,0,-0.0857545126353789,-2.30474572127139,0
"7","Christian Laettner",2.83707710646748,1997,"ATL",0.266666666666667,17.8519054408125,0.036010614978749,0.0423794478167235,-1.94079879240583,-1.03832562820356,1.83508162669602,1.59536799681536,1.561697818905,1.01888544946833,1.15496391852243,1.13772122529085,1.27091525555181,0.763154246736124,0.191783176947253,1.37889163803747,17.6,7.2,2.6,0.8,1,32.0379775280899,0.05,0.01,0.04,-3.30314079422383,-4.38891931540342,6.8406008568043
"8","Priest Lauderdale",0,1997,"ATL",0.266666666666667,17.8519054408125,0,0,0,-0.335172698339312,0,0,0.144601649898611,0,0,0,-0.0563982414807739,-1.01753899564817,-1.27855451298168,0,0,0.666666666666667,0,0,0,-1.42171996542783,-0.0666666666666667,-0.0666666666666667,0,0,-1.41674816625917,0
"9","Dikembe Mutombo",6.00735840333344,1997,"ATL",0.266666666666667,17.8519054408125,0.0762505432117597,0.0897362046981584,0,3.16886828155412,-0.272064632468553,1.39594699721344,2.66790044062938,0.509442724734166,0.115496391852243,3.69759398219527,1.89142551331442,2.74735528825005,2.30139812336703,1.72361454754684,15.4,12.3,1.3,2.6,0.1,47.6801642178047,0.18,0.12,0.05,0,13.3945525672372,-1.01417044936651
"10","Ivano Newbill",0.054222803196412,1997,"ATL",0.266666666666667,17.8519054408125,0.000688242305619146,0.000809964753266797,0,0,0,0,0.0723008249493056,0.130626339675427,0,0,-0.00918010441567556,0,0,0,0,0.333333333333333,0.333333333333333,0,0,-0.231417458945549,0,0,0,0,0,0
"11","Eldridge Recasner",0.493155247058724,1997,"ATL",0.266666666666667,17.8519054408125,0.00625954919804543,0.00736661228227642,0.107984070432688,-0.0186284178963111,-0.235742022050251,0.281002317620887,0.238592722332708,0.352691117123653,0.230992783704487,0,0.214317637676077,0.152630849347225,0,0,3.1,1.1,0.9,0,0.2,5.40264477095938,0.01,0,0,0.183783393501805,-0.0787408312958429,-0.878771306170814
"12","Steve Smith",2.3915976597337,1997,"ATL",0.266666666666667,17.8519054408125,0.0303562079128619,0.0357250030280219,-0.655767566877848,-0.640880046340537,1.76983050414091,1.71320767839831,0.845919651906875,0.666194332344678,0.461985567408973,0.142215153161357,1.11852552225159,0.915785096083349,0.958915884736263,0.344722909509368,18.9,3.9,1.7,0.1,0.4,28.1964477095938,0.06,0.05,0.01,-1.11608303249097,-2.70894865525672,6.59736541791997
"13","Muggsy Bogues",2.03536312327896,1997,"CHH",0,14.4703079900094,0,0,2.09639232423676,-0.156850063978741,0.284523822069985,1.45033454255942,0.325353712271875,0.979697547565703,0.577481959261216,0,0.249310035684064,0.763154246736124,1.91783176947253,-1.72361454754684,16,1.5,2.5,0,0.5,6.284753673293,0.05,0.1,-0.05,3.56795306859206,-0.662992665036675,1.06061434691459
"14","Dell Curry",0.764663694083575,1997,"CHH",0,14.4703079900094,0,0,-0.228661169023409,-0.505153179527997,0.213392866552489,0.42301424157983,0.0723008249493056,0.653131698377136,1.53995189136324,0,0.105841203851318,0,0,0,4.66666666666667,0.333333333333333,1.66666666666667,0,1.33333333333333,2.66810717372515,0,0,0,-0.389169675090253,-2.13524205378973,0.795460760185945
"15","Tony Delk",1.19196977586688,1997,"CHH",0,14.4703079900094,0,0,0.288021863041221,-0.120297758942141,0,0.936674392069624,0.723008249493056,0.783758038052563,0.769975945681622,0,0.235010673041294,0.508769497824083,0.639277256490842,-1.14907636503123,10.3333333333333,3.33333333333333,2,0,0.666666666666667,5.92428694900605,0.0333333333333333,0.0333333333333333,-0.0333333333333333,0.490198555956679,-0.508488997555012,0
"16","Vlade Divac",3.70669231495762,1997,"CHH",0,14.4703079900094,0,0,-0.612167100001446,0.160229266504754,0.262174666572223,1.63162636037935,1.87982144868194,1.30626339675427,1.15496391852243,2.84430306322713,0.536204498858188,1.01753899564817,1.91783176947253,0,18,8.66666666666667,3.33333333333333,2,1,13.5169576490925,0.0666666666666667,0.1,0,-1.04187725631769,0.677276283618582,0.977303800929725
"17","Matt Geiger",1.16071221245137,1997,"CHH",0,14.4703079900094,0,0,0,0.138221646082429,0.142261911034992,0.181291817819927,0.578406599594444,0.261252679350854,0.769975945681622,0.474050510537856,0.107137218592355,0.508769497824083,0.639277256490842,0,2,2.66666666666667,0.666666666666667,0.333333333333333,0.666666666666667,2.70077787381158,0.0333333333333333,0.0333333333333333,0,0,0.584251833740831,0.530307173457297
"18","Anthony Mason",0.77569859881231,1997,"CHH",0,14.4703079900094,0,0,0,-0.46073187908505,-0.686486489985371,1.17839681582953,2.602829698175,1.17563705707884,0.384987972840811,0.474050510537856,0.308429908121015,-1.01753899564817,-0.639277256490842,-1.14907636503123,13,12,3,0.333333333333333,0.333333333333333,7.77508210890233,-0.0666666666666667,-0.0333333333333333,-0.0333333333333333,0,-1.94747677261614,-2.55900337252757
"19","Ricky Pierce",0.158439223008298,1997,"CHH",0,14.4703079900094,0,0,-0.840240707393877,0.46553055490768,0,0.694951968309721,0.578406599594444,0.522505358701708,0.769975945681622,0,0.142820824462228,-0.508769497824083,0,-1.14907636503123,7.66666666666667,2.66666666666667,1.33333333333333,0,0.666666666666667,3.60031114952463,-0.0333333333333333,0,-0.0333333333333333,-1.43004693140794,1.96776039119804,0
"20","Glen Rice",4.60728189054999,1997,"CHH",0,14.4703079900094,0,0,0.260478585863401,0.628063717965174,1.09921726955354,2.50787014650899,0.795309074442361,1.4368897364297,1.53995189136324,0.474050510537856,0.701338377111929,2.54384748912041,3.83566353894505,-1.14907636503123,27.6666666666667,3.66666666666667,3.66666666666667,0.333333333333333,1.33333333333333,17.6797493517718,0.166666666666667,0.2,-0.0333333333333333,0.443321299638989,2.6547750611247,4.09753249475891
"21","Malik Rose",0.310192230125558,1997,"CHH",0,14.4703079900094,0,0,0,0.0262608344198892,0,0.181291817819927,0.542256187119792,0.195939509513141,0,0,0.036806818645438,0,0,0,2,2.5,0.5,0,0,0.927847882454624,0,0,0,0,0.111002444987775,0
"22","Donald Royal",0.118424994225349,1997,"CHH",0,14.4703079900094,0,0,0,-0.111724232779771,0,0,0.433804949695833,0,0,0,-0.00561606387782505,0,0,0,0,2,0,0,0,-0.141573033707865,0,0,0,0,-0.472249388753056,0
"23","Tony Smith",0,1997,"CHH",0,14.4703079900094,0,0,-0.204055700000482,0,-0.126001311028415,0.0453229544549818,0.108451237423958,0.391879019026281,0.577481959261216,0,-0.0118585348804844,-0.763154246736124,-0.958915884736263,0,0.5,0.5,1,0,0.5,-0.298936905790838,-0.05,-0.05,0,-0.347292418772563,0,-0.469692826542703
"24","Randy Brown",0.221509057616742,1997,"CHI",1,29.1929360635611,0.0105434357555327,0.0075877622290014,0,-1.22251703846775,-0.180871666539333,0.111974358065249,0.12758969108701,0.138310242009276,0.543512432245851,0.167311944895714,0.0931402593891601,0,-0.225627266996768,0.405556364128668,1.23529411764706,0.588235294117647,0.352941176470588,0.117647058823529,0.470588235294118,2.34793431287813,0,-0.0117647058823529,0.0117647058823529,0,-5.16748166259169,-0.674232066356759
"25","Jud Buechler",0.681297638593607,1997,"CHI",1,29.1929360635611,0.0324285515012048,0.023337756678884,-0.100772122615623,0.00786899540634736,-0.180871666539333,0.166184166334933,0.277153162305671,0.108855283062856,0.192493986420405,0.0790084184229759,0.312987559960327,0.339179665216055,0.213092418830281,0.383025455010408,1.83333333333333,1.27777777777778,0.277777777777778,0.0555555555555556,0.166666666666667,7.88997407087295,0.0222222222222222,0.0111111111111111,0.0111111111111111,-0.171509025270758,0.0332616136919314,-0.674232066356759
"26","Jason Caffey",0.989638085763295,1997,"CHI",1,29.1929360635611,0.0471050064080317,0.0338999161854971,0,-0.134667756948601,0.19211676394298,0.218616603841677,0.535876702565441,0.345775605023189,0.203817162092194,0.250967917343571,0.4509051286523,0.359131410228764,0.225627266996768,0.405556364128668,2.41176470588235,2.47058823529412,0.882352941176471,0.176470588235294,0.176470588235294,11.3666810717373,0.0235294117647059,0.0117647058823529,0.0117647058823529,0,-0.569229828850855,0.716150214201077
"27","Bison Dele",2.0884532590441,1997,"CHI",1,29.1929360635611,0.0994066473040703,0.0715396784515598,0,0.215301822564614,-1.81996176279698,0.553417128081883,0.810530300747478,0.226877326804689,1.15496391852243,0.598800644889923,1.00156019187305,0.722988233750012,0.201877028365529,1.27003177187662,6.10526315789474,3.73684210526316,0.578947368421053,0.421052631578947,1,25.2479170267934,0.0473684210526316,0.0105263157894737,0.0368421052631579,0,0.910063569682151,-6.7842388114119
"28","Ron Harper",3.76342056303871,1997,"CHI",1,29.1929360635611,0.179132101207813,0.128915452520593,-0.118004435576163,-0.291455928652387,0.113824200046045,0.677458898169202,0.924689498035855,1.17563705707884,1.45890179181781,1.04790112855736,1.74648786477517,1.60664051944447,1.00938514182764,1.81433110268088,7.47368421052632,4.26315789473684,3,0.736842105263158,1.26315789473684,44.0264909248055,0.105263157894737,0.0526315789473684,0.0526315789473684,-0.200837545126355,-1.2319608801956,0.424300428402153
"29","Michael Jordan",7.09604710761656,1997,"CHI",1,29.1929360635611,0.337759176091291,0.243074115332782,-6.03460582057351,2.52370841332211,3.8175817063395,2.81479401351992,1.71238795932566,1.87689424902061,1.82362723977226,1.27245137039109,4.70634793060013,3.13294901291672,2.52346285456911,2.72149665402132,31.0526315789474,7.89473684210526,4.78947368421053,0.894736842105263,1.57894736842105,118.640380293863,0.205263157894737,0.131578947368421,0.0789473684210526,-10.2705920577617,10.6675134474328,14.2307308358399
"30","Steve Kerr",2.10620005219863,1997,"CHI",1,29.1929360635611,0.100251362980732,0.0721475924043013,0.831821818898016,0.113858648616982,0.729179734513921,0.453229544549818,0.205486555119079,0.41250423055398,1.03338876920428,0.149700161222481,0.869150685830478,0.803320259722236,0.504692570913822,0.907165551340441,5,0.947368421052632,1.05263157894737,0.105263157894737,0.894736842105263,21.9100605012965,0.0526315789473684,0.0263157894736842,0.0263157894736842,1.41571841155235,0.481271393643032,2.71815021420108
