"","stat","loading","year"
"1","x3PAVG",0.372010091329965,2019
"2","x2PAVG",0.577053384429469,2019
"3","xFTAVG",0.482104701054003,2019
"4","ASTtTOV",0.31655734654946,2019
"5","SPBtPFR",0.0346298484184685,2019
"6","TS",0.176864998823218,2019
"7","FTr",0.404356195481333,2019
"8","PTS",0.359746301317005,2019
"9","TRB",0.34036653975769,2019
"10","AST",0.271462768233386,2019
"11","STL",0.300294114117477,2019
"12","BLK",0.265549032335604,2019
"13","PER",0.365200613425684,2019
"14","WS",0.381720358898632,2019
"15","OWS",0.33831887642311,2019
"16","DWS",0.356099363420959,2019
