"","Player","Eff","Vol","allstar"
"1","Alaa Abdelnaby",-0.567945437393679,-2.20456832475728,0
"2","Mahmoud Abdul-Rauf",-2.20161447618386,-1.33074322768975,0
"3","Mark Acres",0.0442439996579324,-0.871380138693454,0
"4","Michael Adams",0.513517355262384,4.21866599351861,0
"5","Mark Aguirre",-0.209613570553217,1.24782261877128,0
"6","Danny Ainge",2.48371897401158,1.09631857095328,0
"7","Mark Alarie",-0.58781586230232,-1.61110950655849,0
"8","Steve Alford",0.467423534794138,-2.21005470703807,0
"9","Greg Anderson",-1.61023095309926,-1.6701514525785,0
"10","Nick Anderson",-0.942915960085469,0.956536080927208,0
"11","Ron Anderson",-0.01394051355287,0.821741104621426,0
"12","Willie Anderson",-0.680488305456355,1.98647327239218,0
"13","Michael Ansley",0.772516089743952,-0.867029032403333,0
"14","B.J. Armstrong",0.698045483867539,0.245468432947249,0
"15","Vincent Askew",0.436407742921971,-1.94032997544453,0
"16","Keith Askins",-0.72864066875915,-2.0084871797473,0
"17","Milos Babic",-0.938365847792947,-3.066813419153,0
"18","Thurl Bailey",-0.407469767600959,0.963857041063323,0
"19","Cedric Ball",-0.876279131091867,-2.85902291609164,0
"20","Ken Bannister",-0.350698675115631,-2.48872715901221,0
"21","Charles Barkley",3.0661999611189,6.86515953056309,1
"22","Dana Barros",1.55938155274951,-1.24241621773901,0
"23","John Battle",0.59189326620114,0.211625586197331,0
"24","Kenny Battle",-0.322750921390271,-0.875429705190528,0
"25","William Bedford",-0.616276786066545,-1.69902336968135,0
"26","Benoit Benjamin",-0.0657553439074956,2.14522692058325,0
"27","Winston Bennett",-0.763805676771472,-2.11217730522487,0
"28","Larry Bird",1.35477866999793,4.64695681818113,1
"29","Rolando Blackman",1.4426477092437,1.84111373693749,0
"30","Lance Blanks",-0.738093348894416,-2.64503008837523,0
"31","Mookie Blaylock",-2.43920407764632,1.98368089152019,0
"32","Muggsy Bogues",0.0520422394824806,1.66030887482533,0
"33","Manute Bol",-1.67324392145914,-0.524984190956983,0
"34","Anthony Bonner",-0.920111741582305,-0.630024143159351,0
"35","Sam Bowie",-1.33949171654497,1.23920984309353,0
"36","Randy Breuer",-1.6350232148171,-0.773146359962317,0
"37","Frank Brickowski",1.12948156761607,1.47387208382916,0
