"","stat","loading","year"
"1","x3PAVG",0,1977
"2","x2PAVG",0.232155597587273,1977
"3","xFTAVG",0.221567908253343,1977
"4","ASTtTOV",3.88578058618805e-16,1977
"5","SPBtPFR",0.651286404330326,1977
"6","TS",0.415908791338296,1977
"7","FTr",0.547592309444834,1977
"8","PTS",0.371577954116862,1977
"9","TRB",0.314447298759865,1977
"10","AST",0.261744925471526,1977
"11","STL",0.296172903853136,1977
"12","BLK",0.237272225222758,1977
"13","PER",0.387546524566823,1977
"14","WS",0.394522572398289,1977
"15","OWS",0.34432724363697,1977
"16","DWS",0.355139686492062,1977
