"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Don Ackerman","PG","23","NYK","28","0","220","14","63",".222","0","0","0","14","63",".222",".222","15","28",".536","0","0","15","23","0","0","0","43","43",1954,"1.0",".285","0",".444","0","0","0","0","0","0","0","0","-0.7","0.1","-0.6","-0.123","0","0","0","0"
"2","Don Asmonga","G","25","BLB","7","0","46","2","15",".133","0","0","0","2","15",".133",".133","1","1","1.000","0","0","1","5","0","0","0","12","5",1954,"-7.5",".162","0",".067","0","0","0","0","0","0","0","0","-0.3","0.0","-0.3","-0.279","0","0","0","0"
"3","Jim Baechtold","SF","26","NYK","70","0","1627","170","465",".366","0","0","0","170","465",".366",".366","134","177",".757","0","0","183","117","0","0","0","195","474",1954,"10.5",".437","0",".381","0","0","0","0","0","0","0","0","1.2","0.9","2.1",".062","0","0","0","0"
"4","Don Barksdale*","PF","30","BOS","63","0","1358","156","415",".376","0","0","0","156","415",".376",".376","149","225",".662","0","0","345","117","0","0","0","213","461",1954,"14.2",".448","0",".542","0","0","0","0","0","0","0","0","1.5","0.8","2.3",".082","0","0","0","0"
"5","Leo Barnhorst","SF","29","TOT","72","0","2064","199","588",".338","0","0","0","199","588",".338",".338","63","88",".716","0","0","297","226","0","0","0","203","461",1954,"0",".368","0",".150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Ernie Barrett","SG","24","BOS","59","0","641","60","191",".314","0","0","0","60","191",".314",".314","14","25",".560","0","0","100","55","0","0","0","116","134",1954,"4.7",".332","0",".131","0","0","0","0","0","0","0","0","-1.1","0.3","-0.8","-0.058","0","0","0","0"
"7","Ernie Beck","SG","22","PHW","15","0","422","39","142",".275","0","0","0","39","142",".275",".275","34","43",".791","0","0","50","34","0","0","0","29","112",1954,"8.1",".348","0",".303","0","0","0","0","0","0","0","0","-0.7","0.3","-0.4","-0.051","0","0","0","0"
"8","Irv Bemoras","SF","23","MLH","69","0","1496","185","505",".366","0","0","0","185","505",".366",".366","139","208",".668","0","0","214","79","0","0","0","152","509",1954,"12.7",".427","0",".412","0","0","0","0","0","0","0","0","0.8","1.2","2.0",".063","0","0","0","0"
"9","Bill Bolger","SF","22","BLB","20","0","202","24","59",".407","0","0","0","24","59",".407",".407","8","13",".615","0","0","36","11","0","0","0","27","56",1954,"10.7",".433","0",".220","0","0","0","0","0","0","0","0","0.1","0.1","0.2",".039","0","0","0","0"
"10","Vince Boryla","SF","26","NYK","52","0","1522","175","525",".333","0","0","0","175","525",".333",".333","70","81",".864","0","0","130","77","0","0","0","128","420",1954,"6.8",".375","0",".154","0","0","0","0","0","0","0","0","-1.6","0.7","-1.0","-0.031","0","0","0","0"
