"","Player","Contrib","Yr","Tm","W","sumContrib","playoffSc","playoffShare","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","PER","WS","OWS","DWS","orig.PTS","orig.TRB","orig.AST","orig.BLK","orig.STL","orig.adj.PER","orig.WS.G","orig.OWS.G","orig.DWS.G","orig.x3PAVG","orig.x2PAVG","orig.xFTAVG"
"1","Stacey Augmon",2.47961131269553,1994,"ATL",0.333333333333333,23.1810843853242,0.0386028676700401,0.0356556703945704,0,1.14870351572743,-0.262356305034526,0.991926556533013,0.519118739505175,0.920957009248047,0.70270094124204,0.200751599455118,0.855889878144145,1.12292426597277,0.871597852923563,0.591388294572782,10.8181818181818,2.63636363636364,2.54545454545455,0.181818181818182,0.636363636363636,21.4988222698073,0.0727272727272727,0.0454545454545455,0.0181818181818182,0,5.25428503075872,-0.906163704311366
"2","Mookie Blaylock",4.09994559918128,1994,"ATL",0.333333333333333,23.1810843853242,0.0638284139974772,0.0589553323021266,0.157579831177319,-2.01944806703441,0.852535106542926,1.19197897129597,0.984535540440848,3.22334953236816,2.40926036997271,0.501878998637795,1.39080133828702,1.26328979921936,0.522958711754138,1.77416488371835,13,5,8.90909090909091,0.454545454545455,2.18181818181818,34.935091006424,0.0818181818181818,0.0272727272727273,0.0545454545454545,0.214537095088819,-9.23715789473684,2.94460760185945
"3","Doug Edwards",0.239835113261949,1994,"ATL",0.333333333333333,23.1810843853242,0.0037337800051475,0.00344871863736434,0,0,0,0,0,0,0,1.10413379700315,0.00727435427112561,0,0,0,0,0,0,1,0,0.182722162740899,0,0,0,0,0,0
"4","Craig Ehlo",2.36975472775098,1994,"ATL",0.333333333333333,23.1810843853242,0.0368926080057192,0.0340759832220684,0.124205253077089,-0.331539193684618,-0.186544460056146,1.04193966022375,0.537019385695008,1.31565287035435,1.10424433623749,0,0.856146156207897,0.842193199479575,0.522958711754138,0.887082441859173,11.3636363636364,2.72727272727273,3.63636363636364,0,1,21.5052596359743,0.0545454545454545,0.0272727272727273,0.0272727272727273,0.169099268547544,-1.51649350649351,-0.644313918512442
"5","Duane Ferrell",1.71832515466859,1994,"ATL",0.333333333333333,23.1810843853242,0.0267510791792865,0.0247087255296312,-0.266327352607397,-0.657358195721663,0.157943872742186,0.650170347979622,0.554920031884842,0.5591524699006,0.501929243744314,0.301127399182677,0.619325511603475,0.842193199479575,0.871597852923563,0.591388294572782,7.09090909090909,2.81818181818182,1.54545454545455,0.272727272727273,0.454545454545455,15.5566381156317,0.0545454545454545,0.0454545454545455,0.0181818181818182,-0.362591431556949,-3.00682228298018,0.545529122231339
"6","Paul Graham",0.0326767275812076,1994,"ATL",0.333333333333333,23.1810843853242,0.000508714968450459,0.000469876315793277,-0.25020955893375,0.11850131864795,0,0.183381380199381,0,0,0,0,0.00962028423932059,0,0,0,2,0,0,0,0,0.241648822269807,0,0,0,-0.340647857889237,0.542036910457963,0
"7","Adam Keefe",0.582303672926196,1994,"ATL",0.333333333333333,23.1810843853242,0.00906536904177627,0.00837325903664871,0,0.310524262484793,-0.75786362839112,0.209578720227864,0.365684629306601,0.103372725527842,0.15774919089107,0.157733399571878,0.103891184305778,0.220574409387508,0,0.464662231450043,2.28571428571429,1.85714285714286,0.285714285714286,0.142857142857143,0.142857142857143,2.60960920770878,0.0142857142857143,0,0.0142857142857143,0,1.42036910457963,-2.61761771944217
"8","Jon Koncak",1.2296335143511,1994,"ATL",0.333333333333333,23.1810843853242,0.0191430727848799,0.017681564473167,0,-0.706491711569696,-0.969461338188294,0.483460002343822,0.537019385695008,0.427587182865165,0.602315092493177,1.20450959673071,0.372884582759732,0.280731066493192,-0.174319570584713,0.887082441859173,5.27272727272727,2.72727272727273,1.18181818181818,1.09090909090909,0.545454545454545,9.36636777301927,0.0181818181818182,-0.00909090909090909,0.0272727272727273,0,-3.23156390977444,-3.34846413271352
"9","Andrew Lang",1.9929304700202,1994,"ATL",0.333333333333333,23.1810843853242,0.0310261655993772,0.0286574236835086,-0.25020955893375,0.136046088912539,0.243020491536998,0.625163796134252,0.841330370922179,0.164456608794294,0.602315092493177,2.00751599455118,0.562786628000255,0.561462132986383,0,1.18277658914556,6.81818181818182,4.27272727272727,0.454545454545455,1.81818181818182,0.545454545454545,14.1364561027837,0.0363636363636364,0,0.0363636363636364,-0.340647857889237,0.622288448393714,0.839378908030263
"10","Danny Manning",4.98682685589662,1994,"ATL",0.333333333333333,23.1810843853242,0.0776354811038149,0.0717082769296411,0,1.12947865677991,1.01569041455686,1.83381380199381,1.37834975661719,1.21697890507778,1.50578773123294,0.903382197548031,1.64601486238998,2.10548299869894,1.56887613526241,1.77416488371835,20,7,3.36363636363636,0.818181818181818,1.36363636363636,41.3457173447538,0.136363636363636,0.0818181818181818,0.0545454545454545,0,5.16634859876965,3.50813672409079
"11","Ennis Whatley",0.483150971149706,1994,"ATL",0.333333333333333,23.1810843853242,0.0075217486339294,0.00694748878178144,0,-0.838408933604249,0.0350986383871525,0.200052414762961,0.25060904665767,0.394695861106306,0.70270094124204,0,0.120292980385931,0,-0.348639141169425,0.591388294572782,2.18181818181818,1.27272727272727,1.09090909090909,0,0.636363636363636,3.02160064239829,0,-0.0181818181818182,0.0181818181818182,0,-3.83496650717703,0.121228693829186
"12","Kevin Willis",2.96609026584081,1994,"ATL",0.333333333333333,23.1810843853242,0.0461764267018032,0.0426510140270319,-1.25104779466875,0.488965430975765,0.165094019570676,1.11695931575986,2.1301768965902,0.361804539347447,0.803086789990903,0.501878998637795,1.03477196664332,1.12292426597277,0.174319570584713,2.06985903100474,12.1818181818182,10.8181818181818,1,0.454545454545455,0.727272727272727,25.9921038543897,0.0727272727272727,0.00909090909090909,0.0636363636363636,-1.70323928944619,2.23657689678742,0.570225321301615
