"","stat","loading","year"
"1","x3PAVG",0,1963
"2","x2PAVG",0.67055383416121,1963
"3","xFTAVG",0.0849042107991339,1963
"4","ASTtTOV",2.77555756156289e-17,1963
"5","SPBtPFR",6.93889390390723e-18,1963
"6","TS",0.619099940458377,1963
"7","FTr",0.399830081665589,1963
"8","PTS",0.42158102486142,1963
"9","TRB",0.37082770290662,1963
"10","AST",0.265620968857295,1963
"11","STL",0,1963
"12","BLK",0,1963
"13","PER",0.429370601333186,1963
"14","WS",0.426758521050257,1963
"15","OWS",0.384234073831535,1963
"16","DWS",0.316360527034749,1963
