"","stat","loading","year"
"1","x3PAVG",0.278298897514565,2018
"2","x2PAVG",0.555128897736873,2018
"3","xFTAVG",0.566356499734194,2018
"4","ASTtTOV",0.42024200143328,2018
"5","SPBtPFR",0.0178057598415538,2018
"6","TS",0.147023530465127,2018
"7","FTr",0.308359599146579,2018
"8","PTS",0.364556320762564,2018
"9","TRB",0.334726602074444,2018
"10","AST",0.276261005814288,2018
"11","STL",0.300859098734235,2018
"12","BLK",0.269853483970969,2018
"13","PER",0.367977474869951,2018
"14","WS",0.376631034804897,2018
"15","OWS",0.32693789533711,2018
"16","DWS",0.362288285240441,2018
