"","Player","Contrib","Yr","Tm","W","sumContrib","playoffSc","playoffShare","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","PER","WS","OWS","DWS","orig.PTS","orig.TRB","orig.AST","orig.BLK","orig.STL","orig.adj.PER","orig.WS.G","orig.OWS.G","orig.DWS.G","orig.x3PAVG","orig.x2PAVG","orig.xFTAVG"
"1","Jerome Anderson",0.0348826064255761,1976,"BOS",1,25.3713645111323,0.00151503791118789,0.00137488097694827,0,-0.0766353100422127,0,0.0411890483116697,0.0462673982288086,0.0916999220695232,0,0,0.0118406724186286,0,0,0,0.5,0.25,0.25,0,0,0.259098360655738,0,0,0,0,-0.383445141065831,0
"2","Jim Ard",0.618959244155454,1976,"BOS",1,25.3713645111323,0.0268829315371386,0.0243959777521572,0,-0.0742752088892519,0.207690632315764,0.190499348441473,0.300738088487256,0.183399844139046,0.0658539701425583,0.217726293672483,0.265274514186156,0.19528269370061,0,0.417908732857475,2.3125,1.625,0.5,0.1875,0.0625,5.80475409836066,0.0125,0,0.0125,0,-0.371636363636364,0.716150214201077
"3","Tom Boswell",0.0465529813344455,1976,"BOS",1,25.3713645111323,0.00202191117085777,0.00183486313138654,0,0.0156630020769898,0,0.0549187310822263,0.0616898643050782,0,0,0,0.00534459709171126,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0.116950819672131,0,0,0,0,0.0783699059561128,0
"4","Dave Cowens",6.33128321537715,1976,"BOS",1,25.3713645111323,0.274983296280606,0.249544450500451,0,-0.260003954917782,0.609415738873682,1.72994002909013,3.04336663905052,1.6913541181712,1.2878109716767,0.838649427479195,3.27675944132551,2.34339232440732,1.15544852234303,3.15753264825647,21,16.4444444444444,4.61111111111111,0.722222222222222,1.22222222222222,71.702262295082,0.15,0.0555555555555556,0.0944444444444444,0,-1.30093103448276,2.1013620453924
"5","John Havlicek",3.14214729666237,1976,"BOS",1,25.3713645111323,0.136471232077705,0.123846208400959,0,-0.604917670615008,1.01074779495359,1.08739087542808,0.690926480216876,1.24711894014551,0.842930817824746,0.387068966528859,1.4263121913449,1.35396000965756,0.693269113405816,1.5601926026679,13.2,3.73333333333333,3.4,0.333333333333333,0.8,31.2106557377049,0.0866666666666667,0.0333333333333333,0.0466666666666667,0,-3.02670846394985,3.48521857624647
"6","Steve Kuberski",1.32326995960717,1976,"BOS",1,25.3713645111323,0.0574728886678321,0.052156042258845,0,0.132503358890585,0.551596821374268,0.443926409581329,0.524363846593165,0.326044167358305,0,0.19353448326443,0.650215860815994,0.520753849868294,0.231089704468605,0.557211643809966,5.38888888888889,2.83333333333333,0.888888888888889,0.166666666666667,0,14.2280655737705,0.0333333333333333,0.0111111111111111,0.0166666666666667,0,0.662981191222567,1.90199325494486
"7","Glenn McDonald",0,1976,"BOS",1,25.3713645111323,0,0,0,-0.794081626259063,0.170793055039227,0.13307230993001,0.113888980255529,0.112861442547105,0.0810510401754564,0,0.0679589418815968,-0.120173965354222,-0.319970360033453,0.257174604835369,1.61538461538462,0.615384615384615,0.307692307692308,0,0.0769230769230769,1.48708196721311,-0.00769230769230769,-0.0153846153846154,0.00769230769230769,0,-3.97319122257053,0.58892152037189
"8","Don Nelson",2.61686862163186,1976,"BOS",1,25.3713645111323,0.113657079462485,0.103142604745742,0,0.435689584014545,2.70451533745952,0.750555991457093,0.544927134694857,0.346421927818199,0.175610587046822,0.129022988842953,1.09499062366767,1.04150769973659,0.924358817874421,0.742948858413288,9.11111111111111,2.94444444444444,0.944444444444444,0.111111111111111,0.166666666666667,23.9606557377049,0.0666666666666667,0.0444444444444444,0.0222222222222222,0,2.17997492163009,9.32559748427673
"9","Charlie Scott",1.81707234177449,1976,"BOS",1,25.3713645111323,0.0789199479985202,0.0716190231304748,0,-3.96271697075543,0.608747613859773,1.26770737581472,0.781404947864324,1.44682099265248,1.22927410932776,0.516091955371813,1.64770017656659,0.607546158179676,-0.346634556702908,1.85737214603322,15.3888888888889,4.22222222222222,3.94444444444444,0.444444444444444,1.16666666666667,36.0550819672131,0.0388888888888889,-0.0166666666666667,0.0555555555555556,0,-19.827473354232,2.09905824446268
"10","Paul Silas",4.92355059527178,1976,"BOS",1,25.3713645111323,0.213841985271468,0.194059353532659,0,-0.394426971342924,1.54389582768959,0.887852819162659,2.52928443650821,0.85586593931555,1.40488469637458,0.387068966528859,2.1411629153635,1.99622309116179,1.03990367010872,2.78605821904983,10.7777777777778,13.6666666666667,2.33333333333333,0.333333333333333,1.33333333333333,46.8530655737705,0.127777777777778,0.05,0.0833333333333333,0,-1.97351724137931,5.32359748427674
"11","Kevin Stacom",0,1976,"BOS",1,25.3713645111323,0,0,0,-1.54525226550792,-0.025030910437015,0.164756193246679,0.185069592915235,0.34522323602644,0.30990103596498,0,0.207591972403663,0,-0.367024824744255,0.3933258662188,2,1,0.941176470588235,0,0.294117647058824,4.54254098360656,0,-0.0176470588235294,0.0117647058823529,0,-7.73167711598746,-0.0863105459848689
"12","Jo Jo White",4.75760748004298,1976,"BOS",1,25.3713645111323,0.206634665164565,0.18751878630554,0,-1.17265450689966,2.37361211679733,1.86723685679569,0.729996727610092,1.99702052506962,1.34634783402564,0.0645114944214766,2.66371677410268,1.82263847453903,1.15544852234303,2.04310936063654,22.6666666666667,3.94444444444444,5.44444444444444,0.0555555555555556,1.27777777777778,58.2876229508197,0.116666666666667,0.0555555555555556,0.0611111111111111,0,-5.86738244514107,8.18459073922158
"13","Don Adams",0.679856540217629,1976,"BUF",0.333333333333333,21.6796124370303,0.00984261726348078,0.0104530856996377,0,-0.315247363243325,0.247980222793478,0.329512386493358,0.555208778745704,0.529821771957245,0.234147449395763,0,0.257105536517525,0,0,0.371474429206644,4,3,1.44444444444444,0,0.222222222222222,5.626,0,0,0.0111111111111111,0,-1.57734169278997,0.855075107100538
