"","stat","loading","year"
"1","x3PAVG",0,1973
"2","x2PAVG",0.654060945977797,1973
"3","xFTAVG",0.119369336354534,1973
"4","ASTtTOV",0,1973
"5","SPBtPFR",6.93889390390723e-18,1973
"6","TS",0.632171201709576,1973
"7","FTr",0.397887939266797,1973
"8","PTS",0.403559085758197,1973
"9","TRB",0.317039407562977,1973
"10","AST",0.348118114070467,1973
"11","STL",0,1973
"12","BLK",0,1973
"13","PER",0.418328882371009,1973
"14","WS",0.423472776254735,1973
"15","OWS",0.385360675654191,1973
"16","DWS",0.335572288210485,1973
