"","Player","Contrib","Yr","Tm","W","sumContrib","playoffSc","playoffShare","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","PER","WS","OWS","DWS","orig.PTS","orig.TRB","orig.AST","orig.BLK","orig.STL","orig.adj.PER","orig.WS.G","orig.OWS.G","orig.DWS.G","orig.x3PAVG","orig.x2PAVG","orig.xFTAVG"
"1","Mike Bibby",0.556753711567104,2008,"ATL",0.1875,13.6012352922829,0.0045287527664711,0.00767513528554731,-0.696895892515256,-1.01378493360583,-0.634384971136074,0.977110127087856,0.671825572450119,1.23962253837075,0.793685128092442,0.394212315602753,0.385610062059721,-0.44639311179038,-0.298838761656244,-0.544214757515969,10.2857142857143,3.14285714285714,3.14285714285714,0.285714285714286,0.571428571428571,9.58297009630005,-0.0285714285714286,-0.0142857142857143,-0.0142857142857143,-1.38444282399735,-4.34177982006385,-2.52308522468325
"2","Josh Childress",1.84313827233956,2008,"ATL",0.1875,13.6012352922829,0.014992477600826,0.0254086058094846,-0.3520464954586,0.729466515766808,-0.708575518482188,0.678548699366567,1.2215010408184,0.619811269185375,0.198421282023111,0.985530789006882,0.546947930923129,0.66958966768557,0.896516284968731,0,7.14285714285714,5.71428571428571,1.57142857142857,0.714285714285714,0.142857142857143,13.592450462192,0.0428571428571429,0.0428571428571429,0,-0.699370235333112,3.1241172487182,-2.81815695925622
"3","Al Horford",3.17907335417259,2008,"ATL",0.1875,13.6012352922829,0.025859256882185,0.0438251556640273,0,0.0017304443809951,0.0417746726619699,1.19424571088516,2.22923939949358,1.40866197542131,0.595263846069332,1.37974310460963,0.809690887840398,0.89278622358076,0.896516284968731,0.544214757515969,12.5714285714286,10.4285714285714,3.57142857142857,1,0.428571428571429,20.1219945454107,0.0571428571428571,0.0428571428571429,0.0142857142857143,0,0.00741104769275314,0.166146841673504
"4","Joe Johnson",2.52939292007549,2008,"ATL",0.1875,13.6012352922829,0.0205746184467127,0.0348689778775639,1.70913201082044,-1.47379125295577,1.44499827485253,1.89993635822639,0.824513202552419,1.57770141247186,0.396842564046221,0,0.852399124770802,0.66958966768557,1.49419380828122,-1.08842951503194,20,3.85714285714286,4,0,0.285714285714286,21.1833562619168,0.0428571428571429,0.0714285714285714,-0.0285714285714286,3.39533576400398,-6.31186843378156,5.7470683620454
"5","Solomon Jones",0,2008,"ATL",0.1875,13.6012352922829,0,0,0,-0.634866721129061,-0.369528160295194,0.0542838959493253,0.24430020816368,0.0563464790168522,0.198421282023111,0.591318473404129,0.0392554809819649,-0.22319655589519,-0.298838761656244,0,0.571428571428571,1.14285714285714,0.142857142857143,0.428571428571429,0.142857142857143,0.975555716457896,-0.0142857142857143,-0.0142857142857143,0,0,-2.71897068782045,-1.4696928265427
"6","Acie Law",0.645033874030623,2008,"ATL",0.1875,13.6012352922829,0.00524684233044699,0.00889212257429023,0,0.519485691757139,0.415249363457493,0.284990453733958,0.0610750520409199,0.450771832134818,0.396842564046221,0,0.151980115525878,0,0.298838761656244,0,3,0.285714285714286,1.14285714285714,0,0.285714285714286,3.77692660439746,0,0.0142857142857143,0,0,2.22482344974364,1.65153586728648
"7","Zaza Pachulia",0,2008,"ATL",0.1875,13.6012352922829,0,0,-0.1760232477293,-1.00812263443653,-0.110070668320387,0.393558245632609,0.6107505204092,0.112692958033704,0.396842564046221,0,0.0597366014942944,-0.44639311179038,-0.597677523312488,0,4.14285714285714,2.85714285714286,0.285714285714286,0,0.285714285714286,1.48454130765332,-0.0285714285714286,-0.0285714285714286,0,-0.349685117666556,-4.31752965076908,-0.437774678698386
"8","Jeremy Richardson",0,2008,"ATL",0.1875,13.6012352922829,0,0,0,-0.207247639876152,0,0.0633312119408796,0,0,0,0,-0.0104759754344674,0,0,0,0.666666666666667,0,0,0,0,-0.260343204691912,0,0,0,0,-0.88758827512818,0
"9","Josh Smith",3.30515915238865,2008,"ATL",0.1875,13.6012352922829,0.0268848655052087,0.0455633130194055,-1.65526889701528,-0.243487628539705,1.17437910274994,1.49280713860645,1.3741886709207,1.12692958033704,2.38105538427733,3.94212315602753,0.78575701137963,0.22319655589519,-0.597677523312488,1.63264427254791,15.7142857142857,6.42857142857143,2.85714285714286,2.85714285714286,1.71428571428571,19.527202954167,0.0142857142857143,-0.0285714285714286,0.0428571428571429,-3.28833211799801,-1.04279481474315,4.67075781606052
"10","Salim Stoudamire",0.346534772122472,2008,"ATL",0.1875,13.6012352922829,0.0028187873296987,0.00477715945476138,-0.0503933702413946,0.136666818932464,0.133336320801131,0.379987271645277,0.0712542273810733,0,0.462982991387258,0,0.0450427707819047,0,0,0,4,0.333333333333333,0,0,0.333333333333333,1.11937827335699,0,0,0,-0.100110705999337,0.585308793653865,0.530307173457297
"11","Mario West",0.00862039532415398,2008,"ATL",0.1875,13.6012352922829,7.012012378409e-05,0.0001188365680429,0,-0.0972954144306513,-0.184764080147597,0.0316656059704398,0.0712542273810733,0,0,0,0.00859265400804629,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.21353993193831,0,0,0,0,-0.416691206346135,-0.734846413271352
"12","Marvin Williams",1.27030989234775,2008,"ATL",0.1875,13.6012352922829,0.0103329700722652,0.0175118729804155,0,-0.784084027954751,1.3953305411899,1.08567791898651,0.855050728572879,0.281732395084261,0.396842564046221,0.591318473404129,0.448956362954656,0.22319655589519,0.597677523312488,-0.544214757515969,11.4285714285714,4,0.714285714285714,0.428571428571429,0.285714285714286,11.1572176767311,0.0142857142857143,0.0285714285714286,-0.0142857142857143,0,-3.35802998935862,5.54952912223134
"13","Ray Allen",5.49692245221841,2008,"BOS",1,33.7825194424584,0.23847004275305,0.162714994113488,3.24062102633911,-0.758928614368614,4.12100710350454,1.47975812515709,0.805720878847521,1.07708461812983,1.2821067453801,0.424536339879888,2.8850718638934,1.86283279343293,1.60913179353362,1.61171293572037,15.5769230769231,3.76923076923077,2.73076923076923,0.307692307692308,0.923076923076923,71.6982260516979,0.119230769230769,0.0769230769230769,0.0423076923076923,6.43776864434869,-3.25029583051175,16.3901299790356
"14","Tony Allen",0.36672894078228,2008,"BOS",1,33.7825194424584,0.0159096052286197,0.0108555829119532,-0.1760232477293,0.448671375570573,-0.42095591964166,0.126662423881759,0.042752536428644,0.0788850706235931,0.185193196554903,0,0.137717879307043,0.104158392751089,0.139458088772914,0.253966886840785,1.33333333333333,0.2,0.2,0,0.133333333333333,3.42248932010716,0.00666666666666667,0.00666666666666667,0.00666666666666667,-0.349685117666556,1.92154396826932,-1.67423206635676
