"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Jay Arnette","SG","26","CIN","63","0","662","91","245",".371","0","0","0","91","245",".371",".371","56","75",".747","0","0","62","68","0","0","0","125","238",1965,"7.5",".428","0",".306","0","0","0","13.5","0","0","0","0","-0.2","0.3","0.1",".009","0","0","0","0"
"2","Al Attles*","PG","28","SFW","73","0","1733","254","662",".384","0","0","0","254","662",".384",".384","171","274",".624","0","0","239","205","0","0","0","242","679",1965,"10.8",".434","0",".414","0","0","0","16.6","0","0","0","0","-0.2","1.9","1.7",".048","0","0","0","0"
"3","Jim Barnes","PF","23","NYK","75","0","2586","454","1070",".424","0","0","0","454","1070",".424",".424","251","379",".662","0","0","729","93","0","0","0","312","1159",1965,"13.7",".469","0",".354","0","0","0","5.3","0","0","0","0","1.8","1.6","3.4",".063","0","0","0","0"
"4","Dick Barnett","SG","28","LAL","74","0","2026","375","908",".413","0","0","0","375","908",".413",".413","270","338",".799","0","0","200","159","0","0","0","209","1020",1965,"13.3",".483","0",".372","0","0","0","11.6","0","0","0","0","2.5","0.9","3.4",".081","0","0","0","0"
"5","John Barnhill","SG","26","STL","41","0","777","121","312",".388","0","0","0","121","312",".388",".388","45","70",".643","0","0","91","76","0","0","0","56","287",1965,"10.1",".419","0",".224","0","0","0","14.1","0","0","0","0","-0.4","0.8","0.4",".022","0","0","0","0"
"6","Elgin Baylor*","SF","30","LAL","74","0","3056","763","1903",".401","0","0","0","763","1903",".401",".401","483","610",".792","0","0","950","280","0","0","0","235","2009",1965,"20.5",".463","0",".321","0","0","0","15.0","0","0","0","0","2.5","2.4","4.9",".078","0","0","0","0"
"7","Zelmo Beaty*","C","25","STL","80","0","2916","505","1047",".482","0","0","0","505","1047",".482",".482","341","477",".715","0","0","966","111","0","0","0","328","1351",1965,"17.2",".537","0",".456","0","0","0","5.6","0","0","0","0","6.8","4.0","10.8",".178","0","0","0","0"
"8","Walt Bellamy*","C","25","BAL","80","0","3301","733","1441",".509","0","0","0","733","1441",".509",".509","515","752",".685","0","0","1166","191","0","0","0","260","1981",1965,"21.7",".559","0",".522","0","0","0","8.8","0","0","0","0","11.2","0.9","12.1",".175","0","0","0","0"
"9","Al Bianchi","PG","32","PHI","60","0","1116","175","486",".360","0","0","0","175","486",".360",".360","54","76",".711","0","0","95","140","0","0","0","178","404",1965,"7.3",".389","0",".156","0","0","0","17.4","0","0","0","0","-1.4","0.8","-0.6","-0.025","0","0","0","0"
"10","Bucky Bockhorn","SG","31","CIN","19","0","424","60","157",".382","0","0","0","60","157",".382",".382","28","39",".718","0","0","55","45","0","0","0","52","148",1965,"9.1",".425","0",".248","0","0","0","14.0","0","0","0","0","-0.1","0.2","0.1",".008","0","0","0","0"
"11","Ron Bonham","SF","22","BOS","37","0","369","91","220",".414","0","0","0","91","220",".414",".414","92","112",".821","0","0","78","19","0","0","0","33","274",1965,"21.6",".509","0",".509","0","0","0","7.6","0","0","0","0","1.0","0.8","1.8",".230","0","0","0","0"
"12","Bob Boozer","SF","27","NYK","80","0","2139","424","963",".440","0","0","0","424","963",".440",".440","288","375",".768","0","0","604","108","0","0","0","183","1136",1965,"17.8",".504","0",".389","0","0","0","7.7","0","0","0","0","3.9","1.4","5.3",".119","0","0","0","0"
"13","Gary Bradds","SF","22","BAL","41","0","335","46","111",".414","0","0","0","46","111",".414",".414","45","63",".714","0","0","84","19","0","0","0","36","137",1965,"13.1",".494","0",".568","0","0","0","7.6","0","0","0","0","0.4","0.1","0.5",".067","0","0","0","0"
"14","Bill Bridges","PF","25","STL","79","0","2362","362","938",".386","0","0","0","362","938",".386",".386","186","275",".676","0","0","853","187","0","0","0","276","910",1965,"14.1",".430","0",".293","0","0","0","11.4","0","0","0","0","-0.7","3.8","3.1",".063","0","0","0","0"
"15","Em Bryant","PG","26","NYK","77","0","1332","145","436",".333","0","0","0","145","436",".333",".333","87","133",".654","0","0","167","167","0","0","0","212","377",1965,"7.1",".381","0",".305","0","0","0","16.8","0","0","0","0","-1.5","0.8","-0.7","-0.026","0","0","0","0"
"16","Dave Budd","SF","26","NYK","62","0","1188","196","407",".482","0","0","0","196","407",".482",".482","121","170",".712","0","0","310","62","0","0","0","147","513",1965,"15.2",".532","0",".418","0","0","0","7.6","0","0","0","0","2.5","0.7","3.2",".130","0","0","0","0"
"17","Ed Burton","F","25","STL","7","0","42","7","20",".350","0","0","0","7","20",".350",".350","4","7",".571","0","0","13","2","0","0","0","13","18",1965,"7.8",".390","0",".350","0","0","0","7.0","0","0","0","0","-0.1","0.1","0.0","-0.017","0","0","0","0"
"18","Donnie Butcher","PG","28","DET","71","0","1157","143","353",".405","0","0","0","143","353",".405",".405","126","204",".618","0","0","200","122","0","0","0","183","412",1965,"10.9",".465","0",".578","0","0","0","13.6","0","0","0","0","0.7","1.2","1.9",".080","0","0","0","0"
"19","Al Butler","PG","26","BAL","25","0","172","24","73",".329","0","0","0","24","73",".329",".329","11","15",".733","0","0","21","12","0","0","0","25","59",1965,"5.7",".371","0",".205","0","0","0","9.4","0","0","0","0","-0.3","0.0","-0.3","-0.077","0","0","0","0"
"20","Joe Caldwell","SF","23","DET","66","0","1543","290","776",".374","0","0","0","290","776",".374",".374","129","210",".614","0","0","441","118","0","0","0","171","709",1965,"13.0",".408","0",".271","0","0","0","10.8","0","0","0","0","-1.6","1.9","0.3",".008","0","0","0","0"
"21","Wilt Chamberlain*","C","28","TOT","73","0","3301","1063","2083",".510","0","0","0","1063","2083",".510",".510","408","880",".464","0","0","1673","250","0","0","0","146","2534",1965,"28.6",".513","0",".422","0","0","0","13.8","0","0","0","0","9.6","5.5","15.1",".219","0","0","0","0"
"22","Len Chappell","C","24","NYK","43","0","655","145","367",".395","0","0","0","145","367",".395",".395","68","100",".680","0","0","140","15","0","0","0","73","358",1965,"12.9",".436","0",".272","0","0","0","3.6","0","0","0","0","-0.2","0.3","0.1",".009","0","0","0","0"
"23","Larry Costello","PG","33","PHI","64","0","1967","309","695",".445","0","0","0","309","695",".445",".445","243","277",".877","0","0","169","275","0","0","0","242","861",1965,"14.0",".527","0",".399","0","0","0","19.3","0","0","0","0","4.1","1.5","5.7",".138","0","0","0","0"
"24","Mel Counts","C","23","BOS","54","0","572","100","272",".368","0","0","0","100","272",".368",".368","58","74",".784","0","0","265","19","0","0","0","134","258",1965,"13.5",".424","0",".272","0","0","0","4.4","0","0","0","0","-0.4","1.8","1.5",".123","0","0","0","0"
"25","Steve Courtin","SG","22","PHI","24","0","317","42","103",".408","0","0","0","42","103",".408",".408","17","21",".810","0","0","22","22","0","0","0","44","101",1965,"6.9",".450","0",".204","0","0","0","9.3","0","0","0","0","0.1","0.2","0.2",".036","0","0","0","0"
"26","Dave DeBusschere*","PF","24","DET","79","0","2769","508","1196",".425","0","0","0","508","1196",".425",".425","306","437",".700","0","0","874","253","0","0","0","242","1322",1965,"17.4",".476","0",".365","0","0","0","12.8","0","0","0","0","2.8","3.7","6.6",".114","0","0","0","0"
"27","Connie Dierking","C","28","TOT","68","0","1294","218","538",".405","0","0","0","218","538",".405",".405","100","168",".595","0","0","435","72","0","0","0","165","536",1965,"13.2",".438","0",".312","0","0","0","7.9","0","0","0","0","-0.1","1.5","1.4",".052","0","0","0","0"
"28","Terry Dischinger","SG","24","DET","80","0","2698","568","1153",".493","0","0","0","568","1153",".493",".493","320","424",".755","0","0","479","198","0","0","0","253","1456",1965,"17.7",".543","0",".368","0","0","0","10.7","0","0","0","0","7.7","2.6","10.3",".183","0","0","0","0"
"29","Bob Duffy","PG","24","DET","4","0","26","4","11",".364","0","0","0","4","11",".364",".364","6","7",".857","0","0","4","5","0","0","0","4","14",1965,"18.4",".497","0",".636","0","0","0","25.9","0","0","0","0","0.1","0.0","0.1",".156","0","0","0","0"
"30","Johnny Egan","PG","26","NYK","74","0","1664","258","529",".488","0","0","0","258","529",".488",".488","162","199",".814","0","0","143","252","0","0","0","139","678",1965,"15.4",".550","0",".376","0","0","0","21.6","0","0","0","0","4.1","1.0","5.1",".146","0","0","0","0"
"31","Leroy Ellis","C","24","LAL","80","0","2026","311","700",".444","0","0","0","311","700",".444",".444","198","284",".697","0","0","652","49","0","0","0","196","820",1965,"14.2",".497","0",".406","0","0","0","3.4","0","0","0","0","2.5","1.3","3.8",".090","0","0","0","0"
"32","Wayne Embry*","C","27","CIN","74","0","2243","352","772",".456","0","0","0","352","772",".456",".456","239","371",".644","0","0","741","92","0","0","0","297","943",1965,"14.2",".504","0",".481","0","0","0","5.5","0","0","0","0","3.1","1.4","4.5",".097","0","0","0","0"
"33","Mike Farmer","SF","28","STL","60","0","1272","167","408",".409","0","0","0","167","408",".409",".409","75","94",".798","0","0","258","88","0","0","0","123","409",1965,"10.7",".455","0",".230","0","0","0","9.6","0","0","0","0","0.4","1.4","1.8",".069","0","0","0","0"
"34","Bob Ferry","PF","27","BAL","77","0","1280","143","338",".423","0","0","0","143","338",".423",".423","122","199",".613","0","0","355","60","0","0","0","156","408",1965,"10.8",".479","0",".589","0","0","0","6.1","0","0","0","0","0.9","0.3","1.2",".044","0","0","0","0"
"35","Dave Gambee","SF","27","PHI","80","0","1993","356","864",".412","0","0","0","356","864",".412",".412","299","368",".813","0","0","468","113","0","0","0","277","1011",1965,"14.7",".493","0",".426","0","0","0","8.1","0","0","0","0","2.9","1.7","4.6",".110","0","0","0","0"
"36","Tom Gola*","SG","32","NYK","77","0","1727","204","455",".448","0","0","0","204","455",".448",".448","133","180",".739","0","0","319","220","0","0","0","269","541",1965,"12.0",".506","0",".396","0","0","0","17.3","0","0","0","0","2.2","1.2","3.4",".094","0","0","0","0"
"37","Johnny Green","PF","31","NYK","78","0","1720","346","737",".469","0","0","0","346","737",".469",".469","165","301",".548","0","0","545","129","0","0","0","194","857",1965,"17.5",".493","0",".408","0","0","0","11.5","0","0","0","0","2.5","1.3","3.8",".107","0","0","0","0"
"38","Si Green","PG","31","BAL","70","0","1086","152","368",".413","0","0","0","152","368",".413",".413","101","161",".627","0","0","169","140","0","0","0","134","405",1965,"11.6",".461","0",".438","0","0","0","17.4","0","0","0","0","0.6","0.2","0.8",".037","0","0","0","0"
"39","Jerry Greenspan","SG","23","PHI","5","0","49","8","13",".615","0","0","0","8","13",".615",".615","8","8","1.000","0","0","11","0","0","0","0","12","24",1965,"15.7",".726","0",".615","0","0","0","0.0","0","0","0","0","0.3","0.0","0.3",".283","0","0","0","0"
"40","Hal Greer*","SG","28","PHI","70","0","2600","539","1245",".433","0","0","0","539","1245",".433",".433","335","413",".811","0","0","355","313","0","0","0","254","1413",1965,"16.3",".495","0",".332","0","0","0","17.9","0","0","0","0","4.4","2.2","6.6",".121","0","0","0","0"
"41","Jerry Grote","G","24","LAL","11","0","33","6","11",".545","0","0","0","6","11",".545",".545","2","2","1.000","0","0","4","4","0","0","0","5","14",1965,"14.9",".589","0",".182","0","0","0","17.8","0","0","0","0","0.1","0.0","0.1",".175","0","0","0","0"
"42","Richie Guerin*","SG","32","STL","57","0","1678","295","662",".446","0","0","0","295","662",".446",".446","231","301",".767","0","0","149","271","0","0","0","193","821",1965,"16.4",".517","0",".455","0","0","0","23.9","0","0","0","0","3.7","1.9","5.7",".162","0","0","0","0"
"43","Cliff Hagan*","SF","33","STL","77","0","1739","393","901",".436","0","0","0","393","901",".436",".436","214","268",".799","0","0","276","136","0","0","0","182","1000",1965,"16.5",".491","0",".297","0","0","0","12.5","0","0","0","0","2.9","1.8","4.7",".129","0","0","0","0"
"44","Happy Hairston","PF","22","CIN","61","0","736","131","351",".373","0","0","0","131","351",".373",".373","110","165",".667","0","0","293","27","0","0","0","95","372",1965,"15.0",".439","0",".470","0","0","0","5.1","0","0","0","0","-0.1","0.5","0.4",".027","0","0","0","0"
