"","stat","loading"
"1","x3PAVG",0
"2","x2PAVG",0.405679530296972
"3","xFTAVG",0.202839765148486
"4","ASTtTOV",5.55111512312578e-17
"5","SPBtPFR",0
"6","TS",0.642473313995527
"7","FTr",0.500078866205487
"8","PTS",0.414411802895338
"9","TRB",0.34225265061846
"10","AST",0.299446666183255
"11","STL",0
"12","BLK",0
"13","PER",0.425840487895868
"14","WS",0.424441981637754
"15","OWS",0.379984139395976
"16","DWS",0.339968545275784
