"","stat","loading"
"1","x3PAVG",0
"2","x2PAVG",0.65350724202762
"3","xFTAVG",0.32675362101381
"4","ASTtTOV",2.77555756156289e-17
"5","SPBtPFR",0.156190847186757
"6","TS",0.66705006044145
"7","FTr",0.165500707537204
"8","PTS",0.371155209502446
"9","TRB",0.3079335797754
"10","AST",0.28173722092619
"11","STL",0.306452874234942
"12","BLK",0.232204426016596
"13","PER",0.384553739565546
"14","WS",0.390353648613088
"15","OWS",0.344983501341083
"16","DWS",0.347766349529662
