"","Player","Eff","Vol","allstar","Yr","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","ASTtTOV","SPBtPFR","PER","WS","OWS","DWS","TS","FTr","orig.PTS","orig.TRB","orig.AST","orig.BLK","orig.STL","orig.adj.PER","orig.WS.G","orig.OWS.G","orig.DWS.G","orig.TS.","orig.x3PAVG","orig.x2PAVG","orig.xFTAVG","orig.AST.TOV","orig.FTr"
"1","Stacey Arceneaux",-0.670844055095976,-1.94113754495051,0,1962,0,40.0290445821681,57.3090033861417,29.2153379779155,33.6899278678505,9.14789434531134,0,0,0,0,6.68027530250086,11.3512508095915,17.3044446907351,6.19469026548673,48.4992492252644,27.5682954982686,7.14285714285714,4.57142857142857,0.571428571428571,0,0,0.0651171225108948,-0.0142857142857143,-0.0142857142857143,0,0.405,0,-1.85029573288642,-3.54700337252757,0,0.232
"2","Paul Arizin",0.773956388883292,1.72227429179022,1,1962,0,17.6074881730617,93.3105431261828,66.4046312070482,49.0110983279746,46.7206396033411,0,0,0,0,57.9230789525811,60.5642839870812,62.8377756446502,48.5526552584838,79.7035238490783,67.3780366453941,21.8717948717949,6.75641025641026,2.57692307692308,0,0,26.1428333342928,0.0807692307692308,0.05,0.032051282051282,0.486,0,-23.901082892871,42.1623056239177,0,0.403
"3","Al Attles",0.765371962808104,0.884851171859452,0,1962,0,61.5890816429029,30.3511398874949,42.5882631160078,35.7754431966511,61.9862187090868,0,0,0,0,44.2257628439047,56.3006152154291,57.4818866783258,48.0933780897162,86.8095268521772,58.1921428666198,11.2533333333333,4.73333333333333,4.44,0,0,16.2555366220129,0.0693333333333333,0.0373333333333333,0.032,0.501,0,34.7223194533969,-38.1399923434509,0,0.369
"4","Elgin Baylor",0.852601894963663,5.07881003601212,1,1962,0,46.9875758991839,78.3923985096753,87.5322056681976,84.4549098081158,64.5689778219654,0,0,0,0,53.578743605224,80.3198497753893,77.4342857894252,68.2617485505035,82.8999073512028,64.7158721524194,38.25,18.5833333333333,4.625,0,0,22.0208414168686,0.164583333333333,0.102083333333333,0.0625,0.492,0,3.11089957457778,12.0859132257771,0,0.397
"5","Walt Bellamy",2.66911949416434,5.94571742322488,1,1962,0,87.5033866775578,20.0621409387607,80.4699993046381,86.1274063767387,47.520352013545,0,0,0,0,84.4027286822428,87.962555735718,91.6889194192086,51.8761370966807,100,79.2406893898184,31.5822784810127,18.9873417721519,2.65822784810127,0,0,56.4963310632272,0.206329113924051,0.169620253164557,0.0354430379746835,0.554,0,174.298133943535,-77.491990520463,0,0.455
"6","Al Bianchi",-0.566722018491701,-0.117192346833775,0,1962,0,17.0577534267127,49.6290189756426,39.4542223745105,26.3160051061774,53.8250526642188,0,0,0,0,40.7768358175366,43.245079832761,35.7808781180555,46.1107720476045,60.6793712660937,36.3793766833397,10.325,3.5125,3.2875,0,0,14.2756768581577,0.03,0,0.03,0.437,0,-24.5977229599072,-8.36405733296873,0,0.261
"7","George Blaney",-1.28335787821073,-2.01463348067869,0,1962,0,33.5551261817004,57.7617890179848,12.5186424967657,5.04666287153479,24.0762843670942,0,0,0,0,9.81213690523368,16.067531910626,21.4103187856952,16.0042213406571,44.1383661863838,11.2078916294065,3.25,1,1.25,0,0,0.828847945102961,-0.00277777777777778,-0.0111111111111111,0.00833333333333333,0.391,0,-6.53782132267629,-3.49938902561298,0,0.12
"8","Bucky Bockhorn",-0.0871876442957542,0.665614368954191,0,1962,0,48.5882189590881,79.6035174381357,53.6897317457284,35.2679880625852,63.9068114030338,0,0,0,0,53.0675624217707,45.803463050763,49.9730436955121,27.0706820262435,69.7621481741797,22.7395151981531,15.75,4.7,4.575,0,0,21.9108383657538,0.03875,0.025,0.01375,0.469,0,4.8854118860384,13.5925502688907,0,0.203
"9","George Bon Salle",-2.80959145574838,-2.88820680001137,0,1962,0,40.5395691901716,63.3866082311817,3.09364774997785,3.51193453972526,1.32743362831858,0,0,0,0,3.54227444930317,5.57428752243513,7.27097003247906,5.75221238938053,23.8906105236254,1.32743362831858,1.33333333333333,0.666666666666667,0,0,0,2.19550737736533e-05,-0.0333333333333333,-0.0333333333333333,0,0.25,0,-1.40832796184092,0,0,0
"10","Bob Boozer",0.770873360441676,0.663527004280647,0,1962,0,51.3293630971893,46.9847850124895,47.6809833646135,63.643935835631,30.2391053973441,0,0,0,0,51.7741937443982,49.0669860826338,54.9324461194323,28.4551322412055,82.4574294750966,64.2733942763132,13.7088607594937,10.1772151898734,1.64556962025316,0,0,21.2569154380652,0.0493670886075949,0.0354430379746835,0.0139240506329114,0.492,0,11.1936284646126,-10.3588657369428,0,0.397
