"","Player","Eff","Vol","allstar","Yr","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","ASTtTOV","SPBtPFR","PER","WS","OWS","DWS","TS","FTr"
"1","Jay Arnette",-3.80848963388729,-3.31413307588217,0,1966,0,29.9918270291945,63.9090668444509,0.504566647505904,0,0,0,0,0,0,0.00100535315847812,5.1939513477975,7.17529518619437,0,13.8004246284501,0
"2","Al Attles",1.08135906968863,0.668273476876288,0,1966,0,47.0755370457784,54.6972727623641,32.2858785207894,16.5723108594956,25.5555721608656,0,0,0,0,25.6284914404172,37.67258382643,41.1444141689373,17.3217854763491,90.4458598726115,52.1739130434783
"3","Jim Barnes",0.170560670362452,0.375367967722561,0,1966,0,28.4649465613835,59.2566109583113,36.142178079567,42.0511988945212,11.5540748168394,0,0,0,0,24.5082647150879,27.9619572559509,29.1926393191744,14.9963950973324,79.4055201698514,56.8215892053973
"4","Dick Barnett",1.85549594438503,2.35605631903462,0,1966,0,46.3919325351049,70.543691643646,68.2779587404995,16.8056270372277,30.9862258953168,0,0,0,0,42.7667898196359,48.8231426692965,64.5776566757493,4.56140350877193,92.3566878980892,67.4662668665667
"5","John Barnhill",-0.658422954809829,-0.918695985801545,0,1966,0,24.2626022691685,57.3459243249442,22.3469912566432,10.86017282011,23.1404958677686,0,0,0,0,15.8905114876619,20.092390740164,19.8264735408002,13.5041551246537,70.9129511677282,45.5772113943028
"6","Rick Barry",1.36779701414969,3.77687466324609,1,1966,0,33.99952305506,88.6794541846222,76.4040045985821,43.1999485331961,19.4037780401417,0,0,0,0,57.2627855159584,56.094674556213,60.2724795640327,27.3684210526316,88.3227176220807,58.3208395802099
"7","Elgin Baylor",-0.421081836959693,0.991682661928837,0,1966,0,19.8498689346383,64.3222222422267,48.7411381490707,38.8447682014331,30.92180546726,0,0,0,0,25.9716172765584,28.0473372781065,24.8375602599036,21.0526315789474,75.1592356687898,48.8755622188906
"8","Zelmo Beaty",1.74609100162587,3.50659013156218,1,1966,0,47.5771610688768,67.7293040702637,61.153477677716,55.1942871847658,14.0200708382527,0,0,0,0,54.4209872546473,55.7051282051282,60.8106267029973,25.6578947368421,91.932059447983,64.4677661169415
"9","Walt Bellamy",2.13679294145464,3.84142003872682,0,1966,0,63.2648374060457,41.3666169048853,67.3596474420387,63.7326299536799,26.357733175915,0,0,0,0,61.948305722007,52.5887573964497,66.1920980926431,10.2631578947368,93.6305732484077,75.2623688155922
"10","Al Bianchi",-1.40007254838343,-1.6168583711007,0,1966,0,21.2746998495356,62.1201059761474,17.6598326627068,6.98496905393457,15.4148881421609,0,0,0,0,8.70166191699136,16.3809234815152,14.9025361559422,12.280701754386,65.3927813163482,26.2368815592204
