"","stat","loading","year"
"1","x3PAVG",0.1943929333052,1994
"2","x2PAVG",0.527640571450552,1994
"3","xFTAVG",0.482916902502724,1994
"4","ASTtTOV",0.363714800845995,1994
"5","SPBtPFR",0.107768815019199,1994
"6","TS",0.329656860928908,1994
"7","FTr",0.444996472249977,1994
"8","PTS",0.373168420035904,1994
"9","TRB",0.311321494024016,1994
"10","AST",0.261254938520726,1994
"11","STL",0.318319163456529,1994
"12","BLK",0.227138559181778,1994
"13","PER",0.38739175061114,1994
"14","WS",0.385994771425257,1994
"15","OWS",0.346448404968815,1994
"16","DWS",0.351511408832799,1994
