"","stat","loading","year"
"1","x3PAVG",0.412075429926136,1995
"2","x2PAVG",0.0860829934114482,1995
"3","xFTAVG",0.481241972810431,1995
"4","ASTtTOV",0.522081976671608,1995
"5","SPBtPFR",0.172479163726564,1995
"6","TS",0.402302328452712,1995
"7","FTr",0.356404133166854,1995
"8","PTS",0.374809950423106,1995
"9","TRB",0.301267176874629,1995
"10","AST",0.263779068525845,1995
"11","STL",0.32401712103753,1995
"12","BLK",0.213868798791748,1995
"13","PER",0.385096780920655,1995
"14","WS",0.392514481159542,1995
"15","OWS",0.346286475636583,1995
"16","DWS",0.355201017148292,1995
