"","stat","loading","year"
"1","x3PAVG",0.152530085484246,1989
"2","x2PAVG",0.541017821368312,1989
"3","xFTAVG",0.464635812065995,1989
"4","ASTtTOV",0.151283691599618,1989
"5","SPBtPFR",0.0556194685886617,1989
"6","TS",0.633588583224793,1989
"7","FTr",0.201824375898786,1989
"8","PTS",0.3675932347103,1989
"9","TRB",0.31496719357785,1989
"10","AST",0.259046861744905,1989
"11","STL",0.326953715602246,1989
"12","BLK",0.184645641960267,1989
"13","PER",0.38722347085036,1989
"14","WS",0.389379510519005,1989
"15","OWS",0.354560007318755,1989
"16","DWS",0.360973185381821,1989
