"","Player","Eff","Vol","allstar","Yr","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","ASTtTOV","SPBtPFR","PER","WS","OWS","DWS","TS","FTr","orig.PTS","orig.TRB","orig.AST","orig.BLK","orig.STL","orig.adj.PER","orig.WS.G","orig.OWS.G","orig.DWS.G","orig.TS.","orig.x3PAVG","orig.x2PAVG","orig.xFTAVG","orig.AST.TOV","orig.FTr"
"1","Kareem Abdul-Jabbar",1.4982498756655,5.88566484676513,1,1982,26.338197101378,94.0627313661274,21.5066613994691,86.2485149714642,76.237621888438,53.1630159945863,47.3465606262492,93.3323297288987,25.1014722069345,47.8722890097078,80.5303629279537,87.6953577909386,82.6908202750678,79.278196106739,78.026582278481,39.0379746835443,23.9210526315789,8.67105263157895,2.96052631578947,2.72368421052632,0.828947368421053,39.3021328409351,0.140789473684211,0.0907894736842105,0.0513157894736842,0.608,-0.786211699164346,107.45912281784,-12.7501146659375,0.978260869565218,0.34
"2","Alvan Adams",-0.1757401092479,3.75097358577591,0,1982,36.9963444767357,40.6935022987843,63.2482669852367,65.0557115849332,70.066168009206,67.6633775208479,72.7848101265823,59.3354430379747,48.535585120124,33.361959437203,67.822694968471,72.1553954822015,54.4173747182244,85.554355228858,53.6651898734177,16.1180379746835,15.1392405063291,7.41772151898734,4.50632911392405,0.987341772151899,1.44303797468354,29.0282618822947,0.0911392405063291,0.0316455696202532,0.059493670886076,0.529,-0.262070566388115,-3.29527580038248,10.7537857077751,1.81632653061224,0.227
"3","Mark Aguirre",0.54051181502888,0.580796196336798,0,1982,70.6938244128762,21.7698504536434,20.7379358662803,74.5644012310202,51.6127394571177,56.0679740516427,41.1345867460908,40.7737811125749,33.0672761368964,27.0289169965121,33.780528285748,42.8515671601881,44.7490284478626,32.9802300667102,47.6936708860759,31.8920886075949,18.7254901960784,4.88235294117647,3.2156862745098,0.431372549019608,0.725490196078431,10.6925338340915,0.0372549019607843,0.0196078431372549,0.0156862745098039,0.514,6.38498978644382,-16.6366155696749,-13.5470640780239,1.21481481481481,0.301
"4","Danny Ainge",-0.722182016469538,-2.01301567252101,0,1982,54.7542611086696,13.638439831648,59.0072150346272,18.8981568456321,9.93117224309009,33.8255925257969,39.5136732744208,8.66027631313038,44.5948770002388,32.0378413805744,14.2312149491861,19.5378321745682,14.3219717913568,31.5214277516813,26.5386075949367,30.4512658227848,4.13207547169811,1.05660377358491,1.64150943396226,0.0566037735849057,0.69811320754717,2.49238222726603,0.00943396226415094,-0.00566037735849057,0.0150943396226415,0.439,0.542800371402042,-27.3792010363334,8.26498313736214,1.64150943396226,0.294
"5","Tiny Archibald",1.01136253974203,1.61836269248108,1,1982,61.5462673219136,24.6279473320997,53.4190764475145,56.7208653082479,18.4737358694916,90.7664388889215,43.6103871928518,6.87789965061,66.4641409472337,19.1107197057971,48.1450312767137,67.4491326007989,66.7873244321137,50.9294224018721,59.6949367088608,56.1123417721519,12.6176470588235,1.70588235294118,7.95588235294118,0.0441176470588235,0.764705882352941,17.3957100326141,0.0764705882352941,0.05,0.0264705882352941,0.542,1.80687093779016,-14.1266855838628,3.84053340625286,3.03932584269663,0.485
"6","Dennis Awtrey",-0.0587045115983224,-3.12729936015179,0,1982,49.9203548732753,42.1724634747235,37.8005969396917,4.22135275816384,14.4246260069045,14.7482474500814,3.77373417721519,24.0912041544953,36.0232067510549,39.2778028933092,1.91311959974121,13.7876774599622,10.9029824865615,5.31880416148047,22.4898734177215,63.1012658227848,1.5,1.4,0.8,0.2,0.1,0.0159824609252949,0,-0.01,0,0.396,0,-2.46317654678922,-1.60961771944216,1.33333333333333,0.6
"7","Carl Bailey",1.35932943297218,-3.40080660599222,0,1982,49.7621270251741,48.7866120707601,43.6159995392067,6.26138173662351,0.316455696202532,1.10759493670886,1.10759493670886,3.16455696202532,1.26582278481013,1.10759493670886,0.475623683824297,13.629449611861,23.1706259753771,5.16057631337921,100,0.632911392405063,2,0,0,0,0,-0.000392957200435969,0,0,0,1,0,0.502788230214052,0,0,0
"8","James Bailey",0.0324118802992415,0.058681878779365,0,1982,49.6038991770728,58.9706650705508,11.152996622643,39.6760475579777,53.2288195119035,16.5594177741591,30.7968929804373,61.1035061984429,6.24544668063018,17.8085100553455,37.4066893121741,43.1009615602944,24.8405054283327,63.3071095668851,61.6354430379747,52.2392405063291,8.55844155844156,5.07792207792208,0.844155844155844,1.07792207792208,0.545454545454545,12.4109984126636,0.0376623376623377,0.0025974025974026,0.0350649350649351,0.546,0,9.99305625809635,-27.5175965727828,0.467625899280576,0.444
"9","Greg Ballard",0.268295489787023,4.6100538803604,0,1982,64.9603376041868,14.1443928017066,76.6527760721229,74.8536811079299,73.3601841196778,55.4864779560783,80.1424050632911,29.9375202856216,55.218859695777,37.346425912137,75.2325942157934,81.8676131197986,68.2633951794694,90.8517296446772,49.6841772151899,14.9186708860759,18.8101265822785,8.0126582278481,3.16455696202532,0.278481012658228,1.73417721518987,34.3915035597508,0.118987341772152,0.0518987341772152,0.0670886075949367,0.519,3.23244753946147,-27.257124174943,26.9284650442075,2.10084033613445,0.217
"10","Gene Banks",-0.711020908861704,0.140293808866659,0,1982,12.9839679034899,30.3324726084595,23.0248997545099,43.3264164214579,53.9066096087457,37.3731996910196,39.1564477848101,24.6079803635183,37.4649211846191,9.08720819286305,45.3560835345229,46.9947636198335,48.1132412866308,41.0776285197623,48.5348101265823,36.6060126582279,9.5875,5.1375,1.8375,0.2125,0.6875,16.5042024183107,0.04375,0.02375,0.02,0.515,-2.09656453110492,-9.15237974215041,-10.7794396135265,1.38679245283019,0.325
