"","stat","loading","year"
"1","x3PAVG",0.181637346639749,1988
"2","x2PAVG",0.518773163765888,1988
"3","xFTAVG",0.26950248563058,1988
"4","ASTtTOV",0.0352059579458746,1988
"5","SPBtPFR",0.1223557110307,1988
"6","TS",0.646454153050848,1988
"7","FTr",0.437192563531836,1988
"8","PTS",0.371647182763892,1988
"9","TRB",0.301893200646475,1988
"10","AST",0.262655118047837,1988
"11","STL",0.315616348283316,1988
"12","BLK",0.178264322869578,1988
"13","PER",0.400342257644801,1988
"14","WS",0.397147544470227,1988
"15","OWS",0.355176479535216,1988
"16","DWS",0.355258892708718,1988
