"","stat","loading","year"
"1","x3PAVG",0.113672515956905,1998
"2","x2PAVG",0.510663487551652,1998
"3","xFTAVG",0.468882543201461,1998
"4","ASTtTOV",0.400475118215489,1998
"5","SPBtPFR",0.140306548718798,1998
"6","TS",0.267487508687925,1998
"7","FTr",0.504811555980425,1998
"8","PTS",0.37452114053247,1998
"9","TRB",0.320481924647285,1998
"10","AST",0.267845948142989,1998
"11","STL",0.313744863851385,1998
"12","BLK",0.212231764426586,1998
"13","PER",0.381480211413255,1998
"14","WS",0.390556865331478,1998
"15","OWS",0.353481177704029,1998
"16","DWS",0.344666328727929,1998
