"","stat","loading","year"
"1","x3PAVG",0.0723152110320894,1987
"2","x2PAVG",0.532822643614863,1987
"3","xFTAVG",0.24308874815547,1987
"4","ASTtTOV",0.0880596049500128,1987
"5","SPBtPFR",0.144628693920935,1987
"6","TS",0.622036679250758,1987
"7","FTr",0.485980264786876,1987
"8","PTS",0.371848282481842,1987
"9","TRB",0.308999496123889,1987
"10","AST",0.252750035407809,1987
"11","STL",0.302537682876366,1987
"12","BLK",0.210728749815348,1987
"13","PER",0.393504339595684,1987
"14","WS",0.395832936173482,1987
"15","OWS",0.356467850040996,1987
"16","DWS",0.357534926265522,1987
