"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Kareem Abdul-Jabbar*","C","32","LAL","15","0","618","198","346",".572","0","0","0","198","346",".572",".572","83","105",".790","51","130","181","46","17","58","55","51","479",1980,"27.9",".611",".000",".303","9.0","22.2","15.7","12.3","1.3","5.3","12.3","28.5","2.2","1.0","3.3",".253","7.4","1.5","8.9","1.7"
"2","Alvan Adams","C","25","PHO","8","0","251","56","99",".566","0","0","0","56","99",".566",".566","17","19",".895","18","59","77","46","7","10","24","24","129",1980,"21.9",".601",".000",".192","7.9","25.5","16.8","26.4","1.3","2.2","18.3","21.6","0.5","0.3","0.8",".157","4.2","2.1","6.2","0.5"
"3","Tiny Archibald*","PG","31","BOS","9","0","332","45","89",".506","1","2",".500","44","87",".506",".511","37","42",".881","3","8","11","71","10","0","38","28","128",1980,"13.2",".595",".022",".472","1.0","2.8","1.9","29.5","1.5","0.0","26.1","18.6","0.4","0.4","0.7",".105","1.9","-1.8","0.1","0.2"
"4","James Bailey","PF","22","SEA","12","0","138","21","44",".477","0","0","0","21","44",".477",".477","13","20",".650","8","17","25","5","9","9","9","22","55",1980,"14.1",".521",".000",".455","6.3","13.7","9.9","5.3","3.2","3.7","14.6","18.4","0.1","0.2","0.3",".113","-1.1","2.3","1.2","0.1"
"5","Greg Ballard","SF","25","WSB","2","0","73","9","28",".321","0","0","0","9","28",".321",".321","4","7",".571","2","12","14","7","1","1","8","8","22",1980,"3.4",".354",".000",".250","2.9","18.1","10.3","13.3","0.7","0.8","20.5","21.9","-0.3","0.0","-0.3","-0.170","-7.2","-1.8","-9.0","-0.1"
"6","Rick Barry*","SF","35","HOU","6","0","79","12","33",".364","3","12",".250","9","21",".429",".409","6","6","1.000","0","6","6","15","1","1","10","11","33",1980,"8.3",".463",".364",".182","0.0","8.8","4.4","26.9","0.6","0.7","21.9","24.2","-0.1","0.0","-0.1","-0.067","-2.9","-1.2","-4.1","0.0"
"7","Tim Bassett","PF","28","SAS","3","0","19","1","2",".500","0","0","0","1","2",".500",".500","0","0","0","1","0","1","0","0","0","1","7","2",1980,"-4.4",".500",".000",".000","5.5","0.0","2.9","0.0","0.0","0.0","33.3","6.7","0.0","0.0","0.0","-0.095","-13.0","-2.3","-15.2","-0.1"
"8","Billy Ray Bates","SG","23","POR","3","0","104","31","59",".525","2","7",".286","29","52",".558",".542","11","14",".786","2","8","10","12","5","1","15","13","75",1980,"21.8",".576",".119",".237","2.1","9.0","5.5","21.1","2.5","0.6","18.7","33.1","0.2","0.1","0.2",".105","3.3","0.8","4.1","0.2"
"9","Ron Behagen","PF","29","WSB","2","0","14","2","7",".286","0","0","0","2","7",".286",".286","0","0","0","1","1","2","3","0","0","1","4","4",1980,"1.8",".286",".000",".000","7.5","7.9","7.7","30.6","0.0","0.0","12.5","23.4","0.0","0.0","-0.1","-0.174","-8.3","-1.0","-9.4","0.0"
"10","Henry Bibby","PG","30","PHI","18","0","400","45","124",".363","5","13",".385","40","111",".360",".383","40","50",".800","15","29","44","52","7","0","27","35","135",1980,"9.2",".462",".105",".403","4.3","7.6","6.0","18.2","0.8","0.0","15.6","18.3","0.0","0.3","0.3",".034","-0.8","-2.4","-3.2","-0.1"
"11","Larry Bird*","PF","23","BOS","9","0","372","83","177",".469","4","15",".267","79","162",".488",".480","22","25",".880","22","79","101","42","14","8","33","30","192",1980,"18.3",".511",".085",".141","6.7","24.5","15.5","17.7","1.9","1.3","14.9","25.2","0.3","0.8","1.1",".136","3.5","0.9","4.3","0.6"
"12","Otis Birdsong","SG","24","KCK","3","0","112","30","62",".484","0","3",".000","30","59",".508",".484","6","14",".429","11","12","23","7","4","0","6","5","66",1980,"19.0",".484",".048",".226","9.9","12.3","11.0","10.4","1.8","0.0","8.1","27.3","0.1","0.1","0.2",".086","2.7","-0.5","2.2","0.1"
"13","Alonzo Bradley","SF","26","HOU","4","0","15","6","9",".667","1","1","1.000","5","8",".625",".722","3","5",".600","1","2","3","1","1","0","0","2","16",1980,"42.2",".714",".111",".556","7.7","15.4","11.5","14.6","3.3","0.0","0.0","31.3","0.1","0.0","0.1",".411","15.0","5.5","20.5","0.1"
"14","Mike Bratz","PG","24","PHO","8","0","169","43","84",".512","9","23",".391","34","61",".557",".565","9","10",".900","6","14","20","16","9","0","13","20","104",1980,"18.1",".588",".274",".119","3.9","9.0","6.5","14.3","2.5","0.0","12.8","24.7","0.3","0.1","0.4",".105","2.2","-0.2","2.0","0.2"
"15","Jim Brewer","PF","28","POR","3","0","67","10","10","1.000","0","0","0","10","10","1.000","1.000","1","3",".333","6","10","16","3","5","2","1","6","21",1980,"22.8",".928",".000",".300","9.9","17.5","13.6","6.4","3.8","1.7","8.1","7.9","0.3","0.1","0.4",".265","5.5","4.3","9.8","0.2"
"16","Ron Brewer","SG","24","POR","3","0","106","26","61",".426","0","3",".000","26","58",".448",".426","5","9",".556","1","2","3","6","3","1","7","10","57",1980,"11.5",".439",".049",".148","1.0","2.2","1.6","9.4","1.4","0.5","9.7","29.1","-0.1","0.0","-0.1","-0.035","-2.3","-1.7","-4.0","-0.1"
"17","Junior Bridgeman","SF","26","MIL","5","0","124","20","56",".357","0","1",".000","20","55",".364",".357","11","15",".733","4","15","19","17","5","2","14","17","51",1980,"8.6",".407",".018",".268","3.7","13.4","8.6","20.8","2.0","0.9","18.3","25.9","-0.3","0.2","-0.1","-0.039","-3.0","-0.7","-3.7","-0.1"
"18","Fred Brown","SG","31","SEA","15","0","313","80","182",".440","10","34",".294","70","148",".473",".467","18","21",".857","16","22","38","32","2","1","23","23","188",1980,"14.8",".492",".187",".115","5.5","7.8","6.6","17.7","0.3","0.2","10.7","28.1","0.3","0.2","0.5",".072","2.8","-2.7","0.0","0.2"
"19","John Brown","SF","28","ATL","5","0","58","4","13",".308","0","1",".000","4","12",".333",".308","2","2","1.000","2","8","10","1","1","1","5","9","10",1980,"0.6",".360",".077",".154","3.6","16.3","9.6","2.5","0.9","1.1","26.5","14.0","-0.2","0.0","-0.1","-0.103","-7.2","-1.1","-8.3","-0.1"
"20","Quinn Buckner","PG","25","MIL","7","0","165","18","53",".340","0","1",".000","18","52",".346",".340","7","11",".636","6","10","16","31","15","0","13","20","43",1980,"9.8",".372",".019",".208","4.2","6.7","5.5","26.4","4.5","0.0","18.4","18.0","-0.2","0.3","0.1",".015","-2.1","1.9","-0.3","0.1"
"21","Don Buse","PG","29","PHO","8","0","236","28","64",".438","5","13",".385","23","51",".451",".477","7","11",".636","8","13","21","44","6","0","13","15","68",1980,"11.2",".494",".203",".172","3.7","6.0","4.9","23.3","1.2","0.0","15.9","14.3","0.2","0.0","0.2",".041","0.3","-1.2","-1.0","0.1"
