"","stat","loading","year"
"1","x3PAVG",0,1954
"2","x2PAVG",0.502843403640589,1954
"3","xFTAVG",0.126638316572245,1954
"4","ASTtTOV",1.11022302462516e-16,1954
"5","SPBtPFR",0,1954
"6","TS",0.646650153116619,1954
"7","FTr",0.55942365669066,1954
"8","PTS",0.418098571406449,1954
"9","TRB",0.353282744570479,1954
"10","AST",0.291285517539967,1954
"11","STL",2.16840434497101e-19,1954
"12","BLK",0,1954
"13","PER",0.425583436089081,1954
"14","WS",0.417653841457552,1954
"15","OWS",0.381866392043085,1954
"16","DWS",0.337875273612125,1954
