"","stat","loading","year"
"1","x3PAVG",0,1966
"2","x2PAVG",0.60072789095933,1966
"3","xFTAVG",0.235667768360871,1966
"4","ASTtTOV",2.77555756156289e-17,1966
"5","SPBtPFR",0,1966
"6","TS",0.545720619029919,1966
"7","FTr",0.534579937843691,1966
"8","PTS",0.418723212234879,1966
"9","TRB",0.321075652827682,1966
"10","AST",0.314837493831655,1966
"11","STL",0,1966
"12","BLK",0,1966
"13","PER",0.433814888795111,1966
"14","WS",0.428176057236588,1966
"15","OWS",0.378518020107448,1966
"16","DWS",0.328104653880037,1966
