"","Player","Eff","Vol","allstar","Yr","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","ASTtTOV","SPBtPFR","PER","WS","OWS","DWS","TS","FTr"
"1","Mahmoud Abdul-Rauf",-1.40997495597975,-2.05502725062838,0,1998,31.4100142662541,16.6398093235377,71.1163479330774,25.4752487443032,7.95036394402514,17.7520035439572,19.7426405781773,0.883590462833098,66.6028708133971,1.76899063475546,2.55832173883721,29.8617511520737,33.6314276588949,12.7207190765159,38.8675623800384,3.6875
"2","Tariq Abdul-Wahad",-0.884572782188062,-1.77828023355753,0,1998,36.4114436214353,14.7954343027331,65.2146509422818,22.1712461258566,13.0964309403181,8.20161239129055,22.6914883764009,6.03537214443626,17.1188811188811,1.00439422473321,8.38225648675016,31.9405050155655,34.6618560161101,16.709419125932,43.7619961612284,21.875
"3","Shareef Abdur-Rahim",1.40667355991057,3.70096869272041,0,1998,45.7972503511655,38.6938847574624,84.3926077080254,77.5986423419601,47.1964419893991,24.6460217411163,41.5167266426763,25.3870625662778,18.0827732578705,1.00109210047324,74.5496686025132,60.8810353409657,70.9067858005313,13.6492220650636,53.9347408829175,29.6875
"4","Cory Alexander",0.530502605341479,0.208025001450967,0,1998,48.6076059963762,25.48773649607,71.4925540154773,28.2958563145241,16.2087149597558,33.050353724511,44.6265938069217,5.02173913043478,40.7142857142857,1.37755102040816,17.3207539072029,45.1836734693878,46.7821782178218,27.2560113154173,52.5911708253359,15.9375
"5","Ray Allen",0.747567870454607,3.39878303470389,0,1998,51.1083380746671,16.2799659011676,95.7790374375605,67.9677556215528,32.8994130907171,41.1924119241192,51.7792882846861,4.0084835630965,29.5333563774628,0.614754098360656,63.7815794002919,61.2842210054754,63.0825887466795,35.8910891089109,51.7274472168906,18.5625
"6","Derek Anderson",0.0331134932421995,1.8615973281164,0,1998,21.3890234514014,17.5395142224133,90.2756825393605,40.5883184839485,18.8731612545101,32.6334506109787,49.8426891869515,5.39525691699605,38.6931818181818,1.10294117647059,27.1488312879285,59.6103896103896,55.8955895589559,51.3137027988513,50.9596928982726,33.625
"7","Greg Anderson",-0.17649980778483,-1.96237094431419,0,1998,37.7232328262127,25.820249132302,62.149765369439,6.12303775986423,15.7202331390508,2.84644194756554,14.5355191256831,5.47826086956522,19.2513368983957,0.682352941176471,3.06115135061829,37.6897959183673,40.0990099009901,20.8189533239038,42.6103646833013,31.625
"8","Kenny Anderson",-0.211619770939766,1.6807242973884,0,1998,43.0640334211666,8.25709783706719,74.1716904801163,42.5464434506215,18.891361024283,53.6624301590225,54.5552270894921,0.44903777619387,52.638270820089,1.06860959319976,24.5267336162142,53.1147540983607,51.2741438078234,40.9743316252,47.1209213051823,18
"9","Nick Anderson",0.201131230161824,2.36182064817772,0,1998,45.2973051356765,32.6325037184888,59.6454597306639,53.3846356414495,34.1095064457779,19.4670455034655,47.4844544940645,10.8620689655172,30.5454545454545,1.67135819845179,28.2681304416945,63.2723434201267,61.5312393308296,44.6434668097352,50.7677543186181,16.5
"10","Shandon Anderson",0.732666966288348,0.206737605440701,0,1998,34.0502140023818,49.5876641520773,69.0606794463364,28.8926601612219,18.4399179545501,10.2981029810298,30.7876849260296,6.01272534464475,21.3386613386613,0.706476030277544,30.1471614177211,49.9950223992036,54.2803670610964,24.1159830268741,56.2380038387716,23.125
"11","Chris Anstey",-0.766726347533833,-0.861919575736084,0,1998,36.4683365434891,18.7501850213213,68.3664970176223,20.3648705982181,25.5071992851486,8.09963155811334,28.9217646274823,18.0381760339343,18.6252771618625,1.48908857509628,5.41225386056211,37.8994524639124,38.1429606375272,29.3493635077794,43.6660268714012,20
"12","Greg Anthony",0.781318893285791,-0.576901214143232,0,1998,57.8668966759857,22.5883494632676,66.2430055247545,18.2212558336869,9.24229808492923,24.3133583021223,30.6010928961749,1.02717391304348,49.1508491508492,0.86340206185567,20.0717260274213,44.219387755102,47.1163366336634,23.2328500707214,52.3032629558541,14.3125
"13","B.J. Armstrong",0.487039854291459,-1.20391126808691,0,1998,35.5509066725281,32.6304949130151,71.611587148654,13.7578586030007,7.67037569702016,21.5639541482238,16.8074184467627,0,77.9220779220779,0.593775593775594,11.7293470163716,44.0816326530612,49.8199819981998,15.5522695126655,53.2629558541267,14.6875
"14","Darrell Armstrong",0.169273609725496,0.902501623643268,0,1998,42.8520262151907,16.6991252030173,76.1961640096276,32.0357799462594,22.0649458784346,46.6500208073242,46.2204007285974,2.85326086956522,45.974025974026,1.3671875,13.637282118725,50.280612244898,50.1237623762376,34.8553158887317,48.8483685220729,20.25
"15","Vincent Askew",0.704791394675648,-1.78036553806062,0,1998,39.3614068616461,22.5377379969635,68.7263203662299,7.65379719983029,15.0985290036081,12.0183104452767,24.2258652094718,4.56521739130435,23.6883116883117,2.05128205128205,1.33979384350868,35.265306122449,34.7524752475247,27.2560113154173,44.5297504798465,45.125
"16","Keith Askins",-1.34127823578557,-1.64917861831378,0,1998,33.2442348851576,23.0519159802852,68.0935909525759,8.39497518953718,14.62549324838,5.98165336807252,22.4518888096935,7.14555765595463,24.3356643356643,0.792360828931329,2.55508097315814,38.092280390417,37.4838570813603,29.1218252260009,40.8829174664108,9.75
"17","Stacey Augmon",-0.643051581122644,-0.510786138373931,0,1998,38.2123979159701,14.9682383683121,59.0134461862297,19.7469927754904,22.0473549037774,11.7599479523835,30.7088432232741,12.3453766074709,23.7037037037037,0.870500782472614,15.466108963009,41.4429433745329,39.5342351136522,34.5090344044465,43.8579654510557,26.1875
"18","Isaac Austin",-0.299533016528076,1.67396470216221,0,1998,36.0850587907793,25.4801051204509,57.386973933316,47.0556879127096,47.5671982749418,21.2874931976056,29.9145299145299,19.6655518394649,18.5348631950574,0.649350649350649,42.0967929120075,48.320251177394,46.2680883472963,40.1851448881152,49.1362763915547,26.0625
"19","Vin Baker",1.08823860490942,4.70827270518705,1,1998,38.2123979159701,74.9114221252803,32.1372638428979,66.7798048366568,53.2889258950874,17.5877713833318,42.4496867919499,28.7274655355249,19.0595611285266,0.776452009124408,71.9312642358296,74.9925335988054,73.8408596957257,51.5912305516266,54.126679462572,28.25
"20","Charles Barkley",0.578897838735856,4.30421474635638,0,1998,22.9813624746648,44.3452339517372,71.2068454520163,53.0035688437445,77.7783219865798,30.2783285598884,39.9389263902282,11.2787723785166,32.2077922077922,0.778546712802768,48.1334634894901,74.8739495798319,76.0701805474665,45.241908644646,54.126679462572,33.375
"21","Dana Barros",1.82287969197756,1.15932984608679,0,1998,64.286116748758,31.5903020715392,76.9250676517422,34.0941875265168,12.7393838467943,33.9200998751561,39.6857923497268,2.05434782608696,58.3177570093458,0.897177419354839,36.6630448920497,56.2040816326531,62.1534653465347,23.2328500707214,55.9500959692898,14.75
"22","Brent Barry",0.913683076781074,0.54638054840075,0,1998,57.5746261533746,21.4964845846209,77.0970044984728,37.849106842421,19.6388067415085,25.0290585044556,42.2084039947239,12.7511244377811,32.0979020979021,1.32963179427236,19.4121280254263,48.4517945109078,54.6176169341072,16.8975271911428,53.5508637236085,16.5625
"23","Drew Barry",0.862174168565872,-2.03739443647313,0,1998,43.2178346576514,26.2314369133894,69.7517081376575,7.21570106381307,8.6347796589262,17.2192167198409,14.167172637118,1.01449275362319,35.6363636363636,1.45502645502645,1.11958819502928,36.734693877551,40.0990099009901,17.7196291057677,61.4203454894434,21.375
"24","Jon Barry",-0.0229291921560148,-1.93769103411935,0,1998,35.5707110731479,25.5312207322396,71.8217249556887,8.59099685695237,5.02982208703631,9.8754108384927,18.7353629976581,1.67701863354037,50.5785123966942,1.66975881261596,3.59800608242085,39.1336942940442,44.1907456051728,14.5570533729758,49.7120921305182,17.4375
"25","Tony Battie",-1.00436907239061,-0.297895339214346,0,1998,37.5414961501677,20.3084509598458,67.3804340322461,29.11654319376,35.970024979184,8.75828291558629,31.7780580075662,29.0769230769231,13.3580705009276,0.950908388094318,19.0456733369507,35.6043956043956,38.2482863670983,19.003372864759,45.7773512476008,12.375
"26","Corey Beck",0.158892811802295,-1.79705381952767,0,1998,41.4286936619591,24.5692357817974,68.8785532461634,11.2625213032942,10.1610240054192,15.7599610656171,21.3948318977494,3.24981577008106,30.5454545454545,0.677966101694915,5.95128078125226,35.3026634382567,38.0600771941601,18.5277970896363,49.5201535508637,23.1875
"27","Benoit Benjamin",1.21825374047649,-1.39977390969783,0,1998,40.4535228852683,27.2210720435524,67.5563565364382,15.6554942723801,25.2170810039253,2.03317281968967,10.9289617486339,7.82608695652174,5.45454545454546,2.1978021978022,0.543207800377011,42.5072886297376,45.8274398868458,21.1254798949283,55.7581573896353,45.75
"28","Mario Bennett",0.305206734960231,-1.28083371437884,0,1998,40.9411082736137,35.0412754416493,61.0870439955254,13.6840616603026,18.6511240632806,3.79525593008739,16.1505768063145,6.69565217391304,18.7012987012987,1.09289617486339,5.20247997403884,44.0816326530612,48.1188118811881,20.1037246581801,54.9904030710173,20.375
"29","David Benoit",-1.23734025240251,-1.28738481224294,0,1998,34.6336146485562,17.1961944771039,72.2651044262464,18.9763566937941,17.5611233063356,3.08056487831769,17.3869846000994,7.11462450592885,10.4895104895105,0.454959053685168,13.2941682421605,39.9310893188444,42.7028417127427,21.1254798949283,45.7773512476008,11.3125
"30","Travis Best",-0.238156026385883,0.119181913266813,0,1998,35.4031917098106,18.3267217183721,76.7250656635822,22.6983453542639,9.91044048658638,32.5142352547121,39.650806344129,1.67020148462354,55.2334152334152,0.568684443321117,25.2246952767884,46.3663514186162,45.9671576913789,33.2743988684583,47.7927063339731,17.0625
