"","stat","loading","year"
"1","x3PAVG",0.41025256360179,2013
"2","x2PAVG",0.250595805825905,2013
"3","xFTAVG",0.533937880451315,2013
"4","ASTtTOV",0.528545844321161,2013
"5","SPBtPFR",0.260998653380142,2013
"6","TS",0.255488400656342,2013
"7","FTr",0.266551283047804,2013
"8","PTS",0.375663961558366,2013
"9","TRB",0.301220805830496,2013
"10","AST",0.271924670919043,2013
"11","STL",0.33080266055021,2013
"12","BLK",0.213642182181747,2013
"13","PER",0.381996046940271,2013
"14","WS",0.389824138063942,2013
"15","OWS",0.346397722869555,2013
"16","DWS",0.348211120338931,2013
