"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Kareem Abdul-Jabbar*","C","24","MIL","11","0","510","139","318",".437","0","0","0","139","318",".437",".437","38","54",".704","0","0","200","56","0","0","0","35","316",1972,"22.4",".462","0",".170","0","0","17.0","16.5","0","0","0","0","0.1","1.5","1.6",".147","0","0","0","0"
"2","Don Adams","SF","24","ATL","6","0","188","20","56",".357","0","0","0","20","56",".357",".357","16","23",".696","0","0","38","12","0","0","0","25","56",1972,"7.8",".423","0",".411","0","0","9.4","8.0","0","0","0","0","-0.1","0.0","-0.1","-0.019","0","0","0","0"
"3","Lucius Allen","PG","24","MIL","11","0","386","78","166",".470","0","0","0","78","166",".470",".470","41","54",".759","0","0","38","42","0","0","0","30","197",1972,"16.2",".519","0",".325","0","0","4.3","14.8","0","0","0","0","0.7","0.6","1.3",".162","0","0","0","0"
"4","Dick Barnett","SG","35","NYK","12","0","131","23","49",".469","0","0","0","23","49",".469",".469","5","12",".417","0","0","8","10","0","0","0","19","51",1972,"8.7",".470","0",".245","0","0","3.1","11.1","0","0","0","0","0.0","0.1","0.1",".044","0","0","0","0"
"5","Jim Barnett","PG","27","GSW","5","0","197","39","91",".429","0","0","0","39","91",".429",".429","30","41",".732","0","0","20","26","0","0","0","20","108",1972,"16.1",".495","0",".451","0","0","4.6","21.2","0","0","0","0","0.2","0.1","0.4",".088","0","0","0","0"
"6","Walt Bellamy*","C","32","ATL","6","0","247","42","86",".488","0","0","0","42","86",".488",".488","27","43",".628","0","0","82","11","0","0","0","20","111",1972,"15.9",".529","0",".500","0","0","15.4","6.0","0","0","0","0","0.4","0.1","0.5",".089","0","0","0","0"
"7","John Block","PF","27","MIL","11","0","156","20","52",".385","0","0","0","20","52",".385",".385","15","18",".833","0","0","55","6","0","0","0","15","55",1972,"13.4",".459","0",".346","0","0","15.3","4.8","0","0","0","0","0.0","0.4","0.4",".112","0","0","0","0"
"8","Tom Boerwinkle","C","26","CHI","1","0","8","0","3",".000","0","0","0","0","3",".000",".000","0","0","0","0","0","6","3","0","0","0","0","0",1972,"14.1",".000","0",".000","0","0","35.8","42.9","0","0","0","0","-0.1","0.0","-0.1","-0.376","0","0","0","0"
"9","Bill Bradley*","SF","28","NYK","16","0","594","106","227",".467","0","0","0","106","227",".467",".467","47","56",".839","0","0","47","54","0","0","0","66","259",1972,"12.7",".515","0",".247","0","0","4.1","13.3","0","0","0","0","0.8","0.4","1.3",".104","0","0","0","0"
"10","Wilt Chamberlain*","C","35","LAL","15","0","703","80","142",".563","0","0","0","80","142",".563",".563","60","122",".492","0","0","315","49","0","0","0","47","220",1972,"17.8",".562","0",".859","0","0","20.2","9.6","0","0","0","0","1.2","1.8","3.0",".205","0","0","0","0"
"11","Don Chaney","SG","25","BOS","11","0","271","41","81",".506","0","0","0","41","81",".506",".506","15","20",".750","0","0","39","22","0","0","0","39","97",1972,"10.9",".540","0",".247","0","0","7.0","10.6","0","0","0","0","0.4","0.1","0.5",".090","0","0","0","0"
"12","Phil Chenier","SG","21","BAL","6","0","153","22","59",".373","0","0","0","22","59",".373",".373","10","12",".833","0","0","16","5","0","0","0","16","54",1972,"7.2",".420","0",".203","0","0","5.7","5.5","0","0","0","0","-0.2","0.0","-0.2","-0.058","0","0","0","0"
"13","Bob Christian","C","25","ATL","6","0","34","3","8",".375","0","0","0","3","8",".375",".375","1","1","1.000","0","0","7","0","0","0","0","10","7",1972,"1.6",".415","0",".125","0","0","9.6","0.0","0","0","0","0","0.0","0.0","0.0","-0.021","0","0","0","0"
"14","Archie Clark","PG","30","BAL","6","0","271","55","126",".437","0","0","0","55","126",".437",".437","50","59",".847","0","0","24","47","0","0","0","15","160",1972,"21.5",".526","0",".468","0","0","4.9","32.3","0","0","0","0","0.7","-0.1","0.6",".105","0","0","0","0"
"15","Jim Cleamons","PG","22","LAL","6","0","17","4","7",".571","0","0","0","4","7",".571",".571","0","0","0","0","0","4","4","0","0","0","3","8",1972,"21.2",".571","0",".000","0","0","10.6","39.0","0","0","0","0","0.0","0.0","0.1",".261","0","0","0","0"
"16","Dave Cowens*","C","23","BOS","11","0","441","71","156",".455","0","0","0","71","156",".455",".455","28","47",".596","0","0","152","33","0","0","0","50","170",1972,"14.2",".481","0",".301","0","0","16.8","9.9","0","0","0","0","0.2","0.2","0.5",".051","0","0","0","0"
"17","Bob Dandridge","SF","24","MIL","11","0","441","100","202",".495","0","0","0","100","202",".495",".495","37","50",".740","0","0","97","21","0","0","0","47","237",1972,"17.1",".529","0",".248","0","0","9.6","6.7","0","0","0","0","0.9","0.8","1.7",".185","0","0","0","0"
"18","Dave DeBusschere*","PF","31","NYK","16","0","616","109","242",".450","0","0","0","109","242",".450",".450","48","64",".750","0","0","193","37","0","0","0","51","266",1972,"16.1",".492","0",".264","0","0","16.1","8.8","0","0","0","0","0.5","0.8","1.3",".104","0","0","0","0"
"19","Jackie Dinkins","SF","22","CHI","1","0","1","1","1","1.000","0","0","0","1","1","1.000","1.000","0","0","0","0","0","0","0","0","0","0","0","2",1972,"77.7","1.000","0",".000","0","0","0.0","0.0","0","0","0","0","0.0","0.0","0.0","1.516","0","0","0","0"
"20","Terry Driscoll","PF","24","BAL","1","0","2","1","1","1.000","0","0","0","1","1","1.000","1.000","1","1","1.000","0","0","1","0","0","0","0","0","3",1972,"72.9","1.042","0","1.000","0","0","27.4","0.0","0","0","0","0","0.1","0.0","0.1","1.208","0","0","0","0"
