"","Player","Eff","Vol","allstar","Yr","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","ASTtTOV","SPBtPFR","PER","WS","OWS","DWS","TS","FTr","orig.PTS","orig.TRB","orig.AST","orig.BLK","orig.STL","orig.adj.PER","orig.WS.G","orig.OWS.G","orig.DWS.G","orig.TS.","orig.x3PAVG","orig.x2PAVG","orig.xFTAVG","orig.AST.TOV","orig.FTr"
"1","Arron Afflalo",1.26776506404983,0.166677678122523,0,2010,86.9903270985446,49.3637898190488,45.3435725461932,44.6213885105947,37.4369568672059,38.5234444866211,38.4914941586391,37.6875446534889,58.8608291549468,3.35310058982943,48.5653575083198,49.7887756892204,57.3319721885002,34.9722771015232,68.9228727928418,12.7972850678733,8.82926829268293,3.07317073170732,1.68292682926829,0.365853658536585,0.560975609756098,17.9986371924348,0.0524390243902439,0.0341463414634146,0.0170731707317073,0.576,19.7759636950383,-1.29121709823684,0.0150514994075326,1.86486486486486,0.168
"2","Alexis Ajinca",-0.817295770292162,-3.27218511772011,0,2010,56.3419535990098,53.8851344279582,42.0292809259719,6.49732509384137,4.78862951408346,1.47058823529412,8.32255979314803,20.4178905030298,1.80995475113122,55.761689291101,1.95603421028443,14.38567901528,10.5279034690799,2.82805429864253,31.7854165957881,6.00678733031674,1.66666666666667,0.666666666666667,0,0.166666666666667,0.166666666666667,0.0102816725516996,0,-0.0166666666666667,0,0.479,0,0.0815709196953324,-0.734846413271352,0,0.1
"3","LaMarcus Aldridge",0.0208281667493972,3.94321358950744,0,2010,43.1920128643936,64.6516084088622,60.4605483618406,75.4349468191558,76.7269427321618,44.0420631860885,55.9631544925663,49.7539096610304,48.4917043740573,12.0635900047665,76.8801899666789,74.022504602629,74.4407703909966,69.1144605187687,53.3083982580887,30.7081447963801,17.8589743589744,8.03846153846154,2.05128205128205,0.615384615384615,0.858974358974359,37.6094442676683,0.112820512820513,0.0705128205128205,0.0423076923076923,0.535,-0.665255344897136,7.09912704087182,6.73469036550909,1.53846153846154,0.26
"4","Joe Alexander",-1.06433136740183,-3.16783819457057,0,2010,47.4283995329765,49.0964483693563,43.9432945247711,1.28177671367277,3.95200985271117,7.13056479922083,6.63784744667098,15.0306124474081,1.69683257918552,49.1578682755153,1.61321456459715,14.2725568433343,25.7692307692308,2.71493212669683,13.5076804000953,57.4095022624434,0.5,0.625,0.25,0.125,0.125,0.00588974822714646,0,0,0,0.273,-0.354578459056071,-1.45921454015233,-0.203539239814055,0,0.5
"5","Malik Allen",-1.45936817782058,-2.76127206464278,0,2010,39.048488497345,33.7626378347869,53.3988693660217,8.27896879438855,16.2735618916982,8.43800093338474,11.5223012281836,11.3783705114974,19.9101878513643,4.87312572087659,11.6364857910281,14.9543847035253,16.6968325791855,10.2973041871136,24.6655241043786,6.75927601809955,2.05882352941176,1.6078431372549,0.313725490196078,0.0980392156862745,0.215686274509804,1.24404973852533,0.00196078431372549,-0.00588235294117647,0.00588235294117647,0.431,-1.12547075433643,-9.11271988335135,2.44599662747243,0.727272727272727,0.112
"6","Ray Allen",1.45515325760522,2.5742500650475,0,2010,64.0902365863263,82.1047114125441,80.5258081573753,71.0393145308908,38.9066721171619,50.49310233752,53.3419521654816,33.5606940144479,51.3451892384861,11.131625727214,69.4839090887998,70.3206712757329,71.7398190045249,62.6751800395131,74.0569608410166,30.5950226244344,16.3,3.1625,2.625,0.3125,0.8,31.0798822457332,0.09875,0.06375,0.03625,0.601,3.36019483662767,36.8261707905121,45.072857442348,1.62790697674419,0.26
"7","Tony Allen",0.293623186605253,-0.317756283754342,0,2010,34.8511063457664,64.2838237332938,22.8573230970511,30.4977334888814,31.7812509777281,32.0719112067041,66.8516124398477,36.1914138874923,34.220485396956,39.3342281631542,25.9251091454297,39.8748489861232,29.1687615217027,54.2141402124832,56.0320484469091,54.8495475113122,6.11111111111111,2.68518518518519,1.33333333333333,0.351851851851852,1.09259259259259,6.18065609324505,0.0351851851851852,0.0037037037037037,0.0296296296296296,0.54,-1.77289229528035,6.98295880844425,-15.4517231792909,1.09090909090909,0.47
"8","Rafer Alston",-1.42714776920981,-1.07882897684121,0,2010,35.4496184808908,15.7572026101776,42.5170796038799,40.9950266514373,28.1786075727035,58.8062820851003,61.1021331609567,22.5758117011987,58.4918631420179,34.71752405219,24.4799864122022,8.06480125258851,6.35920640445527,45.1134408259512,25.9081669104889,15.6359728506787,8.21153846153846,2.48076923076923,3.38461538461538,0.192307692307692,0.961538461538462,5.49366265887086,-0.00769230769230769,-0.0307692307692308,0.0230769230769231,0.443,-1.60918112141993,-39.7103284324698,-0.554559474979489,1.85263157894737,0.182
"9","Lou Amundson",0.35063307328899,-0.576962989528042,0,2010,47.3152773610308,72.6852876234188,20.2920941121628,24.0786018134766,51.3245899900257,10.378944828332,18.1615294608593,59.9424918329962,14.0373369320738,16.5636414104253,37.324917026095,40.9328221823669,44.225327911106,33.0319968957453,63.8532133501174,53.570814479638,4.69620253164557,4.37974683544304,0.392405063291139,0.924050632911392,0.30379746835443,12.0471173294023,0.0367088607594937,0.0189873417721519,0.0164556962025316,0.562,-0.354578459056071,16.8182002916217,-23.3511088323763,0.543859649122807,0.446
"10","Chris Andersen",2.23642752791401,1.69132805762056,0,2010,40.0085312199144,74.3996844596966,26.7567766901699,29.4601272764127,67.1814134515788,11.2474896596136,37.4077161228864,83.156677863986,14.4439757650127,41.3556416245026,49.6021367631168,62.786073568778,61.4217670874018,61.9179113739354,78.1816674038036,73.0475113122172,5.89473684210526,6.35526315789474,0.434210526315789,1.88157894736842,0.552631578947368,18.4540246191686,0.0776315789473684,0.0421052631578947,0.0355263157894737,0.631,-1.06373537716821,20.1269588084442,-9.40375353203901,0.559322033898305,0.94
