"","Player","Contrib","Yr","Tm","W","sumContrib","playoffSc","playoffShare","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","PER","WS","OWS","DWS","orig.PTS","orig.TRB","orig.AST","orig.BLK","orig.STL","orig.adj.PER","orig.WS.G","orig.OWS.G","orig.DWS.G","orig.x3PAVG","orig.x2PAVG","orig.xFTAVG"
"1","John Brown",0,1980,"ATL",0.0833333333333333,16.6155323839196,0,0,-0.346324885492167,-0.327781267740208,0.197106141373392,0.163921460377302,0.379931370133947,0.0658469434436037,0.191211635769224,0.245909469592619,0.00814988522975031,-0.290127467702085,-0.805777817338488,0,2,2,0.2,0.2,0.2,0.193166953528399,-0.02,-0.04,0,-0.255681818181818,-1.76482932247316,0.530307173457297
"2","Charlie Criss",2.1156221608107,1980,"ATL",0.0833333333333333,16.6155323839196,0.00846491277767515,0.0106106649284887,0.314185936118494,0.207298488004573,0.812440617387921,1.14745022264111,0.189965685066973,1.44863275575928,1.14726981461534,0,0.533957997811227,0.58025493540417,0.805777817338488,0,14,1,4.4,0,1.2,12.6557659208262,0.04,0.04,0,0.231954545454546,1.1161298284586,2.18584304074378
"3","John Drew",1.48214232562506,1980,"ATL",0.0833333333333333,16.6155323839196,0.00593026757940041,0.00743351808505929,0,-1.15920496208652,-0.27118898262513,1.1966266607543,1.13979411040184,0.263387773774415,1.33848145038456,0,0.428571550874801,0.290127467702085,-0.402888908669244,0.706559972447378,14.6,6,0.8,0,1.4,10.157917383821,0.02,-0.02,0.02,0,-6.24135394298408,-0.72962446449731
"4","Jack Givens",0,1980,"ATL",0.0833333333333333,16.6155323839196,0,0,0,-0.691837203717279,0,0.122941095282976,0.237457106333717,0.246926037913514,0.478029089423059,0,-0.0210772893872853,-0.725318669255213,-1.00722227167311,0,1.5,1.25,0.75,0,0.5,-0.499569707401033,-0.05,-0.05,0,0,-3.72496754288535,0
"5","Steve Hawes",3.01108583217287,1980,"ATL",0.0833333333333333,16.6155323839196,0.0120477935084919,0.0151017622276479,0,-0.312737939194897,1.03133271287944,0.852391593961968,1.32975979546881,0.790163321323244,1.72090472192301,0.245909469592619,0.544356127242288,1.16050987080834,0.805777817338488,1.41311994489476,10.4,7,2.4,0.2,1.8,12.9022203098107,0.08,0.04,0.04,0,-1.68383351844996,2.77476456111567
"6","Armond Hill",0.714544241840162,1980,"ATL",0.0833333333333333,16.6155323839196,0.00285899571058057,0.00358371625481634,-0.346324885492167,-0.355858935680385,0.812440617387921,0.573725111320556,0.227958822080368,0.987704151654055,0.764846543076894,0.245909469592619,0.222084372510696,0,-0.402888908669244,0,7,1.2,3,0.2,0.8,5.26379948364888,0,-0.02,0,-0.255681818181818,-1.9160041959768,2.18584304074378
"7","Eddie Johnson",3.54408072092948,1980,"ATL",0.0833333333333333,16.6155323839196,0.0141803837828075,0.0177749381273684,0,0.466346141727393,0.157705240304769,1.59003816565983,0.683876466241105,1.38278581231568,1.52969308615379,0.491818939185237,0.827728573449123,1.45063733851043,1.61155563467698,0.706559972447378,19.4,3.6,4.2,0.4,1.6,19.6186574870912,0.1,0.08,0.02,0,2.51088584474886,0.424300428402153
"8","Jim McElroy",0.136930704124733,1980,"ATL",0.0833333333333333,16.6155323839196,0.000547879715231071,0.000686760541084906,-0.346324885492167,0.0296140697149389,0.121082390730235,0.196705752452762,0.0759862740267894,0.263387773774415,0,0,0.0914285975199575,0,0,0,2.4,0.4,0.8,0,0,2.16702237521515,0,0,0,-0.255681818181818,0.159447118351228,0.325767933643242
"9","Sam Pellom",0,1980,"ATL",0.0833333333333333,16.6155323839196,0,0,0,-0.267489313911252,-0.448078396309107,0.0204901825471627,0,0.0823086793045046,0,0.307386836990773,-0.0177049230853196,-0.362659334627606,-0.503611135836555,0,0.25,0,0.25,0.25,0,-0.419638554216868,-0.025,-0.025,0,0,-1.44020733061829,-1.20553923981405
"10","Tree Rollins",2.85284232852167,1980,"ATL",0.0833333333333333,16.6155323839196,0.0114146381743996,0.0143081097383445,0,0.581121863896377,-0.501201143946023,0.688470133584667,1.443739206509,0.197540830330811,0.382423271538447,3.44273257429666,0.502107871625996,1.16050987080834,0.805777817338488,0.706559972447378,8.4,7.6,0.6,2.8,0.4,11.9008605851979,0.08,0.04,0.02,0,3.12885758361101,-1.34846413271352
"11","Dan Roundfield",3.67323426738227,1980,"ATL",0.0833333333333333,16.6155323839196,0.0146971459560829,0.0184226932091224,-0.346324885492167,-0.114539428481143,-1.37694579666729,1.40972455924479,2.20360194677689,0.724316377879641,0.764846543076894,1.96727575674095,0.814988522975031,1.45063733851043,1.20866672600773,1.41311994489476,17.2,11.6,2.2,1.6,0.8,19.3166953528399,0.1,0.06,0.04,-0.255681818181818,-0.616699494014563,-3.70462446449731
