"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Kareem Abdul-Jabbar*","C","25","MIL","6","0","276","59","138",".428","0","0","0","59","138",".428",".428","19","35",".543","0","0","97","17","0","0","0","26","137",1973,"17.7",".447","0",".254","0","0","18.3","9.6","0","0","0","0","-0.1","0.5","0.5",".080","0","0","0","0"
"2","Lucius Allen","PG","25","MIL","6","0","203","36","89",".404","0","0","0","36","89",".404",".404","22","28",".786","0","0","16","21","0","0","0","15","94",1973,"13.9",".464","0",".315","0","0","4.1","15.3","0","0","0","0","0.1","0.2","0.3",".071","0","0","0","0"
"3","Dennis Awtrey","C","24","CHI","7","0","268","26","48",".542","0","0","0","26","48",".542",".542","11","22",".500","0","0","77","31","0","0","0","26","63",1973,"14.3",".546","0",".458","0","0","12.9","15.8","0","0","0","0","0.4","0.6","1.0",".174","0","0","0","0"
"4","Dick Barnett","SG","36","NYK","4","0","17","3","6",".500","0","0","0","3","6",".500",".500","0","0","0","0","0","0","2","0","0","0","5","6",1973,"7.6",".500","0",".000","0","0","0.0","16.2","0","0","0","0","0.0","0.0","0.0",".078","0","0","0","0"
"5","Jim Barnett","PG","28","GSW","11","0","336","60","147",".408","0","0","0","60","147",".408",".408","23","27",".852","0","0","39","39","0","0","0","28","143",1973,"13.1",".450","0",".184","0","0","5.5","17.5","0","0","0","0","0.0","0.3","0.3",".037","0","0","0","0"
"6","Rick Barry*","SF","28","GSW","11","0","292","65","164",".396","0","0","0","65","164",".396",".396","50","55",".909","0","0","54","24","0","0","0","41","180",1973,"17.7",".478","0",".335","0","0","8.8","13.3","0","0","0","0","0.3","0.2","0.5",".088","0","0","0","0"
"7","Walt Bellamy*","C","33","ATL","6","0","247","34","86",".395","0","0","0","34","86",".395",".395","14","31",".452","0","0","73","13","0","0","0","17","82",1973,"10.8",".411","0",".360","0","0","13.7","6.4","0","0","0","0","-0.2","0.3","0.0",".007","0","0","0","0"
"8","Henry Bibby","PG","23","NYK","6","0","43","8","18",".444","0","0","0","8","18",".444",".444","4","8",".500","0","0","2","3","0","0","0","5","20",1973,"10.9",".465","0",".444","0","0","2.5","9.7","0","0","0","0","0.0","0.0","0.0",".043","0","0","0","0"
"9","Tom Boerwinkle","C","27","CHI","4","0","30","4","6",".667","0","0","0","4","6",".667",".667","1","1","1.000","0","0","9","11","0","0","0","7","9",1973,"24.4",".699","0",".167","0","0","13.5","52.6","0","0","0","0","0.1","0.1","0.2",".354","0","0","0","0"
"10","Steve Bracey","PG","22","ATL","6","0","123","24","47",".511","0","0","0","24","47",".511",".511","11","16",".688","0","0","13","20","0","0","0","13","59",1973,"16.7",".546","0",".340","0","0","4.9","21.4","0","0","0","0","0.3","0.1","0.4",".159","0","0","0","0"
"11","Bill Bradley*","SF","29","NYK","17","0","587","99","221",".448","0","0","0","99","221",".448",".448","40","50",".800","0","0","57","45","0","0","0","59","238",1973,"12.0",".490","0",".226","0","0","5.1","10.4","0","0","0","0","0.6","0.4","1.0",".078","0","0","0","0"
"12","Bill Bridges","PF","33","LAL","17","0","582","57","136",".419","0","0","0","57","136",".419",".419","38","49",".776","0","0","158","29","0","0","0","68","152",1973,"10.9",".482","0",".360","0","0","12.3","6.6","0","0","0","0","0.3","0.8","1.1",".088","0","0","0","0"
"13","Wilt Chamberlain*","C","36","LAL","17","0","801","64","116",".552","0","0","0","64","116",".552",".552","49","98",".500","0","0","383","60","0","0","0","48","177",1973,"16.7",".556","0",".845","0","0","21.7","9.7","0","0","0","0","1.1","1.6","2.7",".162","0","0","0","0"
"14","Don Chaney","SG","26","BOS","12","0","288","39","82",".476","0","0","0","39","82",".476",".476","12","17",".706","0","0","40","25","0","0","0","41","90",1973,"10.0",".503","0",".207","0","0","7.0","11.2","0","0","0","0","0.3","0.2","0.5",".081","0","0","0","0"
"15","Phil Chenier","SG","22","BAL","5","0","211","43","85",".506","0","0","0","43","85",".506",".506","3","4",".750","0","0","21","17","0","0","0","13","89",1973,"14.4",".513","0",".047","0","0","5.6","12.5","0","0","0","0","0.3","-0.1","0.2",".055","0","0","0","0"
"16","Archie Clark","PG","31","BAL","5","0","214","46","92",".500","0","0","0","46","92",".500",".500","14","18",".778","0","0","17","26","0","0","0","20","106",1973,"17.3",".530","0",".196","0","0","4.5","19.1","0","0","0","0","0.5","-0.1","0.4",".091","0","0","0","0"
"17","Mel Counts","C","31","LAL","17","0","327","61","133",".459","0","0","0","61","133",".459",".459","32","41",".780","0","0","104","28","0","0","0","51","154",1973,"17.8",".510","0",".308","0","0","14.5","12.9","0","0","0","0","0.5","0.5","1.1",".155","0","0","0","0"
