"","Player","Eff","Vol","allstar","Yr","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","ASTtTOV","SPBtPFR","PER","WS","OWS","DWS","TS","FTr","orig.PTS","orig.TRB","orig.AST","orig.BLK","orig.STL","orig.adj.PER","orig.WS.G","orig.OWS.G","orig.DWS.G","orig.TS.","orig.x3PAVG","orig.x2PAVG","orig.xFTAVG","orig.AST.TOV","orig.FTr"
"1","Quincy Acy",-0.115231837919101,-1.29779907089805,0,2014,35.2981784752392,46.7634483730062,35.4490364274824,13.0568632296473,41.8717321922102,11.9328679799756,22.5979628617447,40.6137799620642,25.2047026279391,10.6922053677376,24.0472135257863,36.6797027484205,41.4653670633123,30.85717878249,49.1327800829876,43.589764868603,2.71428571428571,3.42857142857143,0.444444444444444,0.412698412698413,0.365079365079365,5.25843445051204,0.0238095238095238,0.00952380952380952,0.0142857142857143,0.52,-1.39028825461547,0.553687323906403,-3.96685990338164,0.933333333333333,0.376
"2","Steven Adams",0.441820904982361,-0.427178651303372,0,2014,54.6299906953461,51.2728472211935,23.5847786727257,16.7281685610637,49.2138535703897,14.4116310369395,31.8286434123225,53.8630965594236,14.7700309742271,9.42358904632954,34.5200171805978,45.7080929730459,43.3021073039917,48.5523360235209,58.4815352697095,54.3615145228216,3.2716049382716,4.09876543209877,0.530864197530864,0.703703703703704,0.493827160493827,10.5951796014572,0.0358024691358025,0.0111111111111111,0.0234567901234568,0.541,0,2.8479536104975,-20.9231122049038,0.605633802816901,0.735
"3","Jeff Adrien",0.289966613376391,0.240467600829707,0,2014,54.5262562555121,58.5810471854875,28.4451176549783,36.2904606887316,63.2617283062159,19.8461764003278,28.6174875777945,52.8071676490216,26.6523034365358,29.6734866080361,31.1214570837773,55.0472796084729,59.8503615534542,44.0101516219108,62.8159751037344,46.8655947441217,6.83018867924528,5.77358490566038,0.716981132075472,0.679245283018868,0.452830188679245,8.64688407338318,0.0509433962264151,0.030188679245283,0.0207547169811321,0.553,0,8.90844455614493,-11.4057231792909,0.974358974358974,0.433
"4","Arron Afflalo",1.72368085702505,1.74583021803016,0,2014,82.4242526154656,23.4146880912418,78.5460777270571,75.2407195355566,43.9146118687445,58.5194804871916,30.7093988828201,7.3674233709475,51.4261353947593,3.30341111605217,63.4723677586183,64.3185413267195,74.3686887177487,29.3602913693291,69.6751037344398,39.1774550484094,18.2191780821918,3.58904109589041,3.3972602739726,0.0410958904109589,0.479452054794521,29.0826946707314,0.0726027397260274,0.0589041095890411,0.0136986301369863,0.574,20.1942349076906,-10.3846215293853,26.9316051408258,1.6986301369863,0.332
"5","Alexis Ajinca",0.300030349603626,-0.25439915914865,0,2014,46.2875414064055,62.2607337275741,64.2262918683476,31.0362230993983,57.1054033963385,19.7298389512204,26.0062144435292,57.6095053051188,15.3741026147665,11.9477072232137,28.9485354906184,46.8174400364336,53.2180972916446,34.5327908605917,73.8483402489626,30.0424965421853,5.85714285714286,4.94642857142857,0.714285714285714,0.821428571428571,0.410714285714286,7.58634398209478,0.0375,0.0214285714285714,0.0160714285714286,0.589,-0.359685883641031,14.9777972724507,6.77729031081943,0.634920634920635,0.269
"6","Cole Aldrich",0.687076038511249,-1.50082857705862,0,2014,54.422521815678,51.8927112433474,60.8168133773455,9.03665790278006,34.2838639382455,7.43964164441502,9.41371004964727,52.0161278775747,19.3960350391886,44.8085423056107,18.4544246869138,37.9882558973524,44.9924055439529,27.6146819083857,79.3402489626556,49.743153526971,2,2.80434782608696,0.304347826086957,0.652173913043478,0.173913043478261,2.82889136355669,0.0260869565217391,0.0130434782608696,0.0130434782608696,0.62,0,3.25705497427215,3.96460760185945,0.777777777777778,0.492
"7","LaMarcus Aldridge",-0.558907049985642,5.09621815743033,1,2014,30.8619629856315,6.86259274447946,80.7524795171732,85.5596786029137,90.1823705056372,50.2362669950831,57.3835960179096,62.7999357913965,44.5545322673144,35.7080062164983,72.0453579645349,75.9660613474257,73.8924620296893,78.3563125390656,45.0595435684647,28.4568810511757,23.231884057971,11.0869565217391,2.57971014492754,0.985507246376812,0.91304347826087,36.661408769726,0.108695652173913,0.0579710144927536,0.0507246376811594,0.507,-2.39528825461547,-37.4607638725379,31.3752912223134,1.44715447154472,0.253
"8","Lavoy Allen",-0.691342342539046,-0.781092129750347,0,2014,29.1113846859524,26.0983062900468,35.8088287673526,25.1231685296747,55.8874545078423,29.7961177154208,23.0964678475052,46.0319740195259,48.5015088645794,13.6259936467405,30.8129881241801,36.3516227725316,41.309806720124,30.0721063169196,33.3547717842324,15.292081604426,4.66153846153846,4.78461538461538,1.09230769230769,0.507692307692308,0.369230769230769,8.49824575480923,0.0230769230769231,0.00923076923076923,0.0138461538461538,0.47,-2.67391648733341,-7.92282331776874,-3.74232066356758,1.61363636363636,0.167
"9","Ray Allen",0.853391138147716,0.496438105588364,0,2014,66.2330701414447,59.3499974913505,75.1221625774619,48.0897806728121,34.401846621509,44.3252552541508,47.5669374109094,15.531662875777,51.5673779885398,15.9294333961877,46.3678529462377,57.2553801193102,62.4352443173483,43.4698976349064,74.3132780082988,22.5302213001383,9.6027397260274,2.80821917808219,1.95890410958904,0.10958904109589,0.73972602739726,17.6501871105128,0.0561643835616438,0.0342465753424658,0.0205479452054795,0.59,4.73206195492129,9.92027645868333,19.7378160605232,1.70238095238095,0.214
"10","Tony Allen",-0.300590089597743,1.15918462041761,0,2014,20.7332763243585,62.0186141982909,27.1820055888474,45.1774086952904,46.4913345257066,41.3937140883687,81.4875053275657,36.8285303140075,30.2577224527432,40.4454891495802,34.6940648923921,53.393749252468,41.1813371900527,67.7463049963993,53.8321576763485,33.2507952973721,9,3.78181818181818,1.70909090909091,0.345454545454545,1.63636363636364,10.6986572078604,0.0490909090909091,0.00909090909090909,0.0381818181818182,0.531,-5.90723653112848,14.4183298456329,-12.9284160058336,1.04444444444444,0.293
