"","Player","Eff","Vol","allstar","Yr","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","ASTtTOV","SPBtPFR","PER","WS","OWS","DWS","TS","FTr"
"1","Zaid Abdul-Aziz",-1.20276361435821,-1.55507621863142,0,1969,0,15.8751202412968,71.7720578882639,24.2197499261593,38.6627836720884,7.7270804694935,0,0,0,0,8.75361890780025,17.9121028773759,17.0569205335766,12.6984126984127,50.2717391304348,29
"2","Rick Adelman",-0.15434064944121,-0.744983787551582,0,1969,0,19.0638010967105,69.9811987581621,20.5967955983619,12.0837883145445,31.629769194536,0,0,0,0,19.531664437856,33.0927413863544,28.8017848073714,21.2121212121212,61.9565217391304,45.4
"3","Bob Allen",1.07328424300936,-2.39335978759557,0,1969,0,26.428457843897,73.8084780846366,4.33835251202584,8.57722889527999,3.79005948954135,0,0,0,0,0.657345900590021,22.2116301239275,25.8470411752535,8.64197530864197,50.5434782608696,83.7
"4","Cliff Anderson",1.35919654180824,-2.18480983327022,0,1969,0,27.0122521478729,71.7167217312396,11.816302236702,4.65911013364913,9.06365655070318,0,0,0,0,1.79010842546066,25.5917200054474,28.9235833998404,4.44444444444444,66.8478260869565,75.9
"5","Al Attles",0.489252687306112,0.696297321575048,0,1969,0,30.3381713094236,71.3620076368764,27.4907832940832,15.6512782748017,61.3989637305699,0,0,0,0,14.2577050914923,51.4775977121068,39.5367783985103,33.5511982570806,73.6413043478261,41.5
"6","Harry Barnes",-2.17019491015094,-2.99394996965329,0,1969,0,24.0109207819924,74.9960937709319,4.97405607987652,4.29784223558543,2.32571832312765,0,0,0,0,0.1051189266752,12.6354103475171,16.9264220416455,3.53535353535354,23.3695652173913,20.3
"7","Jim Barnes",0.520656976248741,-1.23894873081447,0,1969,0,28.6949503230133,73.779860884905,16.5358569988924,16.8387579605963,4.85641521032757,0,0,0,0,8.70664894803254,36.1651936468953,33.147310860714,18.4557438794727,73.3695652173913,42.5
"8","Dick Barnett",0.9330555329768,1.90010340102187,0,1969,0,40.9885401805786,80.6098477894569,61.1866424409498,13.3105495747903,36.315240743081,0,0,0,0,53.2044041662175,62.2125601618266,57.3204796293773,24.6612466124661,79.8913043478261,33
"9","Jim Barnett",-0.309331213987275,1.13382212826748,0,1969,0,20.7385574313944,77.4073504248829,50.2257064093728,20.3322195905938,43.363018134715,0,0,0,0,42.3911914709031,46.8446139180172,36.9622905027933,31.1111111111111,68.2065217391304,28.4
"10","John Barnhill",0.0744558515345152,-1.20833329433501,0,1969,0,28.1323046352356,73.0962559812718,20.8412171334294,7.10285907629843,24.2184801381693,0,0,0,0,2.65120386890749,35.1763584366063,30.7099627560521,18.1481481481481,67.1195652173913,37.1
"11","Elgin Baylor",0.533705106027194,3.99139113009072,1,1969,0,33.2176273331894,77.1947355243761,86.9525718939916,49.4309227221327,54.9359149168257,0,0,0,0,74.0628243915181,69.5286237519442,59.051106292267,34.7953216374269,75.5434782608696,34.7
"12","Zelmo Beaty",1.28449665993867,2.96897119642512,0,1969,0,45.3006239732377,75.1836643105937,75.1648114501319,51.7869226865167,18.6186672423719,0,0,0,0,54.4731477283208,71.6396568160152,65.3582790192427,28.0864197530864,82.3369565217391,40.4
"13","Walt Bellamy",2.30383370732106,3.22518612408631,0,1969,0,63.4852526554742,59.5384152553427,60.3483775794408,58.635959920641,20.4663212435233,0,0,0,0,76.8832528624581,72.3026258774591,68.6146997206704,22.979797979798,90.4891304347826,56
"14","Ed Biedenbach",-0.0209841590594797,-3.06967553187324,0,1969,0,27.4770844794419,75.654859376027,0,0,4.38564026646928,0,0,0,0,0.0081307457096843,14.3401879340869,20.8848762968875,0,2.44565217391305,100
"15","Dave Bing",-0.0816470037143448,2.34296820586209,1,1969,0,17.0959820147002,71.6129718396207,82.0135443780579,22.4235247074022,72.5624116815827,0,0,0,0,63.9987772538425,46.1627028833893,47.6805666400639,12.1212121212121,70.6521739130435,39.1
"16","John Block",0.0783864998053953,1.39839620254724,0,1969,0,19.5174901575184,77.39015298291,53.0416287135791,41.8564475619119,18.4984057393384,0,0,0,0,43.2540922103077,51.4445992520349,39.607506087953,34.9002849002849,70.9239130434783,37.7
