"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Tariq Abdul-Wahad","SG","28","DAL","8","0","79","9","30",".300","0","2",".000","9","28",".321",".300","7","8",".875","11","11","22","7","0","0","1","6","25",2003,"12.6",".373",".067",".267","15.2","15.4","15.3","13.0","0.0","0.0","2.9","19.7","0.1","0.0","0.1",".034","0.8","-3.0","-2.2","0.0"
"2","Courtney Alexander","PG","25","NOH","5","0","39","7","16",".438","1","1","1.000","6","15",".400",".469","3","4",".750","2","2","4","1","2","0","1","6","18",2003,"14.4",".507",".063",".250","6.3","6.3","6.3","4.9","2.8","0.0","5.3","22.4","0.1","0.0","0.1",".097","-1.5","0.3","-1.2","0.0"
"3","John Amaechi","C","32","UTA","2","0","16","1","4",".250","0","0","0","1","4",".250",".250","2","4",".500","0","1","1","0","0","0","0","4","4",2003,"-2.2",".347",".000","1.000","0.0","7.8","3.8","0.0","0.0","0.0","0.0","16.1","0.0","0.0","0.0","-0.105","-8.5","-2.3","-10.9","0.0"
"4","Derek Anderson","PG","28","POR","2","2","22","1","4",".250","0","1",".000","1","3",".333",".250","0","1",".000","1","0","1","0","0","0","1","1","2",2003,"-4.1",".225",".250",".250","5.3","0.0","2.7","0.0","0.0","0.0","18.4","11.2","-0.1","0.0","-0.1","-0.197","-7.9","-5.3","-13.2","-0.1"
"5","Kenny Anderson","PG","32","NOH","5","0","51","4","12",".333","0","0","0","4","12",".333",".333","3","3","1.000","0","2","2","9","3","0","4","6","11",2003,"7.7",".413",".000",".250","0.0","4.8","2.4","28.2","3.2","0.0","23.1","15.8","0.0","0.0","0.0","-0.016","-4.5","1.0","-3.5","0.0"
"6","Darrell Armstrong","PG","34","ORL","7","1","226","20","44",".455","6","18",".333","14","26",".538",".523","20","22",".909","7","10","17","26","6","0","17","22","66",2003,"11.5",".615",".409",".500","3.7","5.2","4.5","20.6","1.4","0.0","24.1","15.0","0.3","0.1","0.3",".069","0.6","-0.8","-0.2","0.1"
"7","Carlos Arroyo","PG","23","UTA","3","0","27","3","9",".333","0","0","0","3","9",".333",".333","3","4",".750","2","0","2","5","0","0","0","2","9",2003,"14.1",".418",".000",".444","9.0","0.0","4.5","31.2","0.0","0.0","0.0","17.8","0.1","0.0","0.0",".050","3.0","-4.1","-1.2","0.0"
"8","Chucky Atkins","PG","28","DET","17","3","312","32","91",".352","18","49",".367","14","42",".333",".451","21","26",".808","2","18","20","26","17","0","18","39","103",2003,"9.9",".503",".538",".286","0.7","7.0","3.8","16.0","3.0","0.0","14.9","18.6","0.0","0.4","0.4",".061","-2.6","1.2","-1.5","0.0"
"9","Stacey Augmon","SG","34","NOH","4","0","69","5","15",".333","0","0","0","5","15",".333",".333","7","8",".875","1","9","10","3","3","0","3","8","17",2003,"7.7",".459",".000",".533","1.8","16.0","8.9","6.9","2.4","0.0","13.9","14.5","0.0","0.1","0.0",".030","-4.2","1.4","-2.9","0.0"
"10","Jon Barry","SG","33","DET","14","0","172","23","54",".426","15","33",".455","8","21",".381",".565","9","9","1.000","5","19","24","20","8","1","7","14","70",2003,"19.3",".604",".611",".167","3.3","13.4","8.2","23.8","2.6","0.4","10.8","18.2","0.5","0.3","0.7",".202","4.0","2.0","6.0","0.3"
"11","Tony Battie","C","26","BOS","10","10","213","31","55",".564","0","3",".000","31","52",".596",".564","4","8",".500","13","36","49","5","4","14","7","42","66",2003,"13.2",".564",".055",".145","7.1","19.1","13.2","4.4","1.0","5.2","10.7","14.6","0.2","0.4","0.6",".127","-2.8","1.6","-1.2","0.0"
"12","Raja Bell","SG","26","DAL","17","7","305","40","73",".548","6","13",".462","34","60",".567",".589","11","20",".550","13","38","51","27","5","0","6","41","97",2003,"13.9",".593",".178",".274","4.6","13.8","9.2","13.3","0.8","0.0","6.8","12.9","0.8","0.0","0.8",".121","0.8","1.5","2.3","0.3"
"13","Jonathan Bender","SF","22","IND","3","0","34","5","15",".333","3","9",".333","2","6",".333",".433","4","6",".667","3","4","7","0","0","2","0","2","17",2003,"17.5",".482",".600",".400","9.6","13.5","11.5","0.0","0.0","5.4","0.0","23.9","0.1","0.0","0.1",".117","6.0","-2.3","3.7","0.0"
"14","Mike Bibby","PG","24","SAC","12","12","404","57","135",".422","11","39",".282","46","96",".479",".463","27","34",".794","8","23","31","60","14","5","18","31","152",2003,"14.5",".507",".289",".252","2.2","6.2","4.2","22.4","1.8","0.9","10.7","18.2","0.6","0.1","0.7",".082","1.0","0.1","1.0","0.3"
"15","Chauncey Billups","PG","26","DET","14","14","485","71","190",".374","26","84",".310","45","106",".425",".442","84","90",".933","4","43","47","66","9","2","34","38","252",2003,"17.9",".549",".442",".474","1.0","10.8","5.7","28.6","1.0","0.3","12.9","26.2","1.0","0.5","1.5",".144","3.0","-0.5","2.5","0.5"
"16","Mark Blount","C","27","BOS","10","0","144","12","22",".545","0","0","0","12","22",".545",".545","7","10",".700","12","24","36","2","11","8","8","20","31",2003,"13.9",".587",".000",".455","9.8","18.9","14.4","2.3","4.1","4.4","23.3","11.3","0.1","0.3","0.4",".139","-2.1","2.8","0.6","0.1"
