"","Player","Eff","Vol","allstar","Yr","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","ASTtTOV","SPBtPFR","PER","WS","OWS","DWS","TS","FTr"
"1","Kareem Abdul-Jabbar",1.9135184416351,5.17292545329497,1,1985,21.843486545757,100,44.2114919336706,66.772326832784,60.3297769156159,22.7340870408152,26.910454758556,36.8754163890739,26.7585206671501,0.59834060206361,71.0231678435111,81.610852961598,84.844338008895,55.7717740411865,92.3529411764706,16.35
"2","Alvan Adams",0.789785042746887,2.82403005235426,0,1985,22.9763271857073,48.0878488058241,73.044949976317,44.5671372136607,46.7223391923541,27.0920661121126,47.3251028806584,10.5263157894737,33.0988930340652,0.391300172844248,51.7897913433453,61.7474529175672,61.7007251153593,49.2537313432836,85,15.45
"3","Mark Aguirre",1.08636718240359,3.07944009952577,0,1985,34.8459196577386,51.9294031659606,54.3469255706886,78.099087893864,45.6874393792435,22.449910952805,25.3086419753086,5.39473684210526,20.8356860530774,0.21,68.6548320003464,64.1350210970464,71.8918918918919,29.0671641791045,82.7941176470588,18.5
"4","Danny Ainge",0.489445065925044,2.4687625870917,0,1985,19.5920420030236,56.9659941678518,57.0927255609929,39.3624470241386,27.3805366957646,38.3722172751558,54.8916323731139,1.43859649122807,56.6911943074311,0.374269005847953,40.7955551979691,63.4599156118144,65.7297297297297,45.6915422885572,83.8235294117647,8.6
"5","Chuck Aleksinas",-0.794884549141071,-2.01704403863337,0,1985,21.843486545757,34.920174027662,44.8717553959817,15.4893699669819,27.9576375599654,3.50894081971553,6.84017350684018,3.64509246088194,10.5851979345955,0.118539592223803,11.2654637329125,35.5798836811495,43.827611395179,6.61557079467527,74.8529411764706,11.15
"6","J.J. Anderson",-0.999162842569889,-2.07483343871052,0,1985,20.7106459058066,32.0571842617597,40.9004673475655,10.2957435046987,14.2800458513359,3.44248360722092,22.2409277964834,3.67822966507177,13.8930722891566,0.616883116883117,2.53862843031238,35.2896049098581,37.3464373464373,22.2523744911805,64.8529411764706,15.1
"7","Ron Anderson",-0.616537956848086,-2.0948193768484,0,1985,24.7121644728733,31.5711310911746,47.8160343696966,17.7353970886309,18.7304666451126,6.81211041852182,8.43621399176955,3.49658869395712,21.170395869191,0.555555555555556,3.06673375984859,36.5682137834037,43.2432432432432,10.1990049751244,71.1764705882353,12.8
"8","John Bagley",-0.492621033387701,2.01124985593996,0,1985,5.48701106252726,39.3599282125668,46.5475288279728,30.1783264746228,27.5281100693322,62.0658949243099,53.7418076512727,1.11002815681178,71.2838933373245,0.626636737747849,46.4769846906949,52.924936187946,55.5221888555222,34.7521651004238,77.0588235294118,12.05
"9","James Bailey",-0.870313197027808,-1.37850501399723,0,1985,21.843486545757,29.3436794326898,40.708035303629,15.818056862833,35.6201011875115,3.80135255469182,13.6803470136804,12.1503082029398,8.25645438898451,0.189000189000189,11.3856213235603,36.4921883909226,38.5682980277575,23.1544977813634,71.3235294117647,15.45
"10","Thurl Bailey",-0.22004898606782,2.08983404513595,0,1985,25.8450051128236,33.677894697877,61.7574905224258,46.06135986733,50.2849175557711,12.4421193232413,21.5123456790123,23.6019736842105,19.2204909865024,0.453488372093023,43.583755235293,56.5400843881857,51.8918918918919,58.1343283582089,78.3823529411765,11.3
"11","Greg Ballard",-0.395927142481607,2.25129619188609,0,1985,26.8228933898509,33.1860423054082,51.0478669715706,39.747064137308,49.61912422228,18.2959407510371,41.1522633744856,7.23684210526316,41.5419088753938,0.366957289482397,46.6575565624569,58.4542554286302,54.3177323665128,58.2089552238806,75.4411764705882,7.7
"12","Gene Banks",1.80996173736093,1.04466148238577,0,1985,23.5753223143558,60.3886809349526,51.7037288748494,28.8462834877105,41.5828818811951,20.5829333449167,26.7489711934156,2.85087719298246,35.3848045242193,0.216186252771619,37.150524452262,56.8076566841618,63.8101516150297,26.865671641791,94.4117647058823,26.05
"13","Ken Bannister",-0.819796910429558,-1.70523731196007,0,1985,22.9763271857073,31.8015849523133,11.4223023887696,20.6338676985443,33.7148399612027,3.7506678539626,17.0973936899863,9.5906432748538,5.85564141062731,0.186379928315412,11.5416415996654,30.154711673699,30.5585585585586,22.8457711442786,70.7352941176471,21.55
"14","Charles Barkley",1.06250883924971,3.03363992378481,0,1985,20.1888049502059,57.6134218542668,44.4698556715778,42.5649530127142,65.6916089044499,13.633994309667,39.0946502057613,17.5438596491228,15.7005328216489,0.354509359047079,52.5934453173967,64.629000720387,65.3922214897825,49.2537313432836,88.0882352941177,25.55
"15","Kent Benson",-0.25725794014893,-0.0151715459485295,0,1985,19.5778052658562,40.5159517234663,49.6328734282863,20.184570972299,34.4810863239573,9.31656277827249,24.8399634202103,10.9892787524366,28.9536296446289,0.325415995705851,19.0311337373994,49.2264416315049,52.2522522522522,32.2968490878939,80.1470588235294,11.85
"16","Larry Bird",4.41420221027198,8.37313846269386,1,1985,98.407147438218,63.1487876010429,90.003890094967,87.2201492537313,80.6474296799224,47.8751113089938,54.4135802469136,22.0285087719298,45.3285492199212,0.682091346153846,100,100,100,79.5522388059701,86.0294117647059,13
"17","Otis Birdsong",-0.375260509958182,1.90862193583421,0,1985,15.1527328293457,47.472611131279,25.3898986815894,62.7072968490879,20.2507967299432,29.8816944409108,50.6172839506173,2.24780701754386,41.978904629507,0.560344827586207,27.9187338307032,59.0717299578059,64.8648648648649,30.5970149253731,78.5294117647059,13.4
"18","Rolando Blackman",0.848692249200042,2.27033560969951,1,1985,24.3286257891001,46.3511147941668,70.730979969978,59.9813006299094,28.3794949168373,25.7346393588602,25.4127927653305,3.5520901017977,37.766940778989,0.49511316872428,60.6629610745231,64.1766942751472,74.2075408742075,21.153491800258,83.235294117647,16.8
"19","Cory Blackwell",-1.77196885155862,-2.85323415596626,0,1985,20.7106459058066,22.9778644556684,36.6453061513383,10.2358577482956,12.2599418040737,3.12555654496883,14.0603566529492,0.899122807017544,12.5097793772493,0.424242424242424,3.23492396937721,28.6919831223629,32.4324324324324,10.1990049751244,56.9117647058823,11.6
"20","Sam Bowie",0.625488717100939,2.80126883046354,0,1985,22.9763271857073,49.04322358259,41.3710563485955,30.3235285560502,66.1391597325029,20.4046960678633,24.4206194498592,48.0320867959372,26.4629948364888,0.61056418023476,39.5053692935134,59.0717299578059,55.7610241820768,56.3629222309505,85,20.2
"21","Dudley Bradley",0.299092685013498,-0.365741729050526,0,1985,30.6329461643636,40.6871293912276,42.2742501940495,14.9102281590525,14.0653441930298,17.0934019687969,44.3767968882124,5.17303532804614,43.6009343496435,0.527217015140591,16.4401695238028,44.8528986763771,45.020362828582,35.207524023717,78.8235294117647,13.2
"22","Mike Bratz",-0.244403385938411,-1.64417655233882,0,1985,17.5555910608003,32.3046737001538,50.7943055615378,15.58181315644,7.93612304281557,15.7136496628928,28.3215755437978,1.28446115288221,47.8294128896539,0.599154135338346,8.05322754924618,38.5774562989753,46.3320463320463,8.74200426439232,73.8235294117647,16.4
"23","Randy Breuer",0.135927440203983,-0.679115283078477,0,1985,22.9763271857073,40.2411511239549,42.0856331154206,16.0982835112188,25.1485985724589,3.69888348517022,9.08515352959797,18.9046333783176,13.441521186788,0.368858329752185,16.9580462643553,46.7380720545278,49.3416493416493,29.8124760811328,81.4705882352941,20.05
"24","Ron Brewer",-0.0363568517946277,-1.46622764112872,0,1985,20.7106459058066,40.3530149754862,48.0646148304335,22.346600331675,8.04558680892337,6.13089937666964,10.1234567901235,5.39473684210526,39.9885255306942,1.30434782608696,1.37308220666271,47.2573839662447,56.2162162162162,12.2388059701493,83.8235294117647,10.6
"25","Frank Brickowski",-0.106949675681044,-1.50177904295471,0,1985,18.4449646259059,38.1635952236551,39.3638147907641,15.0068744596108,25.5415454251536,9.24720871292554,14.7092961907777,3.45816464237517,21.170395869191,0.1836857100015,13.6961313448638,38.0828735259115,41.5800415800416,20.3980099502488,78.3823529411765,20.8
"26","Junior Bridgeman",-0.0755920692983121,0.0177261314963685,0,1985,34.8208036851436,23.9433847775766,64.8528218671679,42.3749309010503,22.029582929195,15.4174087266251,19.8251028806584,4.04605263157895,31.2080835657903,0.3173828125,36.1295890057519,46.8354430379747,55.1351351351351,13.7686567164179,75.8823529411765,10.4
"27","Rickey Brown",-0.926380088556708,-2.09872800329899,0,1985,22.9763271857073,29.2753886522759,37.6391962139325,8.59230417958516,24.7641940426489,2.61334159278331,9.29206178803603,5.73353674040173,10.3776450339172,0.253932862628515,6.36107002611302,35.7121017550297,39.4829612220917,17.737399956738,64.5588235294118,17.7
"28","Tony Brown",-0.596463378019184,-0.828364241498949,0,1985,16.1792833460052,30.6688926602081,38.4541473533705,20.1701519502757,26.912067374796,13.9858393241101,24.2798353909465,2.63157894736842,29.018042613805,0.20421076852278,21.0227920994259,41.1649686117114,45.3526697429136,20.8955223880597,73.9705882352941,18.4
"29","Wallace Bryant",-0.319295839736785,-1.29720878106013,0,1985,22.9763271857073,34.8591947058131,43.4071966669594,8.90389323225144,32.9759595399751,10.8192341941229,12.6543209876543,7.70676691729324,38.6589837611315,0.36525974025974,7.4764186292486,41.5913200723327,45.5598455598456,21.8550106609808,72.0588235294118,14.85
"30","Quinn Buckner",-0.942360305022026,-1.88196301511467,0,1985,21.843486545757,27.2361552888553,41.7883855208018,7.29684908789386,8.88845780795344,14.233303650935,28.3456790123457,0.47953216374269,46.7644565468698,0.305164319248826,7.27627526200545,36.0056258790436,39.2072072072072,19.5820895522388,61.6176470588235,12.95
"31","Steve Burtt",-0.730890882321902,-2.83876265092075,0,1985,21.843486545757,27.5240016757067,42.548637360084,12.7436105524387,4.56487194832532,3.06928629620507,15.0774888363541,1.5304217991788,12.8305429510249,0.349944008958567,2.2477965442399,30.8824849627435,38.6428982173663,2.60400127024452,65.2941176470588,20.5
"32","Don Buse",0.971916087498533,-1.72799062368227,0,1985,48.3542245692146,34.8381834787751,45.6105365863381,10.1968788535953,7.19092740431246,22.5262004246866,19.7277619499842,0.276653171390014,95.5020080321285,0.4,9.63574682506685,40.5063291139241,49.8960498960499,3.76578645235362,74.1176470588235,7.4
"33","Michael Cage",0.310376761656532,-0.279146100754624,0,1985,22.9763271857073,47.1812370338456,45.1621021357324,21.6067809102635,40.0491432266408,4.90471950133571,18.4471879286694,7.67251461988304,13.3295085102314,0.296747967479675,22.5856101585932,48.1575246132208,53.6216216216216,22.8457711442786,85.5882352941176,17.2
