"","stat","loading","year"
"1","x3PAVG",0.0680232507753425,2017
"2","x2PAVG",0.564162289178373,2017
"3","xFTAVG",0.277540831546062,2017
"4","ASTtTOV",0.356562834759177,2017
"5","SPBtPFR",0.115096947563439,2017
"6","TS",0.464076997008733,2017
"7","FTr",0.494280299046127,2017
"8","PTS",0.364664758950517,2017
"9","TRB",0.323388529509464,2017
"10","AST",0.271402232449827,2017
"11","STL",0.31395424428498,2017
"12","BLK",0.234359595397242,2017
"13","PER",0.379219378505131,2017
"14","WS",0.385969433780553,2017
"15","OWS",0.346132186181384,2017
"16","DWS",0.350287570669876,2017
