"","stat","loading","year"
"1","x3PAVG",0.0149766314288343,1981
"2","x2PAVG",0.561336898403729,1981
"3","xFTAVG",0.235027613901148,1981
"4","ASTtTOV",0.141914265821615,1981
"5","SPBtPFR",0.293875090026338,1981
"6","TS",0.671052518585259,1981
"7","FTr",0.269490069620688,1981
"8","PTS",0.379382504125991,1981
"9","TRB",0.310357337522788,1981
"10","AST",0.244859752174567,1981
"11","STL",0.294431387434844,1981
"12","BLK",0.219741072806622,1981
"13","PER",0.39406362940357,1981
"14","WS",0.405228102614297,1981
"15","OWS",0.358669901049138,1981
"16","DWS",0.341577081056618,1981
