"","stat","loading","year"
"1","x3PAVG",0.00828997425894035,1999
"2","x2PAVG",0.555617591709657,1999
"3","xFTAVG",0.45031919457628,1999
"4","ASTtTOV",0.36878326581042,1999
"5","SPBtPFR",0.0103290370828993,1999
"6","TS",0.34128846715229,1999
"7","FTr",0.485641212363302,1999
"8","PTS",0.374399866594775,1999
"9","TRB",0.32519761725007,1999
"10","AST",0.263210375214049,1999
"11","STL",0.316996514796093,1999
"12","BLK",0.231604044314687,1999
"13","PER",0.385503936404855,1999
"14","WS",0.389720897754075,1999
"15","OWS",0.343085120132567,1999
"16","DWS",0.335352443686227,1999
