"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Mahmoud Abdul-Rauf","PG","27","SAC","75","51","2131","411","924",".445","94","246",".382","317","678",".468",".496","115","136",".846","16","106","122","189","56","6","119","174","1031",1997,"13.2",".524",".266",".147","0.9","5.9","3.3","15.8","1.4","0.2","10.8","23.2","2.0","0.7","2.7",".060","-0.8","-1.8","-2.6","-0.4"
"2","Shareef Abdur-Rahim","PF","20","VAN","80","71","2802","550","1214",".453","7","27",".259","543","1187",".457",".456","387","519",".746","216","339","555","175","79","79","225","199","1494",1997,"17.4",".518",".022",".428","8.8","14.2","11.5","12.1","1.5","2.2","13.5","27.6","1.7","1.2","2.9",".049","0.3","-2.1","-1.8","0.2"
"3","Rafael Addison","SF","32","CHH","41","3","355","49","122",".402","8","20",".400","41","102",".402",".434","22","28",".786","19","26","45","34","8","3","17","52","128",1997,"10.6",".476",".164",".230","6.7","8.6","7.7","15.5","1.2","0.6","11.2","20.1","0.2","0.1","0.4",".048","-2.6","-1.7","-4.4","-0.2"
"4","Cory Alexander","PG","23","SAS","80","6","1454","194","490",".396","94","252",".373","100","238",".420",".492","95","129",".736","29","94","123","254","82","16","146","148","577",1997,"14.3",".528",".514",".263","2.3","8.0","5.1","30.0","3.1","0.9","21.1","22.2","0.5","0.6","1.1",".035","0.3","-0.8","-0.6","0.5"
"5","Jerome Allen","SG","24","TOT","76","1","943","78","221",".353","30","93",".323","48","128",".375",".421","42","72",".583","25","73","98","152","31","4","69","84","228",1997,"8.7",".451",".421",".326","3.1","9.0","6.1","25.3","1.8","0.3","21.4","15.6","-0.3","0.8","0.4",".021","-2.5","-0.2","-2.6","-0.1"
"6","Ray Allen*","SG","21","MIL","82","81","2532","390","908",".430","117","298",".393","273","610",".448",".494","205","249",".823","97","229","326","210","75","10","149","218","1102",1997,"14.6",".541",".328",".274","4.7","11.0","7.9","13.9","1.6","0.3","12.8","21.4","3.3","1.5","4.9",".092","0.8","-0.9","-0.1","1.2"
"7","Derrick Alston","C","24","ATL","2","0","11","0","5",".000","0","0","0","0","5",".000",".000","0","2",".000","3","1","4","0","0","0","0","0","0",1997,"-9.0",".000",".000",".400","33.3","10.6","21.7","0.0","0.0","0.0","0.0","25.2","-0.1","0.0","-0.1","-0.415","-9.5","-12.1","-21.6","-0.1"
"8","Ashraf Amaya","PF","25","WSB","31","0","144","12","40",".300","1","1","1.000","11","39",".282",".313","15","28",".536","19","33","52","3","7","3","10","29","40",1997,"8.8",".382",".025",".700","15.7","26.4","21.1","2.9","2.5","1.6","16.0","19.4","-0.2","0.3","0.1",".019","-6.2","-0.9","-7.1","-0.2"
"9","Greg Anderson","C","32","SAS","82","48","1659","130","262",".496","0","1",".000","130","261",".498",".496","62","93",".667","157","291","448","34","63","67","73","225","322",1997,"11.4",".531",".004",".355","11.0","21.8","16.2","3.2","2.1","3.2","19.4","10.5","0.7","1.5","2.2",".064","-3.6","0.1","-3.5","-0.6"
"10","Kenny Anderson","PG","26","POR","82","81","3081","485","1137",".427","132","366",".361","353","771",".458",".485","334","435",".768","91","272","363","584","162","15","193","222","1436",1997,"19.5",".540",".322",".383","3.6","10.2","7.0","31.7","2.8","0.4","12.7","22.2","8.0","4.4","12.4",".193","3.2","1.2","4.4","5.0"
