"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"39","Bob Harris","SF","25","BOS","70","0","1971","192","459",".418","0","0","0","192","459",".418",".418","133","226",".588","0","0","485","95","0","0","0","238","517",1953,"12.6",".463","0",".492","0","0","0","0","0","0","0","0","2.0","1.5","3.4",".084","0","0","0","0"
"40","Bob Harrison","SG","25","MNL","70","0","1643","195","518",".376","0","0","0","195","518",".376",".376","107","165",".648","0","0","153","160","0","0","0","264","497",1953,"10.5",".421","0",".319","0","0","0","0","0","0","0","0","0.6","2.2","2.9",".084","0","0","0","0"
"41","Don Henriksen","C","23","BLB","68","0","2263","199","475",".419","0","0","0","199","475",".419",".419","176","281",".626","0","0","506","129","0","0","0","242","574",1953,"12.9",".479","0",".592","0","0","0","0","0","0","0","0","2.9","0.5","3.5",".074","0","0","0","0"
"42","Kleggie Hermsen","C-F","29","TOT","10","0","62","4","31",".129","0","0","0","4","31",".129",".129","3","5",".600","0","0","19","4","0","0","0","18","11",1953,"-6.2",".166","0",".161","0","0","0","0","0","0","0","0","-0.6","0.1","-0.5","-0.418","0","0","0","0"
"43","Lew Hitch","PF","23","MNL","70","0","1027","89","255",".349","0","0","0","89","255",".349",".349","83","136",".610","0","0","275","66","0","0","0","122","261",1953,"13.5",".414","0",".533","0","0","0","0","0","0","0","0","0.2","2.1","2.2",".104","0","0","0","0"
"44","Paul Hoffman","SG","27","BLB","69","0","1955","240","656",".366","0","0","0","240","656",".366",".366","224","342",".655","0","0","317","237","0","0","0","282","704",1953,"14.5",".436","0",".521","0","0","0","0","0","0","0","0","1.8","0.5","2.2",".055","0","0","0","0"
"45","Jim Holstein","SF","22","MNL","66","0","989","98","274",".358","0","0","0","98","274",".358",".358","70","105",".667","0","0","173","74","0","0","0","128","266",1953,"11.6",".415","0",".383","0","0","0","0","0","0","0","0","0.2","1.6","1.8",".087","0","0","0","0"
"46","Red Holzman*","PG","32","ROC","46","0","392","38","149",".255","0","0","0","38","149",".255",".255","27","38",".711","0","0","40","35","0","0","0","56","103",1953,"4.1",".311","0",".255","0","0","0","0","0","0","0","0","-1.2","0.4","-0.8","-0.102","0","0","0","0"
"47","Mel Hutchins","C","24","MLH","71","0","2891","319","842",".379","0","0","0","319","842",".379",".379","193","295",".654","0","0","793","227","0","0","0","214","831",1953,"17.3",".428","0",".350","0","0","0","0","0","0","0","0","1.4","5.5","6.9",".115","0","0","0","0"
"48","Arnie Johnson","SF","32","ROC","70","0","1984","140","369",".379","0","0","0","140","369",".379",".379","303","405",".748","0","0","419","153","0","0","0","282","583",1953,"15.6",".533","0","1.098","0","0","0","0","0","0","0","0","5.1","2.4","7.5",".182","0","0","0","0"
"49","Ralph Johnson","PG","31","FTW","3","0","30","3","9",".333","0","0","0","3","9",".333",".333","2","3",".667","0","0","1","5","0","0","0","6","8",1953,"8.4",".388","0",".333","0","0","0","0","0","0","0","0","0.0","0.0","0.0",".031","0","0","0","0"
"50","Neil Johnston*","C","23","PHW","70","0","3166","504","1114",".452","0","0","0","504","1114",".452",".452","556","794",".700","0","0","976","197","0","0","0","248","1564",1953,"25.9",".534","0",".713","0","0","0","0","0","0","0","0","13.0","2.3","15.3",".232","0","0","0","0"
"51","Noble Jorgensen","C","27","SYR","70","0","1355","145","436",".333","0","0","0","145","436",".333",".333","146","199",".734","0","0","236","76","0","0","0","247","436",1953,"10.0",".416","0",".456","0","0","0","0","0","0","0","0","0.2","1.6","1.8",".062","0","0","0","0"
"52","George Kaftan","SF","24","BLB","23","0","380","45","142",".317","0","0","0","45","142",".317",".317","44","67",".657","0","0","75","31","0","0","0","59","134",1953,"11.3",".391","0",".472","0","0","0","0","0","0","0","0","-0.2","0.1","-0.1","-0.018","0","0","0","0"
"53","Jack Kerris","PF","28","TOT","69","0","1424","93","256",".363","0","0","0","93","256",".363",".363","88","140",".629","0","0","295","156","0","0","0","165","274",1953,"12.4",".431","0",".547","0","0","0","0","0","0","0","0","0.8","1.4","2.1",".072","0","0","0","0"
"54","Jack Kiley","SG","24","FTW","6","0","27","2","10",".200","0","0","0","2","10",".200",".200","2","2","1.000","0","0","2","3","0","0","0","7","6",1953,"-0.5",".276","0",".200","0","0","0","0","0","0","0","0","-0.1","0.0","-0.1","-0.149","0","0","0","0"
"55","George King","PG","24","SYR","71","0","2519","255","635",".402","0","0","0","255","635",".402",".402","284","442",".643","0","0","281","364","0","0","0","244","794",1953,"16.2",".479","0",".696","0","0","0","0","0","0","0","0","4.9","3.2","8.1",".155","0","0","0","0"
"56","Frank Kudelka","SG","27","TOT","36","0","567","59","193",".306","0","0","0","59","193",".306",".306","44","68",".647","0","0","88","70","0","0","0","109","162",1953,"8.9",".363","0",".352","0","0","0","0","0","0","0","0","-0.7","0.3","-0.4","-0.036","0","0","0","0"
"57","Bob Lavoy","PF","26","INO","70","0","2327","225","560",".402","0","0","0","225","560",".402",".402","168","242",".694","0","0","528","130","0","0","0","274","618",1953,"14.8",".464","0",".432","0","0","0","0","0","0","0","0","2.9","2.9","5.8",".119","0","0","0","0"
"58","Andrew Levane","SG","32","MLH","7","0","68","3","24",".125","0","0","0","3","24",".125",".125","2","3",".667","0","0","9","9","0","0","0","15","8",1953,"-4.1",".158","0",".125","0","0","0","0","0","0","0","0","-0.5","0.1","-0.4","-0.275","0","0","0","0"
"59","Earl Lloyd*","SF","24","SYR","64","0","1806","156","453",".344","0","0","0","156","453",".344",".344","160","231",".693","0","0","444","64","0","0","0","241","472",1953,"11.2",".426","0",".510","0","0","0","0","0","0","0","0","0.5","2.5","2.9",".078","0","0","0","0"
"60","Bob Lochmueller","SF","25","SYR","62","0","802","79","245",".322","0","0","0","79","245",".322",".322","74","122",".607","0","0","162","47","0","0","0","143","232",1953,"9.0",".388","0",".498","0","0","0","0","0","0","0","0","-0.5","1.0","0.5",".031","0","0","0","0"
"61","Don Lofgran","SF","23","PHW","64","0","1788","173","525",".330","0","0","0","173","525",".330",".330","126","173",".728","0","0","339","106","0","0","0","178","472",1953,"10.3",".393","0",".330","0","0","0","0","0","0","0","0","-0.8","1.0","0.1",".004","0","0","0","0"
"62","Ray Lumpp","PG","29","TOT","55","0","1422","188","506",".372","0","0","0","188","506",".372",".372","153","206",".743","0","0","141","168","0","0","0","178","529",1953,"13.8",".443","0",".407","0","0","0","0","0","0","0","0","1.5","0.4","2.0",".066","0","0","0","0"
"63","Ed Macauley*","C","24","BOS","69","0","2902","451","997",".452","0","0","0","451","997",".452",".452","500","667",".750","0","0","629","280","0","0","0","188","1402",1953,"24.3",".543","0",".669","0","0","0","0","0","0","0","0","12.2","2.3","14.5",".239","0","0","0","0"
"64","John Mahnken","C","30","BOS","69","0","771","76","252",".302","0","0","0","76","252",".302",".302","39","56",".696","0","0","182","75","0","0","0","110","191",1953,"9.6",".345","0",".222","0","0","0","0","0","0","0","0","-1.2","0.6","-0.6","-0.037","0","0","0","0"
"65","Mo Mahoney","F","25","BOS","6","0","34","4","10",".400","0","0","0","4","10",".400",".400","4","5",".800","0","0","7","1","0","0","0","7","12",1953,"12.3",".492","0",".500","0","0","0","0","0","0","0","0","0.1","0.0","0.1",".123","0","0","0","0"
"66","Slater Martin*","PG","27","MNL","70","0","2556","260","634",".410","0","0","0","260","634",".410",".410","224","287",".780","0","0","186","250","0","0","0","246","744",1953,"13.5",".489","0",".453","0","0","0","0","0","0","0","0","4.9","3.2","8.2",".153","0","0","0","0"
"67","Al Masino","PG","24","MLH","72","0","1773","134","400",".335","0","0","0","134","400",".335",".335","128","204",".627","0","0","177","160","0","0","0","252","396",1953,"8.5",".404","0",".510","0","0","0","0","0","0","0","0","0.0","2.2","2.2",".058","0","0","0","0"
"68","Jack McCloskey","SG","27","PHW","1","0","16","3","9",".333","0","0","0","3","9",".333",".333","0","0","0","0","0","3","1","0","0","0","2","6",1953,"7.8",".333","0",".000","0","0","0","0","0","0","0","0","-0.1","0.0","0.0","-0.140","0","0","0","0"
"69","Bucky McConnell","PG","24","MLH","14","0","297","27","71",".380","0","0","0","27","71",".380",".380","14","29",".483","0","0","34","41","0","0","0","39","68",1953,"11.6",".406","0",".408","0","0","0","0","0","0","0","0","0.1","0.4","0.5",".080","0","0","0","0"
"70","Alfred McGuire*","PG","24","NYK","58","0","1231","112","287",".390","0","0","0","112","287",".390",".390","128","201",".637","0","0","167","145","0","0","0","206","352",1953,"13.0",".469","0",".700","0","0","0","0","0","0","0","0","1.9","1.6","3.4",".134","0","0","0","0"
"71","Dick McGuire*","PG","27","NYK","61","0","1783","142","373",".381","0","0","0","142","373",".381",".381","153","269",".569","0","0","280","296","0","0","0","172","437",1953,"15.5",".445","0",".721","0","0","0","0","0","0","0","0","1.9","2.7","4.7",".125","0","0","0","0"
"72","George McLeod","F","22","BLB","10","0","85","2","16",".125","0","0","0","2","16",".125",".125","8","15",".533","0","0","21","4","0","0","0","16","12",1953,"2.9",".265","0",".938","0","0","0","0","0","0","0","0","-0.2","0.0","-0.2","-0.115","0","0","0","0"
"73","Jack McMahon","PG","24","ROC","70","0","1665","176","534",".330","0","0","0","176","534",".330",".330","155","236",".657","0","0","183","186","0","0","0","253","507",1953,"10.0",".397","0",".442","0","0","0","0","0","0","0","0","-0.4","1.7","1.3",".037","0","0","0","0"
"74","Monk Meineke","PF","22","FTW","68","0","2250","240","630",".381","0","0","0","240","630",".381",".381","245","313",".783","0","0","466","148","0","0","0","334","725",1953,"14.6",".472","0",".497","0","0","0","0","0","0","0","0","3.6","2.5","6.1",".130","0","0","0","0"
"75","Stan Miasek","SF","29","TOT","65","0","1584","178","488",".365","0","0","0","178","488",".365",".365","156","248",".629","0","0","360","122","0","0","0","229","512",1953,"13.8",".429","0",".508","0","0","0","0","0","0","0","0","0.7","1.4","2.1",".064","0","0","0","0"
"76","Ed Mikan","C","27","TOT","62","0","927","78","292",".267","0","0","0","78","292",".267",".267","79","98",".806","0","0","237","39","0","0","0","124","235",1953,"9.2",".351","0",".336","0","0","0","0","0","0","0","0","-1.6","0.9","-0.7","-0.038","0","0","0","0"
"77","George Mikan*","C","28","MNL","70","0","2651","500","1252",".399","0","0","0","500","1252",".399",".399","442","567",".780","0","0","1007","201","0","0","0","290","1442",1953,"28.5",".480","0",".453","0","0","0","0","0","0","0","0","7.7","6.9","14.6",".264","0","0","0","0"
"78","Vern Mikkelsen*","PF","24","MNL","70","0","2465","378","868",".435","0","0","0","378","868",".435",".435","291","387",".752","0","0","654","148","0","0","0","289","1047",1953,"21.7",".504","0",".446","0","0","0","0","0","0","0","0","7.2","4.9","12.0",".235","0","0","0","0"
"79","Eddie Miller","C","21","TOT","70","0","2018","273","781",".350","0","0","0","273","781",".350",".350","187","287",".652","0","0","669","115","0","0","0","250","733",1953,"15.4",".404","0",".367","0","0","0","0","0","0","0","0","-0.7","0.9","0.2",".005","0","0","0","0"
"80","Dave Minor","PG","30","TOT","59","0","1610","154","420",".367","0","0","0","154","420",".367",".367","98","132",".742","0","0","252","128","0","0","0","211","406",1953,"11.2",".425","0",".314","0","0","0","0","0","0","0","0","0.6","1.9","2.6",".077","0","0","0","0"
"81","Bill Mlkvy","SF","22","PHW","31","0","608","75","246",".305","0","0","0","75","246",".305",".305","31","48",".646","0","0","101","62","0","0","0","54","181",1953,"9.5",".339","0",".195","0","0","0","0","0","0","0","0","-1.4","0.4","-1.0","-0.082","0","0","0","0"
"82","Jim Mooney","SF","22","PHW","18","0","529","54","148",".365","0","0","0","54","148",".365",".365","27","40",".675","0","0","70","35","0","0","0","50","135",1953,"9.5",".408","0",".270","0","0","0","0","0","0","0","0","0.0","0.2","0.2",".019","0","0","0","0"
"83","Bob Naber","F","23","INO","4","0","11","0","4",".000","0","0","0","0","4",".000",".000","1","2",".500","0","0","5","1","0","0","0","6","1",1953,"-10.4",".102","0",".500","0","0","0","0","0","0","0","0","-0.1","0.0","-0.1","-0.418","0","0","0","0"
"84","Jack Nichols","PF","26","MLH","69","0","2626","425","1170",".363","0","0","0","425","1170",".363",".363","240","339",".708","0","0","533","196","0","0","0","237","1090",1953,"16.8",".413","0",".290","0","0","0","0","0","0","0","0","-0.1","4.2","4.1",".075","0","0","0","0"
"85","John O'Boyle","SG","24","MLH","5","0","97","8","26",".308","0","0","0","8","26",".308",".308","5","7",".714","0","0","10","5","0","0","0","20","21",1953,"3.4",".361","0",".269","0","0","0","0","0","0","0","0","-0.1","0.1","0.0","-0.008","0","0","0","0"
"86","Ralph O'Brien","PG","24","TOT","55","0","758","96","286",".336","0","0","0","96","286",".336",".336","78","92",".848","0","0","70","56","0","0","0","74","270",1953,"11.9",".414","0",".322","0","0","0","0","0","0","0","0","0.0","0.5","0.5",".034","0","0","0","0"
"87","Mike O'Neill","SF","24","MLH","4","0","50","4","17",".235","0","0","0","4","17",".235",".235","4","4","1.000","0","0","9","3","0","0","0","10","12",1953,"4.6",".320","0",".235","0","0","0","0","0","0","0","0","-0.1","0.1","-0.1","-0.064","0","0","0","0"
"88","Kevin O'Shea","SG","27","BLB","46","0","643","71","189",".376","0","0","0","71","189",".376",".376","48","81",".593","0","0","76","87","0","0","0","82","190",1953,"12.3",".423","0",".429","0","0","0","0","0","0","0","0","0.3","0.1","0.5",".035","0","0","0","0"
"89","Wally Osterkorn","SF","24","SYR","49","0","1016","85","262",".324","0","0","0","85","262",".324",".324","106","168",".631","0","0","217","61","0","0","0","129","276",1953,"11.2",".411","0",".641","0","0","0","0","0","0","0","0","0.0","1.4","1.4",".065","0","0","0","0"
"90","Don Otten","C","31","MLH","24","0","384","34","87",".391","0","0","0","34","87",".391",".391","64","91",".703","0","0","89","21","0","0","0","68","132",1953,"17.3",".520","0","1.046","0","0","0","0","0","0","0","0","1.1","0.6","1.7",".218","0","0","0","0"
"91","Claude Overton","SG","25","PHW","15","0","182","19","75",".253","0","0","0","19","75",".253",".253","20","30",".667","0","0","25","15","0","0","0","25","58",1953,"6.3",".329","0",".400","0","0","0","0","0","0","0","0","-0.5","0.1","-0.4","-0.115","0","0","0","0"
"92","Johnny Payak","SG","26","MLH","68","0","1470","128","373",".343","0","0","0","128","373",".343",".343","180","248",".726","0","0","114","140","0","0","0","194","436",1953,"11.9",".452","0",".665","0","0","0","0","0","0","0","0","1.8","1.7","3.5",".115","0","0","0","0"
"93","Mel Payton","SF","26","INO","66","0","1424","173","485",".357","0","0","0","173","485",".357",".357","120","161",".745","0","0","313","81","0","0","0","118","466",1953,"15.5",".419","0",".332","0","0","0","0","0","0","0","0","0.3","1.8","2.1",".069","0","0","0","0"
"94","Andy Phillip*","SG-PG","30","TOT","70","0","2690","250","629",".397","0","0","0","250","629",".397",".397","222","301",".738","0","0","364","397","0","0","0","229","722",1953,"0",".474","0",".479","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Jim Pollard*","SF","30","MNL","66","0","2403","333","933",".357","0","0","0","333","933",".357",".357","193","251",".769","0","0","452","231","0","0","0","194","859",1953,"16.0",".412","0",".269","0","0","0","0","0","0","0","0","0.2","4.3","4.6",".091","0","0","0","0"
"96","Ralph Polson","PF","23","TOT","49","0","810","65","179",".363","0","0","0","65","179",".363",".363","61","96",".635","0","0","211","24","0","0","0","102","191",1953,"11.0",".432","0",".536","0","0","0","0","0","0","0","0","0.3","0.5","0.8",".047","0","0","0","0"
"97","Bob Priddy","F","22","BLB","16","0","149","14","38",".368","0","0","0","14","38",".368",".368","8","14",".571","0","0","36","7","0","0","0","36","36",1953,"7.8",".408","0",".368","0","0","0","0","0","0","0","0","0.0","0.0","0.0",".006","0","0","0","0"
"98","Moe Radovich","PG","23","PHW","4","0","33","5","13",".385","0","0","0","5","13",".385",".385","4","4","1.000","0","0","1","8","0","0","0","5","14",1953,"20.0",".474","0",".308","0","0","0","0","0","0","0","0","0.1","0.0","0.1",".153","0","0","0","0"
"99","Sherwin Raiken","G","24","NYK","6","0","63","3","21",".143","0","0","0","3","21",".143",".143","3","8",".375","0","0","8","6","0","0","0","10","9",1953,"-3.2",".184","0",".381","0","0","0","0","0","0","0","0","-0.4","0.1","-0.3","-0.253","0","0","0","0"
"100","George Ratkovicz","PF","30","TOT","71","0","2235","208","619",".336","0","0","0","208","619",".336",".336","262","373",".702","0","0","522","217","0","0","0","287","678",1953,"16.1",".433","0",".603","0","0","0","0","0","0","0","0","1.7","3.8","5.4",".117","0","0","0","0"
"101","Gene Rhodes","SG","25","INO","65","0","1162","109","342",".319","0","0","0","109","342",".319",".319","119","169",".704","0","0","98","91","0","0","0","78","337",1953,"11.2",".405","0",".494","0","0","0","0","0","0","0","0","-0.1","1.0","0.9",".037","0","0","0","0"
"102","Arnie Risen*","C","28","ROC","68","0","2288","295","802",".368","0","0","0","295","802",".368",".368","294","429",".685","0","0","745","135","0","0","0","274","884",1953,"18.2",".446","0",".535","0","0","0","0","0","0","0","0","2.4","3.4","5.8",".122","0","0","0","0"
"103","Red Rocha","C","29","SYR","69","0","2454","268","690",".388","0","0","0","268","690",".388",".388","234","310",".755","0","0","510","137","0","0","0","257","770",1953,"14.4",".466","0",".449","0","0","0","0","0","0","0","0","3.3","3.2","6.5",".126","0","0","0","0"
"104","Kenny Rollins","PG","29","BOS","43","0","426","38","115",".330","0","0","0","38","115",".330",".330","22","27",".815","0","0","45","46","0","0","0","63","98",1953,"7.9",".386","0",".235","0","0","0","0","0","0","0","0","-0.2","0.3","0.1",".011","0","0","0","0"
"105","Pep Saul","SG","28","MNL","70","0","1796","187","471",".397","0","0","0","187","471",".397",".397","142","200",".710","0","0","141","110","0","0","0","174","516",1953,"11.1",".462","0",".425","0","0","0","0","0","0","0","0","2.2","2.0","4.2",".111","0","0","0","0"
"106","Fred Schaus","SF","27","FTW","69","0","2541","240","719",".334","0","0","0","240","719",".334",".334","243","296",".821","0","0","413","245","0","0","0","261","723",1953,"13.2",".426","0",".412","0","0","0","0","0","0","0","0","1.3","2.7","4.0",".076","0","0","0","0"
"107","Dolph Schayes*","PF","24","SYR","71","0","2668","375","1002",".374","0","0","0","375","1002",".374",".374","512","619",".827","0","0","920","227","0","0","0","271","1262",1953,"25.4",".495","0",".618","0","0","0","0","0","0","0","0","8.0","5.1","13.1",".236","0","0","0","0"
"108","Howie Schultz","PF","30","MNL","40","0","474","24","90",".267","0","0","0","24","90",".267",".267","43","62",".694","0","0","80","29","0","0","0","73","91",1953,"7.6",".388","0",".689","0","0","0","0","0","0","0","0","-0.1","0.7","0.6",".059","0","0","0","0"
"109","Fred Scolari","PG","30","TOT","62","0","2123","277","809",".342","0","0","0","277","809",".342",".342","276","327",".844","0","0","209","233","0","0","0","212","830",1953,"14.3",".436","0",".404","0","0","0","0","0","0","0","0","1.9","0.7","2.7",".060","0","0","0","0"
"110","George Senesky","PG","30","PHW","69","0","2336","160","485",".330","0","0","0","160","485",".330",".330","93","146",".637","0","0","254","264","0","0","0","166","413",1953,"9.0",".376","0",".301","0","0","0","0","0","0","0","0","-0.9","1.2","0.3",".006","0","0","0","0"
"111","Paul Seymour","SG","25","SYR","67","0","2684","306","798",".383","0","0","0","306","798",".383",".383","340","416",".817","0","0","246","294","0","0","0","210","952",1953,"16.0",".485","0",".521","0","0","0","0","0","0","0","0","5.8","2.9","8.7",".155","0","0","0","0"
"112","Chuck Share","C","25","FTW","67","0","1044","91","254",".358","0","0","0","91","254",".358",".358","172","234",".735","0","0","373","74","0","0","0","213","354",1953,"19.1",".496","0",".921","0","0","0","0","0","0","0","0","2.4","1.7","4.0",".186","0","0","0","0"
"113","Bill Sharman*","SG","26","BOS","71","0","2333","403","925",".436","0","0","0","403","925",".436",".436","341","401",".850","0","0","288","191","0","0","0","240","1147",1953,"19.8",".521","0",".434","0","0","0","0","0","0","0","0","8.4","1.4","9.8",".201","0","0","0","0"
"114","Connie Simmons","C","27","NYK","65","0","1707","240","637",".377","0","0","0","240","637",".377",".377","249","340",".732","0","0","458","127","0","0","0","252","729",1953,"18.9",".463","0",".534","0","0","0","0","0","0","0","0","3.0","2.7","5.7",".159","0","0","0","0"
"115","Whitey Skoog","SG","26","MNL","68","0","996","102","264",".386","0","0","0","102","264",".386",".386","46","61",".754","0","0","121","82","0","0","0","137","250",1953,"10.3",".430","0",".231","0","0","0","0","0","0","0","0","0.5","1.4","1.9",".093","0","0","0","0"
"116","Odie Spears","SF","28","ROC","62","0","1414","198","494",".401","0","0","0","198","494",".401",".401","199","243",".819","0","0","251","113","0","0","0","227","595",1953,"17.2",".495","0",".492","0","0","0","0","0","0","0","0","3.7","1.6","5.2",".177","0","0","0","0"
"117","Dick Surhoff","SF","23","NYK","26","0","187","13","61",".213","0","0","0","13","61",".213",".213","19","30",".633","0","0","25","9","0","0","0","36","45",1953,"1.5",".303","0",".492","0","0","0","0","0","0","0","0","-0.6","0.2","-0.4","-0.106","0","0","0","0"
