"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Bud Acton",1968,"77","47","11","23","195","0","0","0","29","74","0.392","9.5","0.1","-0.1","0.2","0.444","0.392"
"2","Henry Akin",1968,"112","57","14","36","259","0","0","0","46","137","0.336","6.5","-0.6","-0.7","0.1","0.372","0.226"
"3","Cliff Anderson",1968,"26","11","17","18","94","0","0","0","7","29","0.241","4.5","-0.2","-0.3","0.1","0.315","0.966"
"4","Al Attles*",1968,"654","276","390","67","1992","0","0","0","252","540","0.467","12.5","5.2","2.2","2.9","0.515","0.4"
"5","Jim Barnes",1968,"575","415","55","79","1425","0","0","0","221","499","0.443","11.7","2.4","1.1","1.3","0.493","0.383"
"6","Dick Barnett",1968,"1461","238","242","81","2488","0","0","0","559","1159","0.482","16.4","7.7","6","1.8","0.54","0.38"
"7","Jim Barnett",1968,"442","155","134","47","1068","0","0","0","179","456","0.393","11.2","0.3","-0.6","0.8","0.435","0.259"
"8","John Barnhill",1968,"744","173","259","75","1883","0","0","0","295","700","0.421","11.4","1.7","0.3","1.4","0.463","0.334"
"9","Elgin Baylor*",1968,"2002","941","355","77","3029","0","0","0","757","1709","0.443","21","8","4.9","3.2","0.505","0.363"
"10","Zelmo Beaty*",1968,"1733","959","174","82","3068","0","0","0","639","1310","0.488","19.3","11.8","8.2","3.6","0.555","0.437"
"11","Walt Bellamy*",1968,"1372","961","164","82","2695","0","0","0","511","944","0.541","19.1","11.1","7.9","3.3","0.583","0.56"
"12","Dave Bing*",1968,"2142","373","509","79","3209","0","0","0","835","1893","0.441","18.5","6.2","3.8","2.5","0.49","0.353"
"13","John Block",1968,"1048","571","71","52","1805","0","0","0","366","865","0.423","17.1","4.1","2.5","1.6","0.505","0.455"
"14","Bob Boozer",1968,"1655","756","121","77","2988","0","0","0","622","1265","0.492","18.6","10.6","7.7","2.9","0.552","0.423"
"15","Nate Bowman",1968,"114","113","20","42","272","0","0","0","52","134","0.388","11","0","-0.4","0.4","0.405","0.112"
"16","Bill Bradley*",1968,"360","113","137","45","874","0","0","0","142","341","0.416","11.7","1.1","0.2","0.8","0.465","0.305"
"17","Bill Bridges",1968,"1279","1102","253","82","3197","0","0","0","466","1009","0.462","15.6","8.6","4.5","4.2","0.523","0.48"
"18","Tyrone Britt",1968,"28","15","12","11","84","0","0","0","13","34","0.382","9.5","0","-0.1","0.1","0.396","0.088"
"19","Em Bryant",1968,"283","133","134","77","968","0","0","0","112","291","0.385","8","0.5","-0.4","0.9","0.43","0.296"
"20","Jim Burns",1968,"4","2","1","3","11","0","0","0","2","7","0.286","4.3","-0.1","-0.1","0","0.286","0"
"21","Jim Caldwell",1968,"0","1","1","2","7","0","0","0","0","1","0","0","0","0","0","0","0"
"22","Joe Caldwell",1968,"1293","338","240","79","2641","0","0","0","564","1219","0.463","13.2","3.7","1.6","2.2","0.48","0.238"
"23","George Carter",1968,"3","0","1","1","5","0","0","0","1","2","0.5","21.3","0","0","0","0.615","0.5"
