"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"178","Rodney McCray",1986,"847","520","292","82","2610","0","3","0","338","626","0.54","13.6","6.3","4.2","2.1","0.583","0.353"
"179","Xavier McDaniel",1986,"1404","655","193","82","2706","2","10","0.2","574","1166","0.492","16.3","5.1","1.8","3.3","0.525","0.31"
"180","Ben McDonald",1986,"61","38","9","21","266","0","1","0","28","57","0.491","6.7","0.2","0","0.2","0.496","0.138"
"181","Hank McDowell",1986,"65","49","6","22","204","0","1","0","24","41","0.585","10.3","0.4","0.2","0.2","0.613","0.595"
"182","Mike McGee",1986,"587","140","83","71","1213","41","114","0.36","211","430","0.491","12.4","1.9","0.7","1.2","0.513","0.118"
"183","Kevin McHale*",1986,"1448","551","181","68","2397","0","0","0","561","978","0.574","21.6","11","7.2","3.8","0.623","0.429"
"184","Kevin McKenna",1986,"174","36","23","30","430","27","75","0.36","34","91","0.374","10.9","0.7","0.1","0.6","0.485","0.181"
"185","Billy McKinney",1986,"22","5","13","9","83","0","0","0","10","23","0.435","9.9","0.1","0.1","0","0.461","0.087"
"186","Tom McMillen",1986,"326","113","35","56","863","0","3","0","131","282","0.465","10.4","1.2","0.6","0.7","0.51","0.277"
"187","Chris McNealy",1986,"171","203","41","30","627","0","0","0","70","144","0.486","13.7","1.6","0.3","1.3","0.519","0.326"
"188","Dirk Minniefield",1986,"417","131","269","76","1131","10","37","0.27","157","310","0.506","14.1","1.9","0.9","1","0.537","0.268"
"189","Mike Mitchell",1986,"1921","409","188","82","2970","0","12","0","802","1685","0.476","15.9","4.4","2.9","1.5","0.514","0.231"
"190","Paul Mokeski",1986,"143","139","30","45","521","0","0","0","59","139","0.424","7.9","0.9","0.1","0.8","0.464","0.245"
"191","Sidney Moncrief*",1986,"1471","334","357","73","2567","33","103","0.32","437","859","0.509","20","11.7","8.3","3.4","0.604","0.603"
"192","Johnny Moore",1986,"363","86","252","28","856","4","22","0.182","146","281","0.52","18.3","2.1","1.2","1","0.533","0.284"
"193","Perry Moss",1986,"304","115","108","72","1012","7","32","0.219","109","260","0.419","8.5","0.5","-0.6","1.1","0.459","0.305"
"194","Chris Mullin*",1986,"768","115","105","55","1391","5","27","0.185","282","593","0.476","16","2.9","2.3","0.6","0.539","0.34"
"195","Jay Murphy",1986,"41","15","3","14","100","0","2","0","16","43","0.372","8.4","-0.1","-0.1","0","0.401","0.311"
"196","Larry Nance",1986,"1474","618","240","73","2484","0","8","0","582","993","0.586","20.5","8.4","5.3","3.2","0.616","0.444"
"197","Calvin Natt",1986,"1218","436","164","69","2007","2","6","0.333","467","924","0.505","18.6","6.1","3.9","2.3","0.562","0.373"
"198","Chuck Nevitt",1986,"49","32","7","29","126","0","0","0","15","43","0.349","11.2","0.1","-0.1","0.2","0.45","0.605"
"199","Kurt Nimphius",1986,"896","453","62","80","2226","0","3","0","351","691","0.508","12.6","3.1","2.2","0.9","0.554","0.378"
"200","Norm Nixon",1986,"979","180","576","67","2138","42","121","0.347","361","800","0.451","15.7","2","1.7","0.3","0.493","0.176"
"201","Mike O'Koren",1986,"350","135","118","67","1031","7","27","0.259","153","309","0.495","9.9","1.2","0.4","0.9","0.496","0.116"
"202","Charles Oakley",1986,"740","664","133","77","1772","0","3","0","281","538","0.522","16.5","3.3","1.7","1.6","0.561","0.497"
"203","Hakeem Olajuwon*",1986,"1597","781","137","68","2467","0","0","0","625","1188","0.526","24.2","9.5","5.3","4.2","0.56","0.453"
"204","Mark Olberding",1986,"612","423","266","81","2157","0","2","0","225","401","0.561","11.2","3.9","2.3","1.6","0.618","0.521"
"205","Jawann Oldham",1986,"387","306","37","52","1276","0","1","0","167","322","0.519","11.9","1.3","0.2","1.1","0.533","0.282"
"206","Louis Orr",1986,"878","312","179","74","2237","0","4","0","330","737","0.448","12.4","3.7","1.5","2.3","0.509","0.375"
"207","Robert Parish*",1986,"1305","770","145","81","2567","0","0","0","530","966","0.549","18.8","9.2","4.4","4.8","0.586","0.347"
"208","Jim Paxson",1986,"981","148","278","75","1931","20","62","0.323","352","730","0.482","15.9","4.8","3.5","1.3","0.545","0.308"
"209","John Paxson",1986,"395","94","274","75","1570","15","50","0.3","138","278","0.496","10.5","2.2","2.1","0.2","0.536","0.28"
"210","Sam Perkins",1986,"1234","685","153","80","2626","11","33","0.333","447","877","0.51","17.6","7.3","5","2.3","0.573","0.414"
"211","Jim Petersen",1986,"505","396","85","82","1664","0","3","0","196","408","0.48","10.8","2.9","1.4","1.6","0.525","0.389"
"212","Michael Phelps",1986,"279","89","71","70","880","1","12","0.083","116","274","0.423","7.7","-0.1","-1","1","0.438","0.259"
