"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Zaid Abdul-Aziz",1976,"86","76","16","27","223","0","0","0","35","75","0.467","16.4","0.6","0.2","0.3","0.49","0.387"
"2","Kareem Abdul-Jabbar*",1976,"2275","1383","413","82","3379","0","0","0","914","1728","0.529","27.2","17","9.8","7.2","0.567","0.368"
"3","Alvan Adams",1976,"1519","727","450","80","2656","0","0","0","629","1341","0.469","21.7","7.2","3.3","3.9","0.507","0.265"
"4","Don Adams",1976,"174","145","73","56","704","0","0","0","67","170","0.394","9.1","0.3","-0.5","0.8","0.446","0.335"
"5","Lucius Allen",1976,"1119","214","357","76","2388","0","0","0","461","1004","0.459","15.1","3.9","2.4","1.5","0.501","0.253"
"6","Dan Anderson",1976,"227","62","85","52","614","0","0","0","88","181","0.486","13.1","1.1","0.7","0.4","0.546","0.337"
"7","Jerome Anderson",1976,"61","13","6","22","126","0","0","0","25","45","0.556","13","0.3","0.2","0.1","0.586","0.356"
"8","Tiny Archibald*",1976,"1935","213","615","78","3184","0","0","0","717","1583","0.453","20.1","8","6.7","1.3","0.521","0.395"
"9","Jim Ard",1976,"285","289","48","81","853","0","0","0","107","294","0.364","11.3","0.9","-0.4","1.3","0.422","0.34"
"10","Dennis Awtrey",1976,"359","293","159","74","1376","0","0","0","142","304","0.467","11.2","1.8","0.7","1.1","0.51","0.359"
"11","Gus Bailey",1976,"70","50","41","30","262","0","0","0","28","77","0.364","11.9","0","-0.2","0.2","0.392","0.364"
"12","Mike Bantom",1976,"576","391","105","73","1571","0","0","0","220","476","0.462","12.5","2.7","1.4","1.3","0.511","0.418"
"13","Jim Barnett",1976,"418","88","90","71","1026","0","0","0","164","371","0.442","12.5","1.5","1.2","0.4","0.496","0.307"
"14","Rick Barry*",1976,"1701","496","496","81","3122","0","0","0","707","1624","0.435","18.3","9.6","4.6","5.1","0.483","0.192"
"15","Jerry Baskerville",1976,"26","28","3","21","105","0","0","0","8","26","0.308","8","0","-0.2","0.2","0.393","0.615"
"16","Butch Beard",1976,"600","310","218","75","1704","0","0","0","228","496","0.46","14.5","3.7","1.9","1.8","0.517","0.387"
"17","Ron Behagen",1976,"760","553","139","66","1733","0","0","0","308","691","0.446","16.3","4.3","1.8","2.5","0.494","0.259"
"18","Dennis Bell",1976,"19","14","3","10","76","0","0","0","8","21","0.381","8.8","0","-0.1","0.1","0.395","0.333"
"19","Leon Benbow",1976,"543","176","158","76","1586","0","0","0","219","551","0.397","10.9","1.5","0.1","1.4","0.443","0.254"
"20","Henry Bibby",1976,"732","179","225","79","1772","0","0","0","266","622","0.428","13.5","2.9","1.6","1.4","0.5","0.404"
"21","Bob Bigelow",1976,"56","29","9","31","163","0","0","0","16","47","0.34","10","0","0","0.1","0.455","0.702"
"22","Dave Bing*",1976,"1326","237","492","82","2945","0","0","0","497","1113","0.447","16","6.3","3.4","2.9","0.511","0.379"
"23","John Block",1976,"4","2","0","2","7","0","0","0","2","4","0.5","12.9","0","0","0","0.41","0.5"
"24","Tom Boerwinkle",1976,"648","792","283","74","2045","0","0","0","265","530","0.5","17.7","6.3","3.2","3","0.533","0.334"
"25","Tom Boswell",1976,"96","71","16","35","275","0","0","0","41","93","0.441","8.8","0.2","-0.1","0.3","0.463","0.258"
"26","Freddie Boyd",1976,"177","32","80","36","617","0","0","0","74","171","0.433","9.9","0.4","-0.1","0.5","0.458","0.298"
"27","Bill Bradley*",1976,"914","234","247","82","2709","0","0","0","392","906","0.433","10.2","2.5","1","1.5","0.471","0.163"
"28","Jim Brewer",1976,"940","891","209","82","2913","0","0","0","400","874","0.458","14.9","7.9","3.4","4.5","0.485","0.245"
"29","Junior Bridgeman",1976,"700","294","157","81","1646","0","0","0","286","651","0.439","13.7","2.1","0.8","1.2","0.485","0.247"
