"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Alaa Abdelnaby",1994,"64","46","3","13","159","0","0","0","24","55","0.436","9.2","-0.1","-0.2","0.1","0.485","0.455"
"2","Mahmoud Abdul-Rauf",1994,"1437","168","362","80","2617","42","133","0.316","546","1146","0.476","16.7","6.8","4.4","2.4","0.521","0.179"
"3","Michael Adams",1994,"849","183","480","70","2337","55","191","0.288","230","507","0.454","14.2","3.1","2.9","0.2","0.52","0.387"
"4","Mark Aguirre",1994,"413","116","104","39","859","37","93","0.398","126","255","0.494","13.1","0.9","0.6","0.3","0.544","0.207"
"5","Danny Ainge",1994,"606","131","180","68","1555","80","244","0.328","144","293","0.491","11.8","2.8","1.9","1","0.524","0.175"
"6","Gary Alexander",1994,"19","15","2","11","55","0","0","0","8","14","0.571","8.6","0","-0.1","0.1","0.529","0.643"
"7","Victor Alexander",1994,"602","308","66","69","1318","2","13","0.154","264","489","0.54","14","2.3","1.1","1.1","0.539","0.257"
"8","Eric Anderson",1994,"21","17","2","11","39","2","2","1","5","15","0.333","15.2","0.1","0","0.1","0.453","0.824"
"9","Greg Anderson",1994,"491","571","51","77","1624","1","3","0.333","200","367","0.545","14.6","3.4","1.4","2","0.561","0.416"
"10","Kenny Anderson",1994,"1538","322","784","82","3135","40","132","0.303","536","1249","0.429","18.2","7.5","4.3","3.2","0.491","0.306"
"11","Nick Anderson",1994,"1277","476","294","81","2811","101","314","0.322","403","740","0.545","16.9","7.6","4.6","3","0.549","0.237"
"12","Ron Anderson",1994,"96","53","17","21","356","7","26","0.269","28","60","0.467","9.9","0.5","0.3","0.2","0.499","0.267"
"13","Willie Anderson",1994,"955","242","347","80","2488","22","68","0.324","372","769","0.484","14.2","5.6","3.2","2.3","0.523","0.204"
"14","Greg Anthony",1994,"628","189","365","80","1994","48","160","0.3","177","411","0.431","13","5.5","1.6","3.9","0.487","0.294"
"15","B.J. Armstrong",1994,"1212","170","323","82","2770","60","135","0.444","419","872","0.481","14.5","7.5","4.9","2.6","0.547","0.225"
"16","Vincent Askew",1994,"727","184","194","80","1690","6","31","0.194","267","536","0.498","15.9","6","3.9","2.1","0.551","0.372"
"17","Keith Askins",1994,"85","82","13","37","319","4","21","0.19","32","67","0.478","8.2","0.3","-0.1","0.4","0.46","0.114"
"18","Stacey Augmon",1994,"1212","394","187","82","2605","1","7","0.143","438","854","0.513","17.9","9.7","5.7","4","0.576","0.506"
"19","Isaac Austin",1994,"72","69","17","14","201","0","1","0","29","65","0.446","14.1","0.2","0","0.2","0.473","0.348"
"20","Anthony Avent",1994,"389","338","65","74","1371","0","0","0","150","398","0.377","9.2","0.4","-0.6","1","0.43","0.309"
"21","John Bagley",1994,"2","1","3","3","13","0","0","0","0","2","0","7.6","0","0","0","0.347","1"
"22","Thurl Bailey",1994,"583","215","54","79","1297","0","2","0","232","453","0.512","15.2","2.6","1.9","0.7","0.56","0.327"
