"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Zaid Abdul-Aziz",1969,"358","409","37","49","945","0","0","0","144","390","0.369","12.3","-0.3","-1.1","0.8","0.407","0.29"
"2","Rick Adelman",1969,"485","216","238","77","1448","0","0","0","177","449","0.394","11.4","2.2","0.2","2.1","0.45","0.454"
"3","Bob Allen",1969,"48","56","10","27","232","0","0","0","14","43","0.326","6.8","0.1","-0.1","0.3","0.408","0.837"
"4","Cliff Anderson",1969,"135","44","31","35","289","0","0","0","44","108","0.407","11.5","0.4","0.1","0.2","0.468","0.759"
"5","Al Attles*",1969,"419","181","306","51","1516","0","0","0","162","359","0.451","12","3.6","1.3","2.2","0.493","0.415"
"6","Harry Barnes",1969,"43","26","5","22","126","0","0","0","18","64","0.281","2.4","-0.4","-0.5","0.1","0.308","0.203"
"7","Jim Barnes",1969,"305","224","28","59","706","0","0","0","115","261","0.441","13.6","2.1","0.7","1.4","0.492","0.425"
"8","Dick Barnett",1969,"1442","251","291","82","2953","0","0","0","565","1220","0.463","14.3","7.8","5.2","2.6","0.516","0.33"
"9","Jim Barnett",1969,"1163","362","339","80","2346","0","0","0","465","1093","0.425","14.7","4.8","1.6","3.2","0.473","0.284"
"10","John Barnhill",1969,"191","53","71","30","504","0","0","0","76","175","0.434","11.4","1","0.2","0.7","0.469","0.371"
"11","Elgin Baylor*",1969,"1881","805","408","76","3064","0","0","0","730","1632","0.447","20.7","8.5","5.1","3.4","0.5","0.347"
"12","Zelmo Beaty*",1969,"1546","798","131","72","2578","0","0","0","588","1251","0.47","19.1","8.4","5.8","2.6","0.525","0.404"
"13","Walt Bellamy*",1969,"1527","1101","176","88","3159","0","0","0","563","1103","0.51","18","10.4","7.7","2.6","0.555","0.56"
"14","Ed Biedenbach",1969,"4","2","3","7","18","0","0","0","0","6","0","2.7","-0.1","-0.1","0","0.231","1"
"15","Dave Bing*",1969,"1800","382","546","77","3039","0","0","0","678","1594","0.425","17.8","4.5","3.3","1.2","0.482","0.391"
"16","John Block",1969,"1195","703","141","78","2489","0","0","0","448","1061","0.422","14.5","5.5","2","3.5","0.483","0.377"
"17","Tom Boerwinkle",1969,"781","889","178","80","2365","0","0","0","318","831","0.383","12.9","2.6","-1.7","4.3","0.42","0.267"
"18","Bob Boozer",1969,"1716","614","156","79","2872","0","0","0","661","1375","0.481","19.9","11.6","8","3.5","0.54","0.356"
"19","Nate Bowman",1969,"193","220","53","67","607","0","0","0","82","226","0.363","9.2","0","-1","1","0.382","0.27"
"20","Bill Bradley*",1969,"1020","350","302","82","2413","0","0","0","407","948","0.429","13.1","4.7","1.9","2.7","0.481","0.267"
"21","Bill Bridges",1969,"941","1132","298","80","2930","0","0","0","351","775","0.453","15.4","6.7","3","3.7","0.506","0.455"
"22","Em Bryant",1969,"459","192","176","80","1388","0","0","0","197","488","0.404","8.8","1.9","-0.5","2.4","0.431","0.205"
"23","Joe Caldwell",1969,"1281","303","320","81","2720","0","0","0","561","1106","0.507","14.5","6.7","4.7","2","0.518","0.268"
"24","Jay Carty",1969,"76","58","11","28","192","0","0","0","34","89","0.382","10.1","-0.1","-0.3","0.2","0.405","0.124"
"25","Wilt Chamberlain*",1969,"1664","1712","366","81","3669","0","0","0","641","1099","0.583","21.9","14.7","9.4","5.3","0.564","0.78"
"26","Don Chaney",1969,"80","46","19","20","209","0","0","0","36","113","0.319","6.3","-0.5","-0.9","0.4","0.328","0.177"
"27","Len Chappell",1969,"1168","637","95","80","2207","0","0","0","459","1011","0.454","16","4.7","3.1","1.6","0.503","0.335"
"28","Archie Clark",1969,"1107","265","296","82","2144","0","0","0","444","928","0.478","15.9","6.2","4","2.2","0.519","0.338"
"29","Barry Clemens",1969,"552","318","125","75","1444","0","0","0","235","628","0.374","10.9","0.1","-1.9","2","0.404","0.199"
"30","Mel Counts",1969,"958","600","109","77","1866","0","0","0","390","867","0.45","16.5","4.3","2.3","1.9","0.497","0.255"
"31","Freddie Crawford",1969,"505","215","154","81","1690","0","0","0","211","454","0.465","8.8","2.2","1","1.2","0.484","0.339"
"32","Billy Cunningham*",1969,"2034","1050","287","82","3345","0","0","0","739","1736","0.426","18.7","9","4.4","4.6","0.492","0.434"
"33","Dick Cunningham",1969,"351","438","58","77","1236","0","0","0","141","332","0.425","10.9","1.2","0.2","1","0.464","0.319"
"34","Jim Davis",1969,"684","529","97","78","1367","0","0","0","265","568","0.467","17.3","3.8","2.2","1.6","0.511","0.407"
"35","Dave DeBusschere*",1969,"1241","888","191","76","2943","0","0","0","506","1140","0.444","14.4","5.2","2.2","3","0.483","0.288"
"36","Connie Dierking",1969,"1335","739","222","82","2540","0","0","0","546","1232","0.443","16.1","3","2.5","0.5","0.486","0.259"
"37","Bill Dinwiddie",1969,"293","242","55","69","1028","0","0","0","124","352","0.352","6.4","-1.5","-1.6","0.2","0.375","0.247"
"38","Terry Dischinger",1969,"658","323","93","75","1456","0","0","0","264","513","0.515","14.1","3.8","3.3","0.5","0.556","0.347"
"39","Sonny Dove",1969,"118","62","12","29","236","0","0","0","47","100","0.47","13.6","0.4","0.3","0.1","0.509","0.36"
"40","Johnny Egan",1969,"696","147","215","82","1805","0","0","0","246","597","0.412","11.3","3.1","1.8","1.3","0.495","0.402"
"41","Joe Ellis",1969,"889","481","130","74","1731","0","0","0","371","939","0.395","13.6","1.3","-1.2","2.5","0.433","0.214"
"42","Leroy Ellis",1969,"575","510","73","80","1603","0","0","0","229","527","0.435","12.8","3.6","1","2.6","0.483","0.294"
"43","Wayne Embry*",1969,"1023","672","149","78","2355","0","0","0","382","894","0.427","13.5","3.4","1.6","1.8","0.48","0.436"
"44","Keith Erickson",1969,"648","308","194","77","1974","0","0","0","264","629","0.42","9.9","1.9","0.4","1.6","0.459","0.278"
"45","Bob Ferry",1969,"13","9","4","7","36","0","0","0","5","14","0.357","11.1","0","-0.1","0.1","0.391","0.429"
"46","Hank Finkel",1969,"129","107","21","35","332","0","0","0","49","111","0.441","13.1","0.9","0.3","0.5","0.5","0.369"
"47","Fred Foster",1969,"191","61","36","56","497","0","0","0","74","193","0.383","8.7","-0.2","-0.3","0.1","0.43","0.342"
"48","Jim Fox",1969,"827","818","166","76","2354","0","0","0","318","677","0.47","13.9","3.9","2.9","0.9","0.52","0.394"
"49","Walt Frazier*",1969,"1403","499","635","80","2949","0","0","0","531","1052","0.505","20.2","12.7","8.3","4.4","0.56","0.434"
"50","Pat Frink",1969,"123","41","55","48","363","0","0","0","50","147","0.34","7.9","-0.5","-0.5","0.1","0.385","0.197"
"51","Dave Gambee",1969,"579","257","47","59","926","0","0","0","210","465","0.452","17.9","2.7","2.2","0.6","0.526","0.419"
"52","Gail Goodrich*",1969,"1931","437","518","81","3236","0","0","0","718","1746","0.411","16.9","3.6","2.6","1","0.474","0.38"
"53","Mal Graham",1969,"37","24","14","22","103","0","0","0","13","55","0.236","4.6","-0.3","-0.5","0.2","0.302","0.255"
"54","Johnny Green",1969,"349","330","47","74","795","0","0","0","146","282","0.518","16.2","2.4","1.2","1.2","0.518","0.443"
"55","Hal Greer*",1969,"1896","435","414","82","3311","0","0","0","732","1595","0.459","16.9","9.9","6.5","3.4","0.517","0.34"
"56","Gary Gregor",1969,"885","711","96","80","2182","0","0","0","400","963","0.415","11.6","-0.4","-1.1","0.7","0.434","0.136"
"57","Richie Guerin*",1969,"151","59","99","27","472","0","0","0","47","111","0.423","13.5","1.2","0.7","0.5","0.526","0.667"
"58","Matt Guokas",1969,"238","94","104","72","838","0","0","0","92","216","0.426","8.6","1.2","0.4","0.8","0.473","0.375"
"59","Al Hairston",1969,"84","36","38","39","274","0","0","0","38","114","0.333","6.6","-0.5","-0.6","0.1","0.35","0.123"
"60","Happy Hairston",1969,"1464","959","109","81","2889","0","0","0","530","1131","0.469","17.2","7","5.8","1.2","0.533","0.489"
"61","Shaler Halimon",1969,"186","86","18","50","350","0","0","0","88","196","0.449","13.2","0.3","-0.1","0.4","0.443","0.163"
"62","Dennis Hamilton",1969,"76","29","8","25","141","0","0","0","37","67","0.552","16.1","0.5","0.4","0.1","0.549","0.075"
"63","Skip Harlicka",1969,"106","16","37","26","218","0","0","0","41","90","0.456","14.8","0.5","0.4","0.2","0.511","0.344"
"64","Art Harris",1969,"993","301","258","80","2556","0","0","0","416","1054","0.395","9","-0.4","-1.6","1.2","0.426","0.238"
"65","Clem Haskins",1969,"1356","359","306","79","2874","0","0","0","537","1275","0.421","14.4","5.3","1.9","3.4","0.473","0.283"
"66","John Havlicek*",1969,"1771","570","441","82","3174","0","0","0","692","1709","0.405","17","7.3","1","6.3","0.459","0.29"
"67","Tom Hawkins",1969,"522","266","81","74","1507","0","0","0","230","461","0.499","10.1","2.3","1.2","1.1","0.495","0.328"
"68","Elvin Hayes*",1969,"2327","1406","113","82","3695","0","0","0","930","2082","0.447","18.9","9.6","3.6","6","0.483","0.358"
"69","Walt Hazzard",1969,"898","266","474","80","2420","0","0","0","345","869","0.397","12.6","2.5","0.3","2.2","0.45","0.338"
"70","Fred Hetzel",1969,"1211","613","112","84","2276","0","0","0","456","1047","0.436","15.6","4.5","3.2","1.3","0.503","0.341"
"71","Bill Hewitt",1969,"539","332","76","75","1455","0","0","0","239","528","0.453","11.2","1.7","0.5","1.2","0.469","0.201"
"72","Bill Hosket",1969,"130","94","19","50","351","0","0","0","53","123","0.431","9.9","0.5","0","0.5","0.459","0.341"
"73","Bailey Howell*",1969,"1537","685","137","78","2527","0","0","0","612","1257","0.487","19.4","11.3","6.4","4.9","0.532","0.339"
"74","Lou Hudson",1969,"1770","533","216","81","2869","0","0","0","716","1455","0.492","18.7","10.1","7.8","2.3","0.538","0.299"
"75","Darrall Imhoff",1969,"752","792","218","82","2360","0","0","0","279","593","0.47","13.2","5.9","2.4","3.4","0.511","0.548"
"76","Luke Jackson",1969,"359","286","54","25","840","0","0","0","145","332","0.437","14.2","1.7","0.5","1.2","0.479","0.292"
"77","Phil Jackson*",1969,"332","246","43","47","924","0","0","0","126","294","0.429","10.6","1.7","0.5","1.2","0.479","0.405"
"78","Gus Johnson*",1969,"878","568","97","49","1671","0","0","0","359","782","0.459","17.5","5.1","2.2","3","0.499","0.285"
"79","Neil Johnson",1969,"464","396","134","80","1319","0","0","0","177","368","0.481","13.1","2.2","1.7","0.5","0.52","0.481"
"80","Rich Johnson",1969,"69","52","7","31","163","0","0","0","29","76","0.382","9","0.1","-0.3","0.3","0.401","0.303"
"81","Sam Jones*",1969,"1140","265","182","70","1820","0","0","0","496","1103","0.45","17.6","4.9","1.9","3","0.481","0.171"
"82","Wali Jones",1969,"1071","251","292","81","2340","0","0","0","432","1005","0.43","12.5","4","1.8","2.3","0.479","0.255"
"83","Bob Kauffman",1969,"641","484","83","82","1660","0","0","0","219","496","0.442","12.5","3.1","2.1","1","0.514","0.583"
"84","Joe Kennedy",1969,"446","241","60","72","1241","0","0","0","174","441","0.395","9.1","0.5","-0.1","0.6","0.45","0.281"
