"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Zaid Abdul-Aziz",1971,"665","468","42","61","1276","0","0","0","263","597","0.441","16.1","1.8","1","0.8","0.489","0.315"
"2","Kareem Abdul-Jabbar*",1971,"2596","1311","272","82","3288","0","0","0","1063","1843","0.577","29","22.3","17","5.3","0.606","0.37"
"3","Don Adams",1971,"937","581","173","82","2374","0","0","0","391","957","0.409","10.8","2.9","-0.9","3.8","0.446","0.222"
"4","Rick Adelman",1971,"1023","282","380","81","2303","0","0","0","378","895","0.422","13.4","3.4","1.5","1.9","0.484","0.412"
"5","Lucius Allen",1971,"433","152","161","61","1162","0","0","0","178","398","0.447","12.2","1.9","0.7","1.2","0.485","0.276"
"6","Cliff Anderson",1971,"86","48","20","28","198","0","0","0","20","65","0.308","12.8","0.1","0","0.1","0.455","1.031"
"7","Tiny Archibald*",1971,"1308","242","450","82","2867","0","0","0","486","1095","0.444","14","5.1","3.4","1.7","0.507","0.405"
"8","Bob Arnzen",1971,"301","152","24","55","594","0","0","0","128","277","0.462","14.5","1","0.6","0.4","0.502","0.188"
"9","Al Attles*",1971,"68","40","58","34","321","0","0","0","22","54","0.407","8.6","0.4","0.1","0.3","0.472","0.759"
"10","Dennis Awtrey",1971,"504","430","89","70","1292","0","0","0","200","421","0.475","13.5","3.1","1.4","1.7","0.514","0.373"
"11","Jim Barnes",1971,"37","16","8","11","100","0","0","0","15","28","0.536","10.5","0.3","0.2","0.1","0.563","0.393"
"12","Dick Barnett",1971,"1273","238","225","82","2843","0","0","0","540","1184","0.456","12.3","5.5","2","3.5","0.487","0.235"
"13","Jim Barnett",1971,"1444","376","323","78","2371","0","0","0","559","1283","0.436","17","4.7","2.7","2","0.495","0.313"
"14","Moe Barr",1971,"61","20","28","31","145","0","0","0","25","62","0.403","11.9","0.1","0","0.1","0.45","0.21"
"15","Johnny Baum",1971,"286","125","31","62","543","0","0","0","123","293","0.42","13.4","0.4","-0.3","0.7","0.449","0.198"
"16","Elgin Baylor*",1971,"20","11","2","2","57","0","0","0","8","19","0.421","9","0","0","0","0.462","0.316"
