"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Zaid Abdul-Aziz",1977,"83","90","7","22","195","0","0","0","25","74","0.338","16.3","0.3","0.1","0.2","0.447","0.581"
"2","Kareem Abdul-Jabbar*",1977,"2152","1090","319","82","3016","0","0","0","888","1533","0.579","27.8","17.8","11.9","5.9","0.608","0.35"
"3","Tom Abernethy",1977,"439","291","98","70","1378","0","0","0","169","349","0.484","12.7","3.1","1.8","1.3","0.538","0.384"
"4","Alvan Adams",1977,"1296","652","322","72","2278","0","0","0","522","1102","0.474","20.2","6.3","2.3","4","0.519","0.303"
"5","Don Adams",1977,"561","371","150","77","1710","0","0","0","216","526","0.411","11.7","1.6","0.2","1.4","0.466","0.329"
"6","Lucius Allen",1977,"1139","251","405","78","2482","0","0","0","472","1035","0.456","15.6","4.9","2.8","2.1","0.497","0.243"
"7","Jerome Anderson",1977,"66","12","10","27","164","0","0","0","26","59","0.441","10.1","0.1","0.1","0","0.487","0.339"
"8","Tiny Archibald*",1977,"697","80","254","34","1277","0","0","0","250","560","0.446","19.4","2.8","1.8","1","0.52","0.448"
"9","Jim Ard",1977,"241","296","53","63","969","0","0","0","96","254","0.378","9.1","0.8","-0.6","1.4","0.419","0.299"
"10","Bird Averitt",1977,"589","78","134","75","1136","0","0","0","234","619","0.378","11.2","-1.1","-1.4","0.3","0.425","0.273"
"11","Dennis Awtrey",1977,"411","356","182","72","1760","0","0","0","160","373","0.429","9.6","2.1","0.3","1.8","0.48","0.338"
"12","Mike Bantom",1977,"946","471","102","77","1909","0","0","0","361","755","0.478","16.8","4.8","2.6","2.2","0.531","0.411"
"13","Tom Barker",1977,"476","401","60","59","1354","0","0","0","182","436","0.417","11.5","1","-0.4","1.4","0.468","0.376"
"14","Marvin Barnes",1977,"510","253","45","53","989","0","0","0","202","452","0.447","15","1.3","0.3","1","0.49","0.345"
"15","Jim Barnett",1977,"66","14","23","16","231","0","0","0","28","64","0.438","7.4","0.1","0","0.1","0.459","0.281"
"16","Norton Barnhill",1977,"4","3","1","4","10","0","0","0","2","6","0.333","4.7","0","0","0","0.333","0"
"17","Mike Barr",1977,"285","130","175","73","1224","0","0","0","122","279","0.437","10.3","1.4","0.4","1","0.469","0.204"
"18","Rick Barry*",1977,"1723","422","475","79","2904","0","0","0","682","1551","0.44","19.3","8.4","5.1","3.3","0.5","0.253"
"19","Tim Bassett",1977,"687","641","109","76","2442","0","0","0","293","739","0.396","10.5","1.5","-1.9","3.4","0.421","0.24"
"20","Butch Beard",1977,"371","163","144","70","1082","0","0","0","148","293","0.505","13.4","2","0.9","1","0.544","0.372"
"21","Byron Beck",1977,"250","96","33","53","480","0","0","0","107","246","0.435","13.2","0.8","0.3","0.5","0.471","0.179"
"22","Ron Behagen",1977,"516","431","83","60","1170","0","0","0","213","509","0.418","15.1","1.8","0","1.8","0.457","0.248"
"23","Mel Bennett",1977,"314","237","70","67","911","0","0","0","101","294","0.344","11.5","0.1","-0.7","0.8","0.417","0.636"
"24","Henry Bibby",1977,"825","273","356","81","2639","0","0","0","302","702","0.43","11.5","4.1","1.8","2.3","0.499","0.402"
"25","Bob Bigelow",1977,"85","27","8","29","162","0","0","0","35","70","0.5","14.7","0.4","0.3","0.1","0.549","0.243"
"26","Dave Bing*",1977,"678","143","275","64","1516","0","0","0","271","597","0.454","15.3","2.9","1.6","1.3","0.503","0.295"
"27","Tom Boerwinkle",1977,"302","312","189","82","1070","0","0","0","134","273","0.491","14.7","2.3","0.8","1.5","0.502","0.231"
"28","Ron Boone",1977,"1818","321","338","82","3021","0","0","0","747","1577","0.474","17.5","8.1","6.1","2","0.521","0.244"
"29","Tom Boswell",1977,"446","306","85","70","1083","0","0","0","175","340","0.515","13.6","2.4","1","1.4","0.558","0.397"
"30","Freddie Boyd",1977,"467","90","147","47","1212","0","0","0","194","406","0.478","12.6","2.1","1.3","0.8","0.52","0.241"
"31","Bill Bradley*",1977,"288","103","128","67","1027","0","0","0","127","274","0.464","9.5","0.8","0.3","0.5","0.492","0.153"
"32","Jim Brewer",1977,"689","762","195","81","2672","0","0","0","296","657","0.451","12.7","5.8","2","3.9","0.469","0.271"
"33","Junior Bridgeman",1977,"1179","416","205","82","2410","0","0","0","491","1094","0.449","14.4","3.6","2.5","1.1","0.494","0.208"
"34","Allan Bristow",1977,"936","348","240","82","2017","0","0","0","365","747","0.489","15.4","4.3","3.2","1.1","0.544","0.345"
"35","Gary Brokaw",1977,"647","123","228","80","1487","0","0","0","242","564","0.429","13.5","1.6","1","0.6","0.49","0.388"
"36","Fred Brown",1977,"1236","232","176","72","2098","0","0","0","534","1114","0.479","17.4","6.1","3.9","2.2","0.516","0.171"
"37","John Brown",1977,"441","236","103","77","1405","0","0","0","160","350","0.457","10.5","1.7","0.8","0.9","0.53","0.429"
"38","Roger Brown",1977,"60","90","12","43","322","0","0","0","21","56","0.375","8.7","0.2","-0.2","0.4","0.445","0.464"
"39","Joe Bryant",1977,"267","117","48","61","612","0","0","0","107","240","0.446","14.1","1.2","0.3","0.8","0.493","0.292"
"40","Quinn Buckner",1977,"681","264","372","79","2095","0","0","0","299","689","0.434","13.5","1.5","-0.5","2","0.45","0.224"
"41","Ticky Burden",1977,"347","66","62","61","608","0","0","0","148","352","0.42","14.6","0","-0.7","0.7","0.446","0.241"
"42","Tom Burleson",1977,"796","551","93","82","1803","0","0","0","288","652","0.442","16.3","4.4","1.4","3","0.507","0.462"
"43","Don Buse",1977,"646","270","685","81","2947","0","0","0","266","639","0.416","14.1","4.7","1.5","3.1","0.46","0.227"
"44","Corky Calhoun",1977,"236","144","35","70","743","0","0","0","85","183","0.464","10","1.3","0.5","0.8","0.535","0.464"
"45","Mack Calvin",1977,"727","96","240","76","1438","0","0","0","220","544","0.404","15.5","2.8","1.9","0.9","0.525","0.621"
"46","Austin Carr",1977,"1329","240","220","82","2409","0","0","0","558","1221","0.457","15.3","5.3","3.9","1.4","0.496","0.219"
"47","M.L. Carr",1977,"1091","631","181","82","2643","0","0","0","443","931","0.476","15.2","5.9","2.9","3","0.518","0.3"
"48","Fred Carter",1977,"486","117","125","61","1112","0","0","0","209","500","0.418","11.7","0.4","0.1","0.4","0.448","0.192"
"49","Cornelius Cash",1977,"21","16","1","6","49","0","0","0","9","23","0.391","12","0","-0.1","0","0.41","0.261"
"50","Harvey Catchings",1977,"157","234","30","53","864","0","0","0","62","123","0.504","10","1.7","0.2","1.5","0.546","0.382"
"51","Don Chaney",1977,"496","330","308","81","2408","0","0","0","213","522","0.408","10.2","2.9","0.4","2.6","0.44","0.18"
"52","Ken Charles",1977,"913","168","295","82","2487","0","0","0","354","855","0.414","12","2.3","0.5","1.8","0.472","0.299"
"53","Phil Chenier",1977,"1578","299","294","78","2842","0","0","0","654","1472","0.444","15.8","5.8","2.9","2.9","0.489","0.218"
"54","Jim Chones",1977,"1055","688","104","82","2378","0","0","0","450","972","0.463","14.8","5.9","2.9","3","0.495","0.218"
"55","Jim Cleamons",1977,"626","273","308","60","2045","0","0","0","257","592","0.434","12.9","3.8","2","1.8","0.476","0.25"
"56","E.C. Coleman",1977,"662","548","103","77","2369","0","0","0","290","628","0.462","9.6","3.2","0.7","2.6","0.489","0.178"
"57","Doug Collins",1977,"1062","195","271","58","2037","0","0","0","426","823","0.518","16.7","6.2","4.6","1.6","0.569","0.304"
"58","Norm Cook",1977,"63","27","5","25","138","0","0","0","27","72","0.375","10.3","-0.1","-0.3","0.2","0.396","0.236"
"59","Dave Cowens*",1977,"818","697","248","50","1888","0","0","0","328","756","0.434","16.8","4.4","1.1","3.3","0.485","0.262"
"60","Mike D'Antoni",1977,"3","2","2","2","9","0","0","0","1","3","0.333","7.2","0","0","0","0.387","0.667"
"61","Louie Dampier*",1977,"530","76","234","80","1634","0","0","0","233","507","0.46","10.4","1.2","1","0.2","0.486","0.17"
"62","Bob Dandridge",1977,"1453","440","268","70","2501","0","0","0","585","1253","0.467","17.5","5.4","4.2","1.2","0.514","0.293"
"63","Mel Daniels*",1977,"39","34","6","11","126","0","0","0","13","35","0.371","10.7","0","-0.2","0.2","0.432","0.657"
"64","Adrian Dantley*",1977,"1564","587","144","77","2816","0","0","0","544","1046","0.52","18.3","9.8","8.2","1.6","0.601","0.556"
"65","Dwight Davis",1977,"159","95","29","33","552","0","0","0","55","124","0.444","8.6","0.6","0.2","0.4","0.511","0.581"
"66","Johnny Davis",1977,"634","126","148","79","1451","0","0","0","234","531","0.441","12.8","2.5","1.7","0.9","0.509","0.394"
"67","Mel Davis",1977,"400","293","71","56","1094","0","0","0","168","464","0.362","10.7","-0.4","-1.5","1.2","0.397","0.196"
"68","Mickey Davis",1977,"81","29","20","19","165","0","0","0","29","68","0.426","16.8","0.4","0.3","0.1","0.513","0.368"
"69","Ron Davis",1977,"20","7","2","7","67","0","0","0","8","35","0.229","2.1","-0.4","-0.4","0.1","0.246","0.371"
"70","Darryl Dawkins",1977,"310","230","24","59","684","0","0","0","135","215","0.628","16.5","2.1","0.9","1.2","0.621","0.367"
"71","Randy Denton",1977,"239","218","33","45","700","0","0","0","103","256","0.402","11.2","0.4","-0.2","0.6","0.432","0.184"
"72","Henry Dickerson",1977,"17","2","11","6","63","0","0","0","6","12","0.5","8.5","0","0","0","0.548","0.667"
"73","Derrek Dickey",1977,"361","240","63","49","856","0","0","0","158","345","0.458","14","1.7","0.9","0.8","0.485","0.177"
"74","Coby Dietrick",1977,"689","372","148","82","1772","0","0","0","285","620","0.46","12.8","2.3","0.7","1.6","0.497","0.268"
"75","Ernie DiGregorio",1977,"868","184","378","81","2267","0","0","0","365","875","0.417","12.1","1.3","0.7","0.5","0.462","0.167"
"76","Leon Douglas",1977,"617","526","68","82","1626","0","0","0","245","512","0.479","13.3","2.1","0.3","1.8","0.503","0.447"
"77","John Drew",1977,"1790","675","133","74","2688","0","0","0","689","1416","0.487","20.2","7.9","5.7","2.2","0.536","0.407"
"78","Charles Dudley",1977,"569","296","347","79","1682","0","0","0","220","421","0.523","15.7","4","2.7","1.3","0.557","0.482"
"79","Mike Dunleavy",1977,"154","34","56","32","359","0","0","0","60","145","0.414","11.9","0.2","-0.1","0.3","0.467","0.31"
"80","Jim Eakins",1977,"490","361","119","82","1338","0","0","0","151","336","0.449","14.6","3.6","2.1","1.5","0.565","0.661"
"81","Al Eberhard",1977,"471","221","50","68","1219","0","0","0","181","380","0.476","11.5","1.8","1","0.8","0.534","0.363"
"82","Len Elmore",1977,"18","15","2","6","46","0","0","0","7","17","0.412","12.8","0","0","0","0.469","0.294"
"83","Darrell Elston",1977,"5","6","2","5","40","0","0","0","2","14","0.143","-1.6","-0.2","-0.2","0","0.168","0.143"
