"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Zaid Abdul-Aziz",1974,"865","923","166","79","2459","0","0","0","336","732","0.459","15.9","6.5","3.3","3.2","0.516","0.328"
"2","Kareem Abdul-Jabbar*",1974,"2191","1178","386","81","3548","0","0","0","948","1759","0.539","24.4","18.4","10.6","7.9","0.564","0.239"
"3","Don Adams",1974,"759","448","141","74","2298","0","0","0","303","742","0.408","10.9","3.6","0.1","3.5","0.457","0.271"
"4","Rick Adelman",1974,"182","69","56","55","618","0","0","0","64","170","0.376","10","0.7","-0.3","0.9","0.447","0.447"
"5","Lucius Allen",1974,"1268","291","374","72","2388","0","0","0","526","1062","0.495","18.8","8.2","4.7","3.4","0.536","0.258"
"6","Tiny Archibald*",1974,"617","85","266","35","1272","0","0","0","222","492","0.451","18.3","2.3","1.8","0.5","0.527","0.429"
"7","Dennis Awtrey",1974,"184","174","86","68","756","0","0","0","65","123","0.528","11.4","1.4","0.2","1.2","0.56","0.764"
"8","Mike Bantom",1974,"769","519","163","76","1982","0","0","0","314","787","0.399","11.7","0.5","-0.8","1.3","0.437","0.271"
"9","Dick Barnett",1974,"22","4","6","5","58","0","0","0","10","26","0.385","9.4","0","0","0","0.403","0.115"
"10","Jim Barnett",1974,"884","222","209","77","1689","0","0","0","350","755","0.464","16.4","4.1","3.2","1","0.517","0.299"
"11","Rick Barry*",1974,"2009","540","484","80","2918","0","0","0","796","1746","0.456","22.4","10.4","7.1","3.4","0.515","0.266"
"12","Butch Beard",1974,"805","389","300","79","2134","0","0","0","316","617","0.512","15.5","5.6","3.7","1.9","0.559","0.379"
"13","Ron Behagen",1974,"876","567","134","80","2059","0","0","0","357","827","0.432","13.9","2","0.2","1.8","0.476","0.256"
"14","Dennis Bell",1974,"0","0","0","1","4","0","0","0","0","1","0","-6.8","0","0","0","0","0"
"15","Walt Bellamy*",1974,"1011","740","189","77","2440","0","0","0","389","801","0.486","15.2","5.4","3.2","2.2","0.521","0.478"
"16","Henry Bibby",1974,"493","133","91","66","986","0","0","0","210","465","0.452","15.7","2.3","0.7","1.6","0.489","0.189"
"17","Dave Bing*",1974,"1520","281","555","81","3124","0","0","0","582","1336","0.436","16.4","7.3","4.1","3.2","0.497","0.328"
"18","John Block",1974,"714","389","94","82","1777","0","0","0","275","634","0.434","13.2","2.3","0.8","1.5","0.493","0.325"
"19","Tom Boerwinkle",1974,"158","213","94","46","602","0","0","0","58","119","0.487","15.4","1.7","0.5","1.2","0.543","0.504"
"20","Freddie Boyd",1974,"713","93","249","75","1818","0","0","0","286","712","0.402","10.9","-0.2","-0.9","0.7","0.447","0.274"
"21","Steve Bracey",1974,"551","146","231","75","1463","0","0","0","241","520","0.463","12.5","1.5","0.6","0.9","0.49","0.185"
"22","Bill Bradley*",1974,"1150","253","242","82","2813","0","0","0","502","1112","0.451","11.1","4.2","1.6","2.6","0.485","0.15"
