"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Alex Acker",2009,"72","24","12","25","199","7","20","0.35","23","56","0.411","10.4","0","-0.1","0.1","0.448","0.132"
"2","Hassan Adams",2009,"11","7","1","12","52","0","0","0","4","13","0.308","0.4","-0.2","-0.2","0","0.352","0.462"
"3","Arron Afflalo",2009,"363","134","44","74","1234","43","107","0.402","88","193","0.456","8.9","1.8","0.8","1","0.548","0.237"
"4","Maurice Ager",2009,"34","10","3","20","97","0","6","0","15","37","0.405","2.2","-0.3","-0.3","0","0.365","0.186"
"5","Blake Ahearn",2009,"8","1","2","3","19","2","4","0.5","0","2","0","12.9","0.1","0","0","0.581","0.333"
"6","Alexis Ajinça",2009,"70","30","3","31","182","0","2","0","25","67","0.373","7","-0.1","-0.3","0.3","0.43","0.406"
"7","LaMarcus Aldridge",2009,"1470","605","157","81","3004","7","28","0.25","594","1215","0.489","19.1","9.5","6.1","3.3","0.529","0.269"
"8","Joe Alexander",2009,"278","115","42","59","716","16","46","0.348","86","199","0.432","10.1","0.4","-0.3","0.7","0.494","0.339"
"9","Malik Allen",2009,"156","103","35","49","579","0","1","0","73","169","0.432","7.3","0.3","-0.2","0.5","0.435","0.124"
"10","Ray Allen*",2009,"1434","278","218","79","2876","199","486","0.409","300","554","0.542","17.3","11.1","7.4","3.7","0.624","0.239"
"11","Tony Allen",2009,"359","104","66","46","887","6","27","0.222","131","257","0.51","12.9","1.6","-0.2","1.8","0.541","0.384"
"12","Morris Almond",2009,"92","36","7","25","255","5","17","0.294","28","64","0.438","7.3","0.1","-0.1","0.2","0.498","0.321"
"13","Rafer Alston",2009,"900","227","406","77","2447","112","331","0.338","204","489","0.417","13.8","5.3","1.7","3.7","0.494","0.254"
"14","Lou Amundson",2009,"321","270","28","76","1044","0","1","0","134","249","0.538","13.3","1.8","0.8","1","0.53","0.48"
"15","Chris Andersen",2009,"452","442","31","71","1460","2","10","0.2","158","282","0.56","18.1","5.4","2.5","2.8","0.608","0.62"
"16","Ryan Anderson",2009,"487","311","52","66","1312","69","189","0.365","91","218","0.417","13.6","2.5","1.3","1.2","0.532","0.285"
"17","Carmelo Anthony",2009,"1504","450","222","66","2277","63","170","0.371","472","1037","0.455","19","5","2.4","2.6","0.532","0.388"
"18","Joel Anthony",2009,"144","197","27","65","1048","0","0","0","57","118","0.483","9.3","1.7","0.4","1.4","0.521","0.39"
"19","Gilbert Arenas",2009,"26","9","20","2","63","2","7","0.286","4","16","0.25","18.9","0.2","0.2","0","0.433","0.696"
"20","Trevor Ariza",2009,"729","352","145","82","1999","61","191","0.319","213","405","0.526","15.5","6.1","2.5","3.5","0.544","0.284"
"21","Hilton Armstrong",2009,"338","195","29","70","1092","0","2","0","138","244","0.566","10.7","1.5","0.2","1.3","0.585","0.398"
"22","Darrell Arthur",2009,"422","346","43","76","1464","0","2","0","191","434","0.44","11.3","1.7","-0.1","1.8","0.456","0.138"
"23","Chucky Atkins",2009,"98","24","59","33","412","15","57","0.263","19","56","0.339","6.2","-0.2","-0.3","0.2","0.408","0.142"
"24","D.J. Augustin",2009,"850","133","250","72","1908","108","246","0.439","159","375","0.424","14.9","5.1","3.6","1.5","0.587","0.375"
"25","Kelenna Azubuike",2009,"1063","370","117","74","2375","94","210","0.448","298","635","0.469","14.7","4.1","3.6","0.5","0.562","0.271"
"26","Renaldo Balkman",2009,"264","203","34","53","780","2","7","0.286","108","190","0.568","16.8","2.6","1.3","1.3","0.585","0.33"
"27","Marcus Banks",2009,"56","18","28","22","206","3","19","0.158","18","38","0.474","7.8","0","-0.3","0.2","0.431","0.316"
"28","Leandro Barbosa",2009,"993","181","162","70","1705","90","240","0.375","276","519","0.532","19.4","5","4","1","0.588","0.256"
