"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Jim Baechtold",1953,"661","219","154","64","1893","0","0","0","242","621","0.39","12.9","2.6","2.3","0.4","0.455","0.386"
"2","Don Barksdale*",1953,"899","597","166","65","2298","0","0","0","321","829","0.387","16.7","3.1","2.5","0.6","0.447","0.484"
"3","Leo Barnhorst",1953,"967","483","277","71","2871","0","0","0","402","1034","0.389","16","4.6","1.1","3.5","0.421","0.25"
"4","Nelson Bobb",1953,"343","157","192","55","1286","0","0","0","119","318","0.374","13.5","2","1.2","0.8","0.441","0.509"
"5","Vince Boryla",1953,"673","233","166","66","2200","0","0","0","254","686","0.37","11.2","3.6","1.4","2.2","0.435","0.293"
"6","Don Boven",1953,"451","217","79","67","1373","0","0","0","153","427","0.358","11.3","2.2","0.9","1.3","0.435","0.489"
"7","Bob Brannum",1953,"486","537","147","71","1900","0","0","0","188","541","0.348","11.7","0.8","-0.8","1.7","0.39","0.342"
"8","Jim Brasco",1953,"77","24","21","20","248","0","0","0","25","94","0.266","7.6","-0.2","-0.5","0.3","0.353","0.362"
"9","Carl Braun*",1953,"977","233","243","70","2316","0","0","0","323","807","0.4","17.5","9","6.5","2.5","0.497","0.497"
"10","Frankie Brian",1953,"726","133","142","68","1910","0","0","0","245","699","0.351","12.2","3","1.6","1.4","0.438","0.425"
"11","Dick Bunt",1953,"92","28","17","26","271","0","0","0","29","105","0.276","6.6","-0.3","-0.4","0.2","0.365","0.457"
"12","Bill Calhoun",1953,"571","277","156","62","2148","0","0","0","180","534","0.337","12.4","3.9","1.2","2.7","0.431","0.547"
"13","Al Cervi*",1953,"143","22","28","38","301","0","0","0","31","71","0.437","18.3","2.1","1.8","0.3","0.622","1.408"
"14","Cal Christensen",1953,"212","199","54","59","777","0","0","0","72","230","0.313","9.8","0.4","-0.6","1","0.378","0.496"
"15","Nat Clifton*",1953,"744","761","231","70","2496","0","0","0","272","794","0.343","15.4","3.3","-1.1","4.4","0.394","0.432"
"16","Jack Coleman",1953,"763","774","231","70","2625","0","0","0","314","748","0.42","17.2","6.7","2.8","3.9","0.454","0.278"
"17","Gene Conley",1953,"88","171","19","39","461","0","0","0","35","108","0.324","10.4","0","-0.4","0.4","0.362","0.287"
"18","Chuck Cooper*",1953,"458","439","112","70","1994","0","0","0","157","466","0.337","10.1","1.7","0.3","1.4","0.417","0.408"
"19","Ray Corley",1953,"11","5","5","8","65","0","0","0","3","24","0.125","-6.9","-0.4","-0.4","0","0.206","0.25"
"20","Bob Cousy*",1953,"1407","449","547","71","2945","0","0","0","464","1320","0.352","21.7","7.2","4.7","2.5","0.446","0.445"
"21","Dillard Crocker",1953,"330","104","63","61","776","0","0","0","100","284","0.352","13.2","2.2","1.1","1","0.449","0.665"
"22","Pete Darcey",1953,"11","10","2","12","90","0","0","0","3","18","0.167","-5.7","-0.2","-0.3","0.1","0.25","0.5"
"23","Bob Davies*",1953,"1029","195","280","66","2216","0","0","0","339","880","0.385","18.1","7.4","5.2","2.2","0.474","0.53"
"24","Blaine Denning",1953,"5","4","0","1","9","0","0","0","2","5","0.4","18.9","0","0","0","0.46","0.2"
"25","Bob Donham",1953,"451","239","153","71","1435","0","0","0","169","353","0.479","14.4","3.8","2.8","1","0.492","0.68"
"26","Dike Eddleman",1953,"615","236","104","69","1571","0","0","0","241","687","0.351","10.8","-0.1","-1.6","1.5","0.389","0.345"
"27","George Feigenbaum",1953,"16","7","9","5","79","0","0","0","4","22","0.182","2.2","-0.2","-0.3","0.1","0.28","0.682"
