"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Kareem Abdul-Jabbar*",1985,"1735","622","249","79","2630","0","1","0","723","1206","0.6","22.9","11.2","7.6","3.6","0.628","0.327"
"2","Alvan Adams",1985,"1202","500","308","82","2136","0","0","0","476","915","0.52","19.8","6.8","3.5","3.3","0.578","0.309"
"3","Mark Aguirre",1985,"2055","477","249","80","2699","27","85","0.318","767","1484","0.517","21.3","7.2","5.3","1.9","0.563","0.37"
"4","Danny Ainge",1985,"971","268","399","75","2564","15","56","0.268","404","736","0.549","14.2","6.6","3.9","2.8","0.57","0.172"
"5","Chuck Aleksinas",1985,"377","270","36","74","1114","0","1","0","161","336","0.479","9.1","0.4","0.1","0.4","0.509","0.223"
"6","J.J. Anderson",1985,"149","82","21","44","457","0","2","0","61","147","0.415","8.2","0.2","-0.6","0.8","0.441","0.302"
"7","Ron Anderson",1985,"210","88","34","36","520","1","2","0.5","83","193","0.43","10.7","0.3","0","0.3","0.484","0.256"
"8","John Bagley",1985,"804","291","697","81","2401","3","26","0.115","335","667","0.502","16","4.6","2.3","2.3","0.524","0.241"
"9","James Bailey",1985,"385","344","39","74","1297","0","1","0","156","348","0.448","7.9","0.6","-0.8","1.4","0.485","0.309"
"10","Thurl Bailey",1985,"1212","525","138","80","2481","1","1","1","506","1033","0.49","14.7","5.4","1.6","3.8","0.533","0.226"
"11","Greg Ballard",1985,"1072","531","208","82","2664","14","46","0.304","455","932","0.488","14.3","6","2.1","3.9","0.513","0.154"
"12","Gene Banks",1985,"778","445","234","82","2091","1","3","0.333","288","490","0.588","14.5","5.6","3.9","1.8","0.642","0.521"
"13","Ken Bannister",1985,"509","330","39","75","1404","0","0","0","209","445","0.47","7.3","-0.8","-2.2","1.4","0.481","0.431"
"14","Charles Barkley*",1985,"1148","703","155","82","2347","1","6","0.167","426","777","0.548","18.3","7.5","4.2","3.3","0.599","0.511"
"15","Kent Benson",1985,"478","324","93","72","1401","0","3","0","201","394","0.51","12.6","3.3","1.5","1.9","0.545","0.237"
"16","Larry Bird*",1985,"2295","842","531","80","3161","56","131","0.427","862","1629","0.529","26.5","15.7","10.5","5.2","0.585","0.26"
"17","Otis Birdsong",1985,"1155","148","232","56","1842","4","21","0.19","491","947","0.518","18.1","4.2","2.8","1.4","0.534","0.268"
"18","Rolando Blackman",1985,"1598","300","289","81","2834","6","20","0.3","619","1210","0.512","17.7","7.3","5.8","1.4","0.566","0.336"
"19","Cory Blackwell",1985,"202","96","26","60","551","0","2","0","87","235","0.37","6.4","-0.9","-1.5","0.5","0.387","0.232"
"20","Sam Bowie",1985,"758","656","215","76","2216","0","0","0","299","557","0.537","15.7","5.7","2.2","3.5","0.578","0.404"
"21","Dudley Bradley",1985,"358","134","173","73","1232","20","64","0.313","122","235","0.519","12.2","2.4","0.3","2.1","0.536","0.264"
"22","Mike Bratz",1985,"287","58","122","56","746","6","26","0.231","100","224","0.446","12.8","0.8","0.4","0.4","0.502","0.328"
"23","Randy Breuer",1985,"413","256","40","78","1083","0","0","0","162","317","0.511","13.4","3","1.1","1.9","0.554","0.401"
"24","Ron Brewer",1985,"147","21","17","20","326","0","2","0","62","116","0.534","13.3","0.8","0.6","0.2","0.57","0.212"
"25","Frank Brickowski",1985,"385","260","100","78","1115","0","4","0","150","301","0.498","10.5","1","-0.3","1.3","0.533","0.416"
"26","Junior Bridgeman",1985,"1115","230","171","80","2042","14","39","0.359","446","951","0.469","14.8","3.1","2.2","0.9","0.516","0.208"
"27","Rickey Brown",1985,"195","223","25","69","814","0","0","0","78","192","0.406","7.5","0.4","-0.6","1","0.439","0.354"
"28","Tony Brown",1985,"544","288","159","82","1586","0","6","0","214","459","0.466","10.8","1.8","0.4","1.4","0.503","0.368"
"29","Wallace Bryant",1985,"164","241","84","56","860","0","0","0","67","148","0.453","10.3","1.3","0.3","1","0.49","0.297"
"30","Quinn Buckner",1985,"180","87","148","75","858","0","1","0","74","192","0.385","7.5","0.5","-0.7","1.2","0.419","0.259"
"31","Steve Burtt",1985,"197","28","20","47","418","0","1","0","72","187","0.385","7.4","-0.4","-0.5","0.1","0.444","0.41"
"32","Don Buse",1985,"218","61","203","65","939","31","87","0.356","51","116","0.44","10.5","1.3","1","0.2","0.504","0.148"
"33","Michael Cage",1985,"533","392","51","75","1610","0","0","0","216","398","0.543","12.5","3.2","1.8","1.4","0.582","0.344"
"34","Tony Campbell",1985,"316","89","24","56","625","0","1","0","130","261","0.498","10.3","0.4","-0.2","0.6","0.54","0.267"
"35","Rick Carlisle",1985,"67","21","25","38","179","0","2","0","26","65","0.4","7.2","-0.1","-0.2","0.1","0.45","0.254"
"36","Antoine Carr",1985,"499","232","80","62","1195","2","6","0.333","196","369","0.531","13","2.1","0.6","1.5","0.578","0.341"
"37","Kenny Carr",1985,"498","323","56","48","1120","0","3","0","190","360","0.528","13.4","2.1","0.7","1.4","0.572","0.452"
"38","M.L. Carr",1985,"150","43","24","47","397","9","23","0.391","53","126","0.421","9.9","0.4","0","0.5","0.479","0.114"
"39","Butch Carter",1985,"548","95","167","69","1279","11","43","0.256","203","433","0.469","11.5","0.9","0.1","0.8","0.512","0.282"
"40","Howard Carter",1985,"9","3","4","11","66","0","3","0","4","20","0.2","-7.4","-0.4","-0.4","0","0.192","0.043"
"41","Harvey Catchings",1985,"203","262","14","70","1049","0","1","0","72","148","0.486","7.8","1.1","0.1","1","0.539","0.597"
"42","Ron Cavenall",1985,"78","166","19","53","653","0","0","0","28","86","0.326","4.1","-0.2","-1","0.7","0.378","0.453"
"43","Tom Chambers",1985,"1739","579","209","81","2923","6","22","0.273","623","1280","0.487","16.5","5.9","3.1","2.9","0.56","0.439"
"44","Maurice Cheeks*",1985,"1025","217","497","78","2616","6","26","0.231","416","715","0.582","17.6","9","6.2","2.8","0.619","0.269"
"45","Carlos Clark",1985,"169","69","48","62","562","0","5","0","64","147","0.435","8.9","0.5","-0.2","0.7","0.482","0.349"
"46","Don Collins",1985,"32","19","7","11","91","0","0","0","12","34","0.353","12.9","0","-0.1","0.2","0.421","0.265"
"47","Steve Colter",1985,"556","150","243","78","1462","26","74","0.351","190","403","0.471","12.5","2.3","0.9","1.4","0.52","0.273"
"48","Lester Conner",1985,"640","246","369","79","2258","4","20","0.2","242","526","0.46","13.1","2.8","1.5","1.3","0.508","0.352"
"49","Darwin Cook",1985,"473","92","160","58","1063","2","23","0.087","210","430","0.488","14.3","1.6","0.3","1.2","0.496","0.119"
"50","Jeff Cook",1985,"323","314","62","72","1288","0","1","0","138","278","0.496","9.6","2.3","1.2","1.1","0.526","0.229"
"51","Joe Cooper",1985,"17","9","2","3","45","0","0","0","7","15","0.467","13.2","0.1","0.1","0.1","0.482","0.4"
"52","Michael Cooper",1985,"702","255","429","82","2189","35","123","0.285","241","470","0.513","12.9","4.6","2.3","2.3","0.539","0.224"
"53","Wayne Cooper",1985,"969","631","86","80","2031","0","2","0","404","854","0.473","15.1","3.5","0.9","2.6","0.505","0.275"
"54","Dave Corzine",1985,"701","422","140","82","2062","0","1","0","276","567","0.487","11.8","2.9","1.3","1.6","0.534","0.352"
"55","Charlie Criss",1985,"18","14","22","4","115","0","2","0","7","15","0.467","6.9","0","-0.1","0.1","0.458","0.353"
"56","Pat Cummings",1985,"997","518","109","63","2069","0","4","0","410","793","0.517","14.3","3.3","1.3","2","0.556","0.285"
"57","Terry Cummings",1985,"1861","716","228","79","2722","0","1","0","759","1531","0.496","22.1","10.7","5.6","5.1","0.536","0.302"
"58","Earl Cureton",1985,"496","419","83","81","1642","0","3","0","207","425","0.487","10.2","2","0","2","0.505","0.336"
"59","Quintin Dailey",1985,"1262","208","191","79","2101","7","30","0.233","518","1081","0.479","15.2","2.6","1.4","1.2","0.517","0.226"
"60","Adrian Dantley*",1985,"1462","323","186","55","1971","0","0","0","512","964","0.531","21.9","8","5.6","2.3","0.607","0.565"
"61","Brad Davis",1985,"825","193","581","82","2539","47","115","0.409","263","499","0.527","15.2","7.4","5.7","1.7","0.596","0.29"
"62","Charles Davis",1985,"358","153","51","61","774","1","10","0.1","152","346","0.439","11.1","1","-0.1","1.1","0.467","0.174"
"63","Johnny Davis",1985,"941","119","426","76","1920","12","46","0.261","325","745","0.436","14.7","3","2.3","0.8","0.51","0.379"
"64","Walter Davis",1985,"345","35","98","23","570","3","10","0.3","136","299","0.455","14.9","0.6","0.2","0.4","0.506","0.236"
"65","Darryl Dawkins",1985,"527","181","45","39","972","0","1","0","192","338","0.568","14.5","2.1","1.2","0.9","0.616","0.593"
"66","Darren Daye",1985,"695","272","240","80","1573","1","7","0.143","257","497","0.517","15.7","3.8","1.8","2.1","0.566","0.494"
"67","James Donaldson",1985,"929","668","48","82","2392","0","0","0","351","551","0.637","14.6","5","2.5","2.5","0.679","0.55"
"68","John Drew",1985,"308","82","35","19","463","0","4","0","107","256","0.418","15.2","0.7","0","0.7","0.491","0.469"
"69","Larry Drew",1985,"1075","164","484","72","2373","7","28","0.25","450","885","0.508","14.7","3.6","2.9","0.7","0.538","0.212"
"70","Clyde Drexler*",1985,"1377","476","441","80","2555","8","37","0.216","565","1124","0.503","19.7","7.5","4","3.5","0.534","0.253"
"71","Mike Dunleavy",1985,"169","31","85","19","433","16","47","0.34","48","88","0.545","12.3","1","0.4","0.5","0.572","0.215"
"72","T.R. Dunn",1985,"434","385","153","81","2290","0","2","0","175","356","0.492","9.8","4.4","2.1","2.3","0.531","0.324"
"73","Devin Durrant",1985,"300","124","80","59","756","0","3","0","114","271","0.421","8.8","-0.1","-0.7","0.6","0.47","0.372"
"74","Mark Eaton",1985,"794","927","124","82","2813","0","0","0","302","673","0.449","13.6","5.4","-1.3","6.7","0.502","0.397"
"75","Jerry Eaves",1985,"11","0","4","3","37","0","0","0","3","6","0.5","4.1","0","0","0","0.637","1"
"76","Kenton Edelin",1985,"11","26","10","10","143","0","0","0","4","13","0.308","3.3","0.1","0","0.2","0.333","0.615"
"77","Franklin Edwards",1985,"91","14","38","16","198","0","0","0","36","66","0.545","18.7","0.6","0.4","0.2","0.594","0.364"
"78","James Edwards",1985,"1044","387","153","70","1787","0","3","0","384","763","0.503","15.8","3.7","1.7","2","0.562","0.483"
"79","Craig Ehlo",1985,"87","25","26","45","189","0","3","0","34","66","0.515","12.8","0.2","0","0.2","0.529","0.435"
"80","Dale Ellis",1985,"667","238","56","72","1314","42","109","0.385","232","494","0.47","14.7","2.4","1.3","1.1","0.514","0.172"
"81","Chris Engler",1985,"21","30","0","11","82","0","0","0","8","20","0.4","13.2","0.2","0","0.1","0.438","0.45"
"82","Alex English*",1985,"2262","458","344","81","2924","1","5","0.2","938","1807","0.519","21.6","8.9","6.8","2.1","0.561","0.255"
"83","Julius Erving*",1985,"1561","414","233","78","2535","3","14","0.214","607","1222","0.497","20","7.6","4.5","3.1","0.546","0.358"
"84","Mike Evans",1985,"816","119","231","81","1437","57","157","0.363","266","504","0.528","15.6","2.9","1.9","1","0.568","0.198"
"85","Kenny Fields",1985,"195","84","38","51","535","0","0","0","84","191","0.44","8.9","0.7","0.1","0.6","0.471","0.188"
"86","Vern Fleming",1985,"1126","323","247","80","2486","0","4","0","433","918","0.472","12.8","3.3","1.3","2","0.526","0.368"
"87","Sleepy Floyd",1985,"1598","202","406","82","2873","42","143","0.294","568","1229","0.462","15.4","3.1","2.3","0.8","0.514","0.302"
"88","Phil Ford",1985,"44","27","61","25","290","0","4","0","14","43","0.326","6.4","0.2","0","0.2","0.401","0.383"
"89","Rod Foster",1985,"696","80","186","79","1318","41","126","0.325","245","510","0.48","12.1","0.9","-0.2","1.2","0.508","0.173"
"90","World B. Free",1985,"1597","211","320","71","2249","71","193","0.368","538","1135","0.474","19.7","6","4.5","1.4","0.529","0.309"
"91","Bill Garnett",1985,"418","286","67","65","1123","0","2","0","149","308","0.484","10.7","1.5","0.3","1.2","0.541","0.561"
"92","George Gervin*",1985,"1524","234","178","72","2091","0","10","0","600","1172","0.512","18.5","4.6","3.2","1.4","0.564","0.325"
"93","Artis Gilmore*",1985,"1548","846","131","81","2756","0","2","0","532","852","0.624","20.3","10.5","7.1","3.3","0.68","0.756"
"94","Mike Glenn",1985,"518","81","122","60","1126","0","2","0","228","386","0.591","15.2","2.9","2.3","0.7","0.615","0.196"
"95","Mike Gminski",1985,"1036","633","158","81","2418","0","1","0","380","817","0.465","16.1","6.1","3.6","2.5","0.538","0.401"
"96","Lancaster Gordon",1985,"259","61","88","63","682","2","9","0.222","108","278","0.388","8.2","-0.8","-1.2","0.4","0.42","0.171"
"97","Stewart Granger",1985,"16","6","12","9","92","0","1","0","6","16","0.375","-0.2","-0.2","-0.3","0.1","0.39","0.471"
"98","Butch Graves",1985,"5","2","1","4","11","0","1","0","2","5","0.4","-0.8","-0.1","-0.1","0","0.305","0.833"
"99","Stuart Gray",1985,"102","123","15","52","391","0","0","0","35","92","0.38","4.6","-0.4","-1","0.5","0.453","0.511"
"100","Rickey Green",1985,"1000","189","597","77","2431","6","20","0.3","375","778","0.482","16.3","6.7","3.5","3.2","0.546","0.335"
"101","Sidney Green",1985,"295","246","29","48","740","0","4","0","108","246","0.439","11.6","0.6","-0.2","0.8","0.503","0.392"
"102","Dave Greenwood",1985,"371","388","78","61","1523","0","1","0","152","331","0.459","9.4","2","0.6","1.4","0.497","0.283"
"103","Kevin Grevey",1985,"476","103","94","78","1182","8","33","0.242","182","391","0.465","10.7","2.1","0.9","1.3","0.505","0.252"
"104","Darrell Griffith",1985,"1764","344","243","78","2776","92","257","0.358","636","1336","0.476","15.6","3.5","-0.3","3.8","0.512","0.187"
"105","Ernie Grunfeld",1985,"455","151","105","69","1061","2","8","0.25","186","376","0.495","14.7","2.4","1.5","0.9","0.529","0.271"
"106","Bob Hansen",1985,"261","70","75","54","646","1","7","0.143","109","218","0.5","10","0.7","-0.2","0.8","0.508","0.32"
"107","Bill Hanzlik",1985,"621","207","210","80","1673","1","15","0.067","219","507","0.432","10.5","2.2","0.8","1.4","0.495","0.456"
"108","Derek Harper",1985,"790","199","360","82","2218","21","61","0.344","308","572","0.538","15.2","5.4","2.9","2.4","0.564","0.243"
"109","Scott Hastings",1985,"241","159","46","64","825","0","0","0","89","188","0.473","9.7","1.3","0.4","0.9","0.539","0.431"
"110","Steve Hayes",1985,"22","34","1","11","101","0","0","0","10","18","0.556","10.4","0.3","0.1","0.1","0.557","0.222"
"111","Gerald Henderson",1985,"1062","190","559","79","2648","9","38","0.237","418","853","0.49","14.3","3.7","1.4","2.3","0.529","0.286"
"112","Rod Higgins",1985,"308","147","73","68","942","10","37","0.27","109","233","0.468","10.2","1","0.4","0.5","0.497","0.333"
