"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Mahmoud Abdul-Rauf",1997,"1031","122","189","75","2131","94","246","0.382","317","678","0.468","13.2","2.7","2","0.7","0.524","0.147"
"2","Shareef Abdur-Rahim",1997,"1494","555","175","80","2802","7","27","0.259","543","1187","0.457","17.4","2.9","1.7","1.2","0.518","0.428"
"3","Rafael Addison",1997,"128","45","34","41","355","8","20","0.4","41","102","0.402","10.6","0.4","0.2","0.1","0.476","0.23"
"4","Cory Alexander",1997,"577","123","254","80","1454","94","252","0.373","100","238","0.42","14.3","1.1","0.5","0.6","0.528","0.263"
"5","Jerome Allen",1997,"228","98","152","76","943","30","93","0.323","48","128","0.375","8.7","0.4","-0.3","0.8","0.451","0.326"
"6","Ray Allen*",1997,"1102","326","210","82","2532","117","298","0.393","273","610","0.448","14.6","4.9","3.3","1.5","0.541","0.274"
"7","Derrick Alston",1997,"0","4","0","2","11","0","0","0","0","5","0","-9","-0.1","-0.1","0","0","0.4"
"8","Ashraf Amaya",1997,"40","52","3","31","144","1","1","1","11","39","0.282","8.8","0.1","-0.2","0.3","0.382","0.7"
"9","Greg Anderson",1997,"322","448","34","82","1659","0","1","0","130","261","0.498","11.4","2.2","0.7","1.5","0.531","0.355"
"10","Kenny Anderson",1997,"1436","363","584","82","3081","132","366","0.361","353","771","0.458","19.5","12.4","8","4.4","0.54","0.383"
"11","Nick Anderson",1997,"757","304","182","63","2163","143","405","0.353","145","320","0.453","13.8","4.2","1.3","2.9","0.494","0.13"
"12","Shandon Anderson",1997,"386","179","49","65","1066","24","47","0.511","123","271","0.454","10.4","1.2","0.1","1.2","0.534","0.311"
"13","Willie Anderson",1997,"83","42","34","28","303","8","19","0.421","21","45","0.467","12.6","0.9","0.4","0.5","0.57","0.313"
"14","Greg Anthony",1997,"616","184","407","65","1863","88","238","0.37","111","269","0.413","16.6","3.5","2.3","1.2","0.526","0.351"
"15","B.J. Armstrong",1997,"389","74","126","49","1020","25","90","0.278","123","237","0.519","12.9","1.3","1.4","-0.1","0.538","0.242"
"16","Darrell Armstrong",1997,"411","76","175","67","1010","55","181","0.304","77","164","0.47","14.7","1.8","0.7","1.1","0.525","0.307"
"17","Vincent Askew",1997,"239","98","90","43","838","7","24","0.292","74","162","0.457","9.7","1.5","0.7","0.8","0.532","0.473"
"18","Keith Askins",1997,"384","271","75","78","1773","69","172","0.401","69","147","0.469","9.1","4.3","1.5","2.8","0.557","0.182"
"19","Stacey Augmon",1997,"279","138","56","60","942","0","0","0","105","220","0.477","11.3","1.5","0.2","1.3","0.531","0.441"
"20","Isaac Austin",1997,"792","478","101","82","1881","0","3","0","321","636","0.505","14.2","4","0.3","3.7","0.536","0.354"
"21","Vin Baker",1997,"1637","804","211","78","3159","15","54","0.278","617","1197","0.515","20.1","8.3","4.9","3.4","0.553","0.416"
"22","Charles Barkley*",1997,"1016","716","248","53","2009","58","205","0.283","277","487","0.569","23","9.4","5.7","3.7","0.581","0.6"
"23","Dana Barros",1997,"300","48","81","24","708","43","105","0.41","67","148","0.453","14","1","0.9","0.1","0.552","0.17"
"24","Brent Barry",1997,"442","110","154","59","1094","56","173","0.324","99","206","0.481","15","2.1","1.2","0.9","0.526","0.245"
"25","Jon Barry",1997,"285","99","115","58","965","48","124","0.387","52","122","0.426","13.2","2.4","0.9","1.5","0.535","0.187"
"26","Benoit Benjamin",1997,"13","9","1","4","44","0","0","0","5","12","0.417","8.9","0","0","0","0.472","0.333"
"27","Elmer Bennett",1997,"22","4","11","9","75","3","9","0.333","3","10","0.3","5.8","-0.1","-0.2","0","0.47","0.526"
"28","Travis Best",1997,"754","166","318","76","2064","57","155","0.368","217","465","0.467","13.3","4.1","1.8","2.3","0.533","0.318"
"29","Mookie Blaylock",1997,"1354","413","463","78","3056","221","604","0.366","280","555","0.505","20.4","12.5","7","5.6","0.548","0.15"
