"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Paul Arizin*",1959,"1851","637","119","70","2799","0","0","0","632","1466","0.431","21.9","13","10","3","0.519","0.492"
"2","Elgin Baylor*",1959,"1742","1050","287","70","2855","0","0","0","605","1482","0.408","23.6","9.8","7","2.8","0.488","0.462"
"3","Ernie Beck",1959,"369","176","89","70","1017","0","0","0","163","418","0.39","10.4","0.9","-0.2","1.1","0.413","0.156"
"4","Al Bianchi",1959,"719","199","159","72","1779","0","0","0","285","756","0.377","9.5","1.8","0.3","1.5","0.425","0.272"
"5","Jerry Bird",1959,"25","12","4","11","45","0","0","0","12","32","0.375","12.9","0","-0.1","0","0.385","0.031"
"6","Bucky Bockhorn",1959,"726","460","206","71","2251","0","0","0","294","771","0.381","11.1","1.1","0.3","0.8","0.423","0.254"
"7","Carl Braun*",1959,"754","251","349","72","1959","0","0","0","287","684","0.42","15.2","4.5","3.2","1.3","0.483","0.319"
"8","Pete Brennan",1959,"40","31","6","16","136","0","0","0","13","43","0.302","7.2","-0.1","-0.2","0.1","0.37","0.581"
"9","Barney Cable",1959,"109","88","12","31","271","0","0","0","43","126","0.341","12.3","0.1","-0.2","0.3","0.393","0.23"
"10","Gene Conley",1959,"209","276","19","50","663","0","0","0","86","262","0.328","8.8","0.4","-1","1.4","0.36","0.244"
"11","Ed Conlin",1959,"855","394","132","72","1955","0","0","0","329","891","0.369","12.3","2","0.1","2","0.423","0.308"
"12","Larry Costello",1959,"1108","365","379","70","2750","0","0","0","414","948","0.437","15","8.5","5.5","3","0.503","0.368"
"13","Bob Cousy*",1959,"1297","359","557","65","2403","0","0","0","484","1260","0.384","19.9","8.7","3.3","5.4","0.454","0.306"
"14","Archie Dees",1959,"559","339","56","68","1252","0","0","0","200","562","0.356","13.6","0.7","0.2","0.4","0.429","0.363"
"15","George Dempsey",1959,"265","160","68","57","694","0","0","0","92","215","0.428","14.6","2.2","1.4","0.8","0.506","0.493"
"16","Connie Dierking",1959,"293","233","34","64","726","0","0","0","105","290","0.362","10.7","0.7","-0.1","0.9","0.417","0.483"
"17","Walter Dukes",1959,"933","958","64","72","2338","0","0","0","318","904","0.352","13.9","3.2","-0.1","3.3","0.423","0.5"
"18","Boo Ellis",1959,"428","380","59","72","1202","0","0","0","163","379","0.43","14.1","2.5","1.6","0.9","0.484","0.38"
"19","Wayne Embry*",1959,"750","597","96","66","1590","0","0","0","272","702","0.387","16.3","1.9","1.2","0.7","0.446","0.447"
"20","Dick Farley",1959,"491","195","124","70","1280","0","0","0","177","448","0.395","12.9","2.8","1.4","1.3","0.463","0.415"
"21","Mike Farmer",1959,"435","315","66","72","1545","0","0","0","176","498","0.353","7.9","0.1","-0.6","0.8","0.402","0.199"
"22","Ray Felix",1959,"749","569","49","72","1588","0","0","0","260","700","0.371","14","2","1","1","0.445","0.459"
"23","Al Ferrari",1959,"413","142","122","72","1189","0","0","0","134","385","0.348","9.7","1.4","0.6","0.9","0.437","0.517"
"24","Ed Fleming",1959,"461","281","89","71","1132","0","0","0","162","419","0.387","13.7","2","1.1","0.9","0.459","0.453"
"25","Larry Foust",1959,"882","627","91","72","1933","0","0","0","301","771","0.39","16.1","4.2","2.7","1.5","0.473","0.475"
"26","Dave Gambee",1959,"2","2","0","2","7","0","0","0","1","1","1","11.5","0","0","0","1","0"
"27","Dick Garmaker",1959,"984","325","211","72","2493","0","0","0","350","885","0.395","12.5","4.6","3.1","1.5","0.47","0.416"
