"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Mark Acres",1990,"362","431","67","80","1691","3","4","0.75","135","281","0.48","8.3","1.6","1.1","0.6","0.536","0.421"
"2","Michael Adams",1990,"1221","225","495","79","2690","158","432","0.366","240","557","0.431","15.4","6.9","4.4","2.5","0.542","0.317"
"3","Mark Aguirre",1990,"1099","305","145","78","2005","31","93","0.333","407","805","0.506","15.8","5.7","3.1","2.5","0.544","0.283"
"4","Danny Ainge",1990,"1342","326","453","75","2727","108","289","0.374","398","865","0.46","16.1","4.8","2.7","2.1","0.528","0.231"
"5","Mark Alarie",1990,"860","374","142","82","1893","10","49","0.204","361","736","0.49","14.1","3.1","1.5","1.6","0.51","0.169"
"6","Steve Alford",1990,"168","25","39","41","302","7","22","0.318","56","116","0.483","18.7","0.9","0.6","0.3","0.544","0.268"
"7","Randy Allen",1990,"235","138","23","63","746","0","7","0","106","232","0.457","8.4","0.2","-0.3","0.6","0.456","0.18"
"8","Greg Anderson",1990,"529","373","24","60","1291","0","0","0","219","432","0.507","13","2","0.2","1.7","0.522","0.394"
"9","Nick Anderson",1990,"931","316","124","81","1785","1","17","0.059","371","736","0.504","14.9","1.8","1.2","0.7","0.536","0.351"
"10","Richard Anderson",1990,"231","127","55","54","604","37","100","0.37","51","111","0.459","13.3","1","0.4","0.5","0.522","0.109"
"11","Ron Anderson",1990,"926","295","143","78","2089","3","21","0.143","376","820","0.459","13.9","3.8","2","1.7","0.499","0.234"
"12","Willie Anderson",1990,"1288","372","364","82","2788","7","26","0.269","525","1056","0.497","15.2","6.5","2.8","3.7","0.532","0.268"
"13","Michael Ansley",1990,"626","362","40","72","1221","0","0","0","231","465","0.497","17.3","3.3","3","0.3","0.554","0.488"
"14","B.J. Armstrong",1990,"452","102","199","81","1291","3","6","0.5","187","386","0.484","11.9","1.7","1","0.8","0.53","0.199"
"15","John Bagley",1990,"230","89","296","54","1095","1","18","0.056","99","200","0.495","10.8","1.1","0.3","0.8","0.489","0.179"
"16","Thurl Bailey",1990,"1162","410","137","82","2583","0","8","0","470","969","0.485","13.4","4.6","1.7","2.8","0.527","0.292"
