"","Player","PC1","PC2","allstar"
"1","Shareef Abdur-Rahim",-0.0430470609951793,0.362435976433534,0
"2","Hassan Adams",0.765602833448745,-1.85269679656653,0
"3","Maurice Ager",-1.1578491321858,-2.69252576718581,0
"4","LaMarcus Aldridge",0.384587103088865,0.349294158198161,0
"5","Malik Allen",-1.06263811222003,-1.58270205983451,0
"6","Ray Allen",0.714097881460302,3.72392219410361,1
"7","Tony Allen",1.12048139059815,0.480991124881139,0
"8","Rafer Alston",-0.983940292077474,2.76751942323656,0
"9","Lou Amundson",-0.655758913908041,-2.17255568355084,0
"10","Alan Anderson",-0.018621681361861,-1.7789237721535,0
"11","Derek Anderson",0.695526831147472,0.175623321230838,0
"12","Carmelo Anthony",0.0563360207349205,4.42993667036929,1
"13",NA,-0.490571858715874,-2.02001574408561,0
"14","Gilbert Arenas",-0.267141001401474,5.69131225436784,1
"15","Trevor Ariza",1.06467289450127,0.571312756350627,0
"16","Darrell Armstrong",0.154150497721179,-0.293540653102052,0
"17","Hilton Armstrong",0.833821122715985,-1.48108636786521,0
"18","Carlos Arroyo",-0.650140726615304,-0.23846409547091,0
"19","Chucky Atkins",0.854898745294752,1.30245598759113,0
"20","James Augustine",-1.79489342677868,-2.38117942602771,0
"21","Kelenna Azubuike",0.882759726523742,-1.03911092383857,0
"22","Renaldo Balkman",0.280289899249052,-0.275051019996928,0
"23","Marcus Banks",-0.593340660493276,-1.82562698065668,0
"24","Leandro Barbosa",2.49733436086603,3.09463601600865,0
"25","J.J. Barea",-0.928809380788552,-2.29216841189125,0
"26","Andrea Bargnani",0.341284735445017,-0.0810053323775021,0
"27","Matt Barnes",0.480491304311527,0.72498049750553,0
"28","Andre Barrett",-0.164862609145954,-2.4228503442247,0
"29","Earl Barron",-2.11538702200447,-2.59459875542295,0
"30","Brent Barry",2.63173013372763,1.32424099657326,0
"31","Brandon Bass",-1.17659813832936,-2.28045980577276,0
"32","Maceo Baston",2.19455612266771,-1.66788634066851,0
"33","Esteban Batista",0.253939380519751,-2.01741805566124,0
"34","Tony Battie",0.0389772395442716,-0.0780185671393653,0
"35","Shane Battier",1.63077505329735,2.66461822259415,0
"36","Charlie Bell",0.0441108588287061,1.01900798270173,0
"37","Raja Bell",1.37590135050505,1.68499505150984,0
"38","Mike Bibby",-0.468011482861211,1.99193826275592,0
"39",NA,2.03838299299776,2.45277777646708,0
"40","Chauncey Billups",0.455236327267671,5.10888624601599,1
"41","Steve Blake",-0.633595714012439,-0.0523055680880371,0
"42","Will Blalock",-1.65352347321423,-2.53025274235444,0
"43","Andray Blatche",-0.680652032505733,-1.59091679080214,0
"44","Mark Blount",0.694286352703072,0.787883383629742,0
"45","Keith Bogans",0.358170735815557,-1.12977027567684,0
"46","Andrew Bogut",1.53915354924743,1.9447831494789,0
"47","Matt Bonner",0.379793048657574,-0.751659928861991,0
"48","Josh Boone",1.21721959862884,-1.18639526938439,0
"49","Calvin Booth",-0.199587039187074,-1.97092655638511,0
"50","Carlos Boozer",2.62040372767545,5.46733112041317,1
"51","Chris Bosh",1.04187271999686,5.41308590356821,1
"52","Bruce Bowen",-0.0325206243013251,0.169260609064677,0
"53","Earl Boykins",0.127124369042565,1.38610394991969,0
"54","Cedric Bozeman",-2.19094029018114,-2.79170724288681,0
