"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Mahmoud Abdul-Rauf",1998,"227","37","58","31","530","5","31","0.161","98","242","0.405","10.5","-0.3","-0.5","0.2","0.405","0.059"
"2","Tariq Abdul-Wahad",1998,"376","116","51","59","959","4","19","0.211","140","338","0.414","10.1","-0.2","-0.8","0.6","0.456","0.35"
"3","Shareef Abdur-Rahim",1998,"1829","581","213","82","2950","21","51","0.412","632","1296","0.488","21.1","6.9","6.3","0.6","0.562","0.475"
"4","Cory Alexander",1998,"488","146","209","60","1298","66","176","0.375","105","224","0.469","15.2","2.2","1","1.2","0.548","0.255"
"5","Ray Allen*",1998,"1602","405","356","82","3287","134","368","0.364","429","947","0.453","16.2","7","4.7","2.3","0.539","0.297"
"6","Derek Anderson",1998,"770","187","227","66","1839","17","84","0.202","222","502","0.442","15.3","5.3","2.6","2.8","0.531","0.538"
"7","Greg Anderson",1998,"88","118","15","50","398","0","5","0","36","76","0.474","10.4","0.7","0","0.7","0.444","0.506"
"8","Kenny Anderson",1998,"746","173","345","61","1858","57","160","0.356","211","514","0.411","14.8","3.7","1.7","2","0.491","0.288"
"9","Nick Anderson",1998,"890","297","119","58","1701","77","214","0.36","266","540","0.493","19.6","5.3","3.1","2.1","0.529","0.264"
"10","Shandon Anderson",1998,"681","227","89","82","1602","7","32","0.219","262","468","0.56","15.7","4.2","2.9","1.4","0.586","0.37"
"11","Chris Anstey",1998,"240","157","35","41","680","3","16","0.188","89","215","0.414","13.2","0.6","-0.2","0.9","0.455","0.32"
"12","Greg Anthony",1998,"419","111","205","80","1021","66","159","0.415","84","190","0.442","16.8","2.7","1.4","1.3","0.545","0.229"
"13","B.J. Armstrong",1998,"261","76","150","66","831","9","35","0.257","96","178","0.539","14.6","2.2","1.6","0.6","0.555","0.235"
"14","Darrell Armstrong",1998,"442","159","236","48","1236","25","68","0.368","131","312","0.42","15.7","2.5","1.2","1.3","0.509","0.324"
"15","Vincent Askew",1998,"66","68","38","30","443","0","2","0","19","52","0.365","6.7","0.2","-0.4","0.6","0.464","0.722"
