"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Quincy Acy",2014,"171","216","28","63","847","4","15","0.267","62","126","0.492","10.1","1.5","0.6","0.9","0.52","0.376"
"2","Steven Adams",2014,"265","332","43","81","1197","0","0","0","93","185","0.503","11.2","2.9","0.9","1.9","0.541","0.735"
"3","Jeff Adrien",2014,"362","306","38","53","961","0","0","0","143","275","0.52","17.4","2.7","1.6","1.1","0.553","0.433"
"4","Arron Afflalo",2014,"1330","262","248","73","2552","128","300","0.427","336","711","0.473","16","5.3","4.3","1","0.574","0.332"
"5","Alexis Ajinça",2014,"328","277","40","56","951","0","1","0","136","248","0.548","14.6","2.1","1.2","0.9","0.589","0.269"
"6","Cole Aldrich",2014,"92","129","14","46","330","0","0","0","33","61","0.541","19.1","1.2","0.6","0.6","0.62","0.492"
"7","LaMarcus Aldridge",2014,"1603","765","178","69","2498","3","15","0.2","649","1408","0.461","21.8","7.5","4","3.5","0.507","0.253"
"8","Lavoy Allen",2014,"303","311","71","65","1072","2","13","0.154","132","287","0.46","12.5","1.5","0.6","0.9","0.47","0.167"
"9","Ray Allen*",2014,"701","205","143","73","1936","116","309","0.375","124","234","0.53","12.8","4.1","2.5","1.5","0.59","0.214"
"10","Tony Allen",2014,"495","208","94","55","1278","11","47","0.234","193","366","0.527","15.6","2.7","0.5","2.1","0.531","0.293"
"11","Al-Farouq Aminu",2014,"572","496","114","80","2045","13","48","0.271","221","446","0.496","13.2","3.1","1.3","1.8","0.516","0.277"
"12","Lou Amundson",2014,"38","55","6","19","185","0","0","0","16","32","0.5","9.1","0.1","-0.1","0.2","0.446","0.75"
"13","Chris Andersen",2014,"477","379","19","72","1396","3","12","0.25","174","263","0.662","18.5","6","3.8","2.2","0.683","0.615"
"14","Alan Anderson",2014,"564","175","81","78","1773","84","248","0.339","110","237","0.464","9.5","1.7","0.8","0.9","0.525","0.243"
"15","James Anderson",2014,"810","300","149","80","2309","115","351","0.328","194","366","0.53","10.9","1.9","0.9","0.9","0.53","0.148"
"16","Ryan Anderson",2014,"436","142","17","22","795","67","164","0.409","88","190","0.463","18.8","2.3","2.2","0.1","0.572","0.175"
"17","Giannis Antetokounmpo",2014,"525","339","150","77","1897","41","118","0.347","132","300","0.44","10.8","1.2","0.1","1.1","0.518","0.483"
"18","Carmelo Anthony",2014,"2112","622","242","77","2982","167","415","0.402","576","1228","0.469","24.4","10.7","8.1","2.5","0.561","0.329"
"19","Joel Anthony",2014,"28","38","2","33","186","0","0","0","12","32","0.375","8.1","0.2","0","0.2","0.394","0.25"
"20","Pero Antic",2014,"352","209","58","50","925","56","171","0.327","67","123","0.545","11.7","1.4","0.5","0.9","0.545","0.224"
"21","Trevor Ariza",2014,"1107","475","191","77","2723","180","442","0.407","209","411","0.509","15.8","8","4.3","3.7","0.59","0.226"
"22","Hilton Armstrong",2014,"25","47","5","15","97","0","0","0","9","19","0.474","17","0.3","0.1","0.2","0.48","0.842"
"23","Darrell Arthur",2014,"401","210","61","68","1161","24","64","0.375","138","346","0.399","9.4","0.7","-0.5","1.2","0.459","0.151"
"24","Ömer Asik",2014,"280","378","25","48","968","0","0","0","101","190","0.532","14","2.4","1","1.5","0.57","0.663"
"25","D.J. Augustin",2014,"930","130","313","71","1939","133","332","0.401","165","386","0.427","16.2","6.2","3.8","2.4","0.569","0.316"
"26","Gustavo Ayón",2014,"112","125","28","26","429","0","0","0","52","102","0.51","12.9","0.7","0","0.7","0.505","0.196"
"27","Jeff Ayres",2014,"240","258","60","73","952","0","0","0","101","174","0.58","11.1","2.4","1","1.4","0.605","0.316"
"28","Chris Babb",2014,"22","17","3","14","132","6","27","0.222","2","3","0.667","3.7","0","-0.1","0.1","0.367","0"
"29","Luke Babbitt",2014,"170","88","29","27","473","36","95","0.379","24","59","0.407","12.1","0.7","0.5","0.2","0.525","0.117"
"30","Leandro Barbosa",2014,"150","37","32","20","368","7","25","0.28","49","106","0.462","11.5","0.4","0.2","0.2","0.506","0.298"
"31","J.J. Barea",2014,"660","154","303","79","1471","73","231","0.316","181","425","0.426","11.6","0.7","-0.1","0.9","0.471","0.152"
"32","Andrea Bargnani",2014,"558","222","45","42","1257","30","108","0.278","192","394","0.487","14.5","1.5","0.8","0.7","0.51","0.203"
"33","Harrison Barnes",2014,"738","311","116","78","2204","66","190","0.347","205","489","0.419","9.8","3.2","0.4","2.8","0.486","0.267"
"34","Matt Barnes",2014,"625","292","125","63","1735","97","283","0.343","134","244","0.549","12","3.5","1.5","2","0.552","0.171"
"35","Will Barton",2014,"166","74","33","41","387","10","33","0.303","55","123","0.447","13.5","0.6","0.3","0.4","0.488","0.205"
