"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Kareem Abdul-Jabbar*",1989,"748","334","74","74","1695","0","3","0","313","656","0.477","12.9","2.9","0.9","2","0.511","0.25"
"2","Mark Acres",1989,"137","146","19","62","632","1","1","1","54","113","0.478","8.2","0.9","0.4","0.5","0.507","0.421"
"3","Michael Adams",1989,"1424","283","490","77","2787","166","466","0.356","302","616","0.49","17.5","8.3","5.4","2.9","0.567","0.363"
"4","Mark Aguirre",1989,"1511","386","278","80","2597","51","174","0.293","535","1096","0.488","16.4","4.5","2.4","2.1","0.524","0.309"
"5","Danny Ainge",1989,"1281","255","402","73","2377","116","305","0.38","364","746","0.488","18","6.7","5.2","1.4","0.554","0.228"
"6","Mark Alarie",1989,"498","255","63","74","1141","13","38","0.342","193","393","0.491","13.3","2.2","1.2","1","0.531","0.202"
"7","Steve Alford",1989,"366","72","92","66","906","20","55","0.364","128","269","0.476","11.9","1.4","0.7","0.7","0.522","0.188"
"8","Randy Allen",1989,"17","7","0","7","43","0","1","0","8","18","0.444","6.9","0","-0.1","0","0.428","0.105"
"9","Greg Anderson",1989,"1127","676","61","82","2401","0","3","0","460","911","0.505","14.9","3.4","0.4","3.1","0.516","0.441"
"10","Michael Anderson",1989,"204","89","153","36","730","1","7","0.143","72","168","0.429","10.5","0.2","-0.5","0.6","0.483","0.469"
"11","Richard Anderson",1989,"371","231","98","72","1082","49","141","0.348","96","207","0.464","12","2.1","0.9","1.2","0.509","0.109"
"12","Ron Anderson",1989,"1330","406","139","82","2618","2","11","0.182","564","1141","0.494","15.3","4.4","3.5","0.9","0.531","0.199"
"13","Willie Anderson",1989,"1508","417","372","81","2738","4","21","0.19","636","1264","0.503","16.6","4.9","2.1","2.8","0.534","0.225"
"14","John Bagley",1989,"500","144","391","68","1642","11","54","0.204","189","427","0.443","11.3","0.4","-0.6","1","0.467","0.256"
"15","Thurl Bailey",1989,"1595","447","138","82","2777","2","5","0.4","613","1267","0.484","15.6","6.5","2.4","4.1","0.544","0.346"
"16","Greg Ballard",1989,"6","7","0","2","15","0","1","0","1","7","0.143","7.1","0","0","0","0.307","0.5"
