"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Alaa Abdelnaby",1993,"578","337","27","75","1311","0","1","0","245","472","0.519","13.2","2","0.7","1.3","0.551","0.245"
"2","Mahmoud Abdul-Rauf",1993,"1553","225","344","81","2710","70","197","0.355","563","1210","0.465","15.6","5.1","3","2.2","0.515","0.165"
"3","Mark Acres",1993,"64","67","5","18","269","1","2","0.5","25","47","0.532","8.9","0.3","0.1","0.2","0.571","0.327"
"4","Michael Adams",1993,"1035","240","526","70","2499","68","212","0.321","297","619","0.48","15.6","4.6","3.3","1.2","0.543","0.333"
"5","Rafael Addison",1993,"428","132","53","68","1164","7","34","0.206","175","377","0.464","8.4","0.9","-0.1","1","0.484","0.17"
"6","Mark Aguirre",1993,"503","152","105","51","1056","30","83","0.361","157","339","0.463","13.7","1.8","1.1","0.7","0.525","0.306"
"7","Danny Ainge",1993,"947","214","260","80","2163","150","372","0.403","187","358","0.522","14.3","6.2","4.5","1.8","0.596","0.199"
"8","Victor Alexander",1993,"809","420","93","72","1753","10","22","0.455","334","645","0.518","14.3","3","1.6","1.4","0.548","0.243"
"9","Eric Anderson",1993,"21","14","3","16","44","0","0","0","5","18","0.278","11.3","0.1","0","0.1","0.443","0.722"
"10","Kenny Anderson",1993,"927","226","449","55","2010","7","25","0.28","363","825","0.44","16.6","4.4","1.9","2.5","0.487","0.273"
"11","Nick Anderson",1993,"1574","477","265","79","2920","88","249","0.353","506","1075","0.471","17.3","7.7","4","3.7","0.524","0.304"
"12","Ron Anderson",1993,"561","184","93","69","1263","39","120","0.325","186","424","0.439","11.8","0.5","0","0.5","0.481","0.164"
"13","Willie Anderson",1993,"183","57","79","38","560","1","8","0.125","79","178","0.444","8.7","-0.1","-0.6","0.5","0.461","0.151"
"14","Greg Anthony",1993,"459","170","398","70","1699","4","30","0.133","170","389","0.437","13.7","4.6","1","3.6","0.469","0.379"
"15","B.J. Armstrong",1993,"1009","149","330","82","2492","63","139","0.453","345","679","0.508","14.7","7.5","5.7","1.7","0.57","0.185"
"16","Vincent Askew",1993,"411","161","122","73","1129","2","6","0.333","150","303","0.495","13.1","2.7","1.5","1.2","0.549","0.482"
"17","Keith Askins",1993,"227","198","31","69","935","22","65","0.338","66","148","0.446","9.3","1.4","0.4","1","0.492","0.188"
"18","Stacey Augmon",1993,"1021","287","170","73","2112","0","4","0","397","788","0.504","15.2","3.7","2.5","1.2","0.551","0.388"
"19","Isaac Austin",1993,"129","79","6","46","306","0","1","0","50","111","0.45","11.4","0.3","0","0.4","0.491","0.393"
"20","Anthony Avent",1993,"806","512","91","82","2285","0","2","0","347","800","0.434","10.2","0.3","-1.5","1.8","0.459","0.214"
"21","John Bagley",1993,"23","7","20","10","97","0","1","0","9","24","0.375","2","-0.3","-0.4","0.1","0.416","0.24"
"22","Thurl Bailey",1993,"525","215","61","70","1276","0","0","0","203","446","0.455","12.9","1.2","0.6","0.6","0.516","0.318"
"23","Steve Bardo",1993,"51","37","29","23","175","1","6","0.167","18","56","0.321","7.7","-0.3","-0.4","0.1","0.367","0.274"
"24","Charles Barkley*",1993,"1944","928","385","76","2859","67","220","0.305","649","1156","0.561","25.9","14.4","9.6","4.8","0.596","0.423"
"25","Dana Barros",1993,"541","107","151","69","1243","64","169","0.379","150","305","0.492","15","3.5","2.1","1.4","0.541","0.124"
"26","Jon Barry",1993,"206","43","68","47","552","21","63","0.333","55","143","0.385","9.6","-0.1","-0.5","0.4","0.453","0.238"
"27","John Battle",1993,"223","29","54","41","497","1","6","0.167","82","194","0.423","11.1","0.5","0.1","0.3","0.481","0.36"
"28","Kenny Battle",1993,"14","11","2","3","29","0","1","0","6","12","0.5","20.7","0.1","0.1","0","0.504","0.154"
"29","William Bedford",1993,"25","10","0","16","66","1","1","1","8","26","0.308","3","-0.1","-0.1","0.1","0.387","0.444"
"30","Benoit Benjamin",1993,"335","209","22","59","754","0","0","0","133","271","0.491","13.2","0.9","-0.5","1.4","0.529","0.384"
"31","Tony Bennett",1993,"276","63","136","75","857","26","80","0.325","84","180","0.467","9.3","0.7","0.3","0.4","0.496","0.158"
"32","David Benoit",1993,"664","392","43","82","1712","34","98","0.347","224","494","0.453","11.3","2.3","0.3","2","0.504","0.257"
"33","Rolando Blackman",1993,"580","102","157","60","1434","31","73","0.425","208","466","0.446","10.6","2.9","0.9","2","0.501","0.167"
"34","Alex Blackwell",1993,"34","23","7","27","109","0","3","0","14","39","0.359","8.2","0","-0.1","0.1","0.373","0.19"
