"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Álex Abrines",2019,"165","48","20","31","588","41","127","0.323","15","30","0.5","6.3","0.6","0.1","0.6","0.507","0.083"
"2","Quincy Acy",2019,"17","25","8","10","123","2","15","0.133","2","3","0.667","2.9","-0.1","-0.1","0","0.379","0.556"
"3","Jaylen Adams",2019,"108","60","65","34","428","25","74","0.338","13","36","0.361","7.6","0.1","-0.1","0.2","0.474","0.082"
"4","Steven Adams",2019,"1108","760","124","80","2669","0","2","0","481","807","0.596","18.5","9.1","5.1","4","0.591","0.361"
"5","Bam Adebayo",2019,"729","597","184","82","1913","3","15","0.2","277","471","0.588","17.9","6.8","3.4","3.4","0.623","0.465"
"6","Deng Adel",2019,"32","19","5","19","194","6","23","0.261","5","13","0.385","2.7","-0.2","-0.2","0","0.424","0.111"
"7","DeVaughn Akoon-Purcell",2019,"7","4","6","7","22","0","4","0","3","6","0.5","8.2","0","-0.1","0","0.322","0.2"
"8","LaMarcus Aldridge",2019,"1727","744","194","81","2687","10","42","0.238","674","1277","0.528","22.9","9.3","6.4","2.9","0.576","0.312"
"9","Rawle Alkins",2019,"37","26","13","10","120","3","12","0.25","10","27","0.37","8.1","-0.1","-0.1","0","0.418","0.308"
"10","Grayson Allen",2019,"211","23","25","38","416","32","99","0.323","35","79","0.443","7.5","0","-0.4","0.4","0.516","0.337"
"11","Jarrett Allen",2019,"873","672","110","80","2096","6","45","0.133","329","523","0.629","18.5","7.6","4.4","3.3","0.632","0.489"
"12","Kadeem Allen",2019,"189","51","76","19","416","17","36","0.472","48","105","0.457","16.2","1","0.7","0.2","0.574","0.383"
"13","Al-Farouq Aminu",2019,"760","610","104","81","2292","96","280","0.343","161","313","0.514","13.2","5.8","3","2.8","0.568","0.292"
"14","Justin Anderson",2019,"178","84","23","48","463","24","77","0.312","40","80","0.5","11.2","0.4","0.1","0.4","0.516","0.223"
"15","Kyle Anderson",2019,"346","251","128","43","1281","9","34","0.265","141","242","0.583","12.8","2.7","0.8","1.8","0.569","0.232"
"16","Ryan Anderson",2019,"63","54","19","25","322","9","40","0.225","12","29","0.414","4.6","-0.2","-0.3","0","0.414","0.232"
"17","Ike Anigbogu",2019,"0","3","1","3","6","0","0","0","0","3","0","-6","-0.1","-0.1","0","0","0"
"18","Giannis Antetokounmpo",2019,"1994","898","424","72","2358","52","203","0.256","669","1044","0.641","30.9","14.4","8.9","5.5","0.644","0.55"
"19","Kostas Antetokounmpo",2019,"2","1","0","2","11","0","0","0","0","3","0","-0.9","-0.1","-0.1","0","0.21","1.333"
"20","Carmelo Anthony",2019,"134","54","5","10","294","21","64","0.328","28","57","0.491","10.9","0.3","0.1","0.2","0.513","0.182"
"21","OG Anunoby",2019,"469","197","47","67","1352","67","202","0.332","116","202","0.574","9.8","2","0.3","1.7","0.544","0.153"
"22","Ryan Arcidiacono",2019,"544","219","269","81","1961","81","217","0.373","106","201","0.527","11.6","3.7","2.8","0.9","0.588","0.244"
