"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Alaa Abdelnaby",1991,"135","89","12","43","290","0","0","0","55","116","0.474","13.1","0.5","0","0.5","0.499","0.379"
"2","Mahmoud Abdul-Rauf",1991,"942","121","206","67","1505","24","100","0.24","393","909","0.432","12.2","-1","-0.7","-0.3","0.448","0.097"
"3","Mark Acres",1991,"285","359","25","68","1313","1","3","0.333","108","211","0.512","9.2","2.5","1.4","1.1","0.551","0.472"
"4","Michael Adams",1991,"1752","256","693","66","2346","167","564","0.296","393","857","0.459","22.3","6.3","5.8","0.4","0.53","0.372"
"5","Mark Aguirre",1991,"1104","374","139","78","2006","24","78","0.308","396","831","0.477","16.7","5.5","2.8","2.7","0.526","0.349"
"6","Danny Ainge",1991,"890","205","285","80","1710","102","251","0.406","235","463","0.508","17","6.2","4.1","2.1","0.574","0.193"
"7","Mark Alarie",1991,"244","117","45","42","587","5","21","0.238","94","204","0.461","11.3","0.6","0.1","0.6","0.496","0.213"
"8","Steve Alford",1991,"151","24","22","34","236","7","23","0.304","52","94","0.553","20.5","0.6","0.5","0.1","0.578","0.265"
"9","Greg Anderson",1991,"292","318","16","68","924","0","1","0","116","269","0.431","9.1","-0.3","-1.2","0.9","0.455","0.426"
"10","Nick Anderson",1991,"990","386","106","70","1971","17","58","0.293","383","799","0.479","15.1","3.1","1.2","1.9","0.51","0.302"
"11","Ron Anderson",1991,"1198","367","115","82","2340","9","43","0.209","503","1012","0.497","15.5","4.1","2.3","1.8","0.524","0.188"
"12","Willie Anderson",1991,"1083","351","358","75","2592","7","35","0.2","446","956","0.467","13","4.8","1.3","3.5","0.499","0.215"
"13","Michael Ansley",1991,"379","253","25","67","877","0","0","0","144","263","0.548","16.9","3.1","2.3","0.7","0.594","0.483"
"14","B.J. Armstrong",1991,"720","149","301","82","1731","15","30","0.5","289","602","0.48","14.8","4.1","2.3","1.8","0.529","0.176"
"15","Vincent Askew",1991,"33","11","13","7","85","0","0","0","12","25","0.48","10.9","0.2","0.1","0","0.553","0.44"
"16","Keith Askins",1991,"86","68","19","39","266","6","25","0.24","28","56","0.5","13.5","0.6","0.2","0.4","0.467","0.309"
"17","Miloš Babic",1991,"19","9","4","12","52","0","0","0","6","19","0.316","6","-0.1","-0.1","0","0.391","0.632"
"18","Thurl Bailey",1991,"1017","407","124","82","2486","0","3","0","399","869","0.459","12.5","3.7","0.6","3.1","0.513","0.311"
"19","Cedric Ball",1991,"8","11","0","7","26","0","0","0","3","8","0.375","10.8","0","0","0","0.45","0.25"
"20","Ken Bannister",1991,"111","96","9","47","339","0","1","0","43","80","0.538","7.8","0.2","-0.2","0.4","0.506","0.802"
"21","Charles Barkley*",1991,"1849","680","284","67","2498","44","155","0.284","621","1012","0.614","28.9","13.4","10.3","3.1","0.635","0.564"
"22","Dana Barros",1991,"418","71","111","66","750","32","81","0.395","122","230","0.53","18.8","2.5","2.1","0.4","0.6","0.273"
